"class","1","7","8","13","23","24","30","41","42","47","050A","052A","059A","064A","065A","074A","086A","095A","103A","109A","112A","113A","114A","121A","122A","126A","130A","133A","138A","141A","142A","145A","148A","149A","155A","157A","163A","165A","166A","168A","229A","233A","234A","237A","238A","239A","249A","250A","252A","253A","254A","256A"
"Actinobacteria","  0","  0","  0","  0","  0","  0","  0","  2","  1","  0","  0","  0","  0","  0","  0","  5","  5","  0","  0","391"," 65","475","159","176","133","113"," 91"," 13","131"," 60"," 25"," 48","  4"," 78"," 50"," 17"," 23"," 26"," 26"," 45","  0","  0","  0","  0","  0","  0"," 92","  0"," 12","  0","  0","  0"
"Bacteroidetes","   96","  151","  182","  102","   76","  112","   33","  452","   70","   79","    0","    4","    0","    0","    0","  467","   21"," 1434","    0"," 8487"," 9453"," 6834"," 7399"," 8514"," 8757"," 7044"," 6458"," 5907"," 7041"," 3912","  701"," 4564","   24"," 3279"," 1986"," 6608"," 3366","10370"," 5666"," 3177","   12"," 6146"," 5444","11178"," 3541"," 2077","10038","11605","11540"," 9910","10076","   27"
"Deferribacteres","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 52"," 15"," 15"," 19"," 16","  7","  5","324"," 88"," 39","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0"," 11","  0","  0","  0","  0"," 27","  0","  1","  0","  0","  0"
"Firmicutes","18668","18409","18369","10266","13133","13423","13456","14660","13394","10377","12317","14825","11790","18640","15220","17979","10911","11758","17825"," 9861"," 9406","11732","11459","10358","10156","11904","12203","12818","11771","11258","12269"," 9942","14335","13985","10019"," 8965","12354"," 8708","13246","15592"," 9217","10863"," 9110"," 6458","14690","15963"," 7935"," 6913"," 7439"," 9188"," 7395","12019"
"Proteobacteria"," 378"," 582"," 590","8774","5933","5607","5653","4027","5677","8686","6825","4313","7352"," 502","3922"," 691","8205","5950","1317","  98","  18","  26","  73","  69","  89","  67","  44","  19","  97","3906","6142","4582","4779","1800","7087","3449","3399","  28"," 171"," 302","9913","2122","4588","1021"," 911","1102","1050"," 624"," 150","  44","1671","7096"
"Tenericutes","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","253","185"," 60"," 33","  9","  0","  9"," 22","297"," 63","  6","  5","  6","  0","  0","  0","103","  0"," 10"," 31"," 26","  0","  0","  0","485","  0","  0","  0","  0","  0","  0","  0","  0"
"DOL","P8","P8","P8","P8","P8","P8","P8","P8","P8","P8","P11","P11","P11","P11","P11","P11","P11","P11","P11","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P11","P11","P11","P11","P11","P11","P14","P14","P14","P14","P14","P14"
"sample","1","7","8","13","23","24","30","41","42","47","050A","052A","059A","064A","065A","074A","086A","095A","103A","109A","112A","113A","114A","121A","122A","126A","130A","133A","138A","141A","142A","145A","148A","149A","155A","157A","163A","165A","166A","168A","229A","233A","234A","237A","238A","239A","249A","250A","252A","253A","254A","256A"
