"class","050B","052B","059B","064B","065B","074B","076B","086B","095B","103B","109B","112B","113B","114B","121B","122B","126B","130B","133B","138B","141B","142B","145B","148B","149B","155B","157B","163B","165B","166B","168B","229B","233B","234B","237B","238B","239B","249B","250B","252B","253B","254B","256B"
"Lachnospiraceae_UCG_006","0","0","0","0","0","0","0","0","0","0","3","0","2","0","2","0","0","4","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lactobacillus","1276","2102","3126","4147","4055","2066","4189","3281","2941","2352","2195","4005","2997","3747","2670","3509","3301","3623","3021","2923","3515","2201","2715","3578","4047","3114","2505","3894","4139","4321","4302"," 755","1041","2566","2145","1320","3408","2649","3646","3790","3553","3800","3693"
"Marinospirillum"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","31","37","13","26"," 9"," 5"," 5"," 0"," 2"," 0"," 4"," 1"
"Marvinbryantia","0","0","0","0","0","0","0","0","0","0","4","0","3","0","1","0","1","1","4","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","6","0","3","0","0","0"
"Muribacter","  45"," 105"," 314"," 309"," 351","1346","  48","  27"," 226","1610","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 499"," 652","  61"," 482","  20"," 792","1595"," 420","  79","  22","  18","2147"," 456"," 453"," 983","1127"," 529"," 222","  80","  54","  26"," 151"," 275"
"Not_Assigned","   0","   1","   2","   1","   0","  28","   4","   3","   7","  31","1774"," 219"," 842","  93","1431"," 695"," 863"," 759","1243"," 343","  14","  28","  27","  26","  53","  35","  28","  13","  62","   8","  12","  73"," 192","  31"," 103"," 147","  19"," 307","  36","  18","  13","  31","  13"
"Oscillibacter","0","0","0","0","0","0","0","0","0","0","4","1","0","0","0","0","0","0","1","0","0","0","0","0","4","0","0","0","0","0","0","0","0","5","0","0","2","6","0","0","0","1","0"
"Parabacteroides"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0","12"," 0"," 1"," 3"," 4","77"," 6"," 2"," 0"," 0"," 3"
"Parasutterella"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 4"," 0"," 0"," 1"," 5"," 1"," 8"," 0"," 3","12"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","14"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 1"
"Phascolarctobacterium"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","32","36"," 3","16","19"," 3"," 3"," 0"," 2"," 2"," 0"," 1"
