sample,073B,075B,081B,083B,085B,088B,097B,105B,106B,107B,111B,115B,119B,120B,124B,129B,134B,135B,137B,140B,146B,151B,156B,158B,161B,162B,167B,215B,226B,227B,228B,235B,258B,259B,260B,261B
DOL,P11,P11,P11,P11,P11,P11,P11,P11,P11,P11,P28,P28,P28,P28,P28,P28,P28,P28,P28,P14,P14,P14,P14,P14,P14,P14,P14,P11,P11,P11,P11,P11,P14,P14,P14,P14
Rikenellaceae_Rikenellaceae_RC9_gut_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,14,19,8,8,17,28,5,3,7
Ruminococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,43,38,12,14,12,37,1,2,0
Ruminococcaceae_Faecalibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,6,2,8,4,0,0,0
Ruminococcaceae_Oscillibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,7,2,5,0,2,8,0,2,0
Ruminococcaceae_Ruminiclostridium_5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,4,2,0,1,2,0,0,0,0
Ruminococcaceae_Ruminococcaceae_UCG_005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,106,66,43,14,87,94,3,14,11
Ruminococcaceae_Ruminococcaceae_UCG_009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,2,0,13,0,0,0
Ruminococcaceae_Ruminococcaceae_UCG_010,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,43,35,13,12,24,50,1,3,2
Ruminococcaceae_Ruminococcaceae_UCG_014,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,7,5,2,6,10,1,3,1
Saccharimonadaceae_Candidatus_Saccharimonas,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,4,1,0,0,0,4,0,0,0
Spirochaetaceae_Treponema_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,15,21,3,16,46,1,5,9
Spirosomaceae_Flectobacillus,3,0,1,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Staphylococcaceae_Staphylococcus,4,2,5,22,9,7,8,1,0,0,0,0,0,0,0,0,0,0,0,4,0,2,13,79,10,24,0,30,24,8,9,33,82,79,57,49
Streptococcaceae_Streptococcus,313,41,14,20,4,164,19,46,129,46,2,2,1,2,3,3,2,1,2,53,29,10,31,258,44,71,17,71,75,172,113,15,57,71,54,79
Succinivibrionaceae_Ruminobacter,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,12,17,9,0,19,44,0,1,3
Succinivibrionaceae_Succinivibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,50,26,14,9,46,34,3,3,19
Tannerellaceae_Parabacteroides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,8,0,0,5,1,6,1,1,56,11,30,16
Veillonellaceae_Veillonella,0,0,2,0,0,0,0,0,11,6,1,0,0,0,0,0,0,0,0,0,4,0,0,3,2,0,2,0,1,0,0,0,1,0,0,0
Vibrionaceae_Vibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,13,2,3,24,11,0,3,0
Weeksellaceae_Empedobacter,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,11,2,21,6,5,1,0
