pathway	140A	146A	151A	156A	158A	161A	162A	167A	258A	259A	260A	261A	140B	146B	151B	156B	158B	161B	162B	167B	258B	259B	260B	261B
COLANSYN-PWY	17275.13639385164	12197.52875529732	9864.176980032296	12084.686126783432	12994.156877749112	17578.424013123684	11402.999894951718	13527.339849848007	19645.96027719372	16832.606140127173	16678.709515446302	15567.340635562548	2445.1641748317643	4524.902225192212	1983.0907697709329	1442.449030633922	1219.5686173982594	2018.4328309555588	1391.903167490049	774.786174228062	11111.182475146676	1614.550651817765	4172.692188897092	2330.8663328171774
COMPLETE-ARO-PWY	17649.082935898467	14554.455958125598	10954.156773813493	13812.45463980066	13632.542303224604	18326.69191228965	14308.811974225446	15625.03587789788	16674.621958833523	16877.644167452756	16514.766890247934	14264.498066733971	3089.6659562223663	4234.087402960692	2335.521744201911	1661.681747305841	1844.197894169236	3221.268818132871	2034.586916448456	1280.2439622501838	18688.911930852304	3611.628668476558	5824.72085006393	4428.111699798359
CRNFORCAT-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.73650374236152	0.0	42.036012435779	29.396158444864422
DAPLYSINESYN-PWY	17399.312265903674	16458.214543349357	16418.59172677609	18069.32076942742	15594.626175381649	17652.057828098863	16595.98820044678	18476.725183618462	8009.676771120522	15133.356323724924	13280.343200314135	9807.41910049507	7127.91344231882	9187.24577946198	7280.062974324036	4359.516868547291	2362.586957816086	7066.823264175249	4802.923553663814	3555.7532824027508	16152.619985975063	4798.822855750112	7004.578306407223	5843.575966355013
DENITRIFICATION-PWY	0.0	9.0	0.0	8.0	3.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	583.6359039190897	615.6696901605887	526.0	242.8927820602663	566.33	417.6342208642514	426.06886326244165	235.80799819504767	315.143724618657	33.8664369679773	67.1728282689742	0.0
DENOVOPURINE2-PWY	33710.11826138539	27972.34379560173	32997.42332231315	30837.44254892643	24417.947579700944	38371.14532776183	31706.646911085794	38032.39647193561	28146.6783713697	28787.320368826982	32684.33093002696	23984.50646338701	13324.340540368452	17258.147623141234	37754.72190618994	10928.317377873702	2430.267078351333	18467.54553357169	12668.6937333003	42964.25879225899	20088.05135717961	21735.76596925373	20521.779732841547	24654.804501288647
DHGLUCONATE-PYR-CAT-PWY	0.0	11.239733319813425	0.0	9.993063383334778	3.748631773027564	0.0	0.0	20.867768595041323	0.0	0.0	0.0	0.0	663.9830970118554	707.026312170795	576.9905754748779	262.9954012074213	613.5181206204525	539.967895543681	432.6782457430504	234.918072219603	31.86063282804206	0.0	0.0	0.0
DTDPRHAMSYN-PWY	18748.60092321204	12368.113669847076	8241.761606923617	10184.850848203814	11592.270008507703	19699.95631351865	13906.847587422992	16575.73716540383	29152.619038294102	21506.825134472576	19924.857820461515	18966.452232695807	2526.730377920004	2655.5285104481177	2316.174265969715	886.5031993358449	1516.3689437137484	2483.2599617441924	1671.0054073436331	1300.991274534108	14626.231601219404	3408.079246706357	4910.464922452296	3809.004003842225
ECASYN-PWY	4306.093254890905	4381.727283068823	3784.052464790716	4331.52263528807	3154.820726251806	3008.027832642984	2273.630587909222	65.15961749904062	577.2854516828171	0.0	0.0	0.0	1324.31809824098	2290.3643214719923	375.7366340816901	860.0743183734274	22.69610952832817	1295.334830748792	284.22367624619324	43.586808242973134	1473.9322765150698	529.1589079548145	832.6936165775589	321.3738175447706
ENTBACSYN-PWY	7912.623765007021	7774.803718049113	8544.199497135942	9321.721519964009	6850.595654971958	9181.020025274564	8284.223552953035	27.96610469345828	0.0	0.0	0.0	0.0	1320.469859546269	5264.855901529155	848.4902905180666	1373.0106446515213	118.76900459322069	4252.117857319743	99.01663973958684	234.4194767733076	3407.4622293249063	725.6997251237808	2006.12839484406	805.6658919344353
FAO-PWY	6395.7788953627705	6645.343521222153	6441.884447012955	7731.25958578481	5771.249283078223	4575.858831720186	4174.07617348978	200.2858218893279	518.8411919926582	1484.632150526552	1478.8444751289278	784.2528540854292	2351.861517161702	4829.813906069855	1902.806464143213	1438.5130677350885	1806.1332304514697	2643.620584602236	1462.9557525003208	757.3221953679051	7061.880201992391	1471.6643923124625	2211.6020004289603	1180.3609939553958
FASYN-ELONG-PWY	36647.49124647626	29268.24132425331	34511.76067331614	32303.145935382778	26100.649337220435	42731.58338268678	34578.24061394019	40645.31724100821	31363.76762578894	30924.783468116653	36171.91323297607	27626.127340867894	14484.18578270964	18854.19662224748	40446.91881685417	11243.577928264254	2883.10832823693	20117.7688851083	13606.842247628349	46049.996943675	20296.18373068146	21860.140652391583	21279.65872929146	24994.540816830377
