function	050A	052A	059A	064A	065A	073A	074A	075A	081A	083A	085A	086A	088A	095A	097A	103A	105A	106A	107A	215A	226A	227A	228A	229A	233A	234A	235A	237A	238A	239A
EC:2.7.7.18	13491.27	30461.83	30074.42	33707.770000000004	35184.6	46210.75	39240.34	42076.38	31420.05	28969.0	24856.36	21731.590000000004	33418.8	29840.77	30957.07	35756.07	33934.99	33590.65	38815.87	21606.19	23116.13	16836.58	15219.67	15288.65	18663.02	18932.24	22849.75	18355.67	26030.1	21602.16
EC:2.7.7.19	1819.33	2018.0	4228.75	1027.26	2186.93	2256.59	635.13	268.25	597.0799999999999	999.0	1411.32	3462.33	2267.34	4338.37	2200.03	527.83	1139.75	390.59	344.66	8288.75	3877.49	3694.08	3493.5	3397.75	5957.74	5833.24	2422.42	7555.75	4591.33	1670.99
EC:2.7.7.2	13500.1	30481.0	30085.25	33837.6	35247.93	44857.59	38746.17	41253.880000000005	31567.88	29088.5	25629.69	21750.090000000004	33541.64	29847.77	31001.07	36167.9	34287.32	33646.99	39126.53	21487.19	23308.79	17034.08	15270.5	15469.15	19072.68	18995.9	23611.42	18214.17	28214.43	22279.82
EC:2.7.7.23	13500.1	30422.5	29787.25	33197.6	35081.93	39835.09	37594.7	40538.380000000005	31115.88	28541.0	25544.44	21630.090000000004	31771.64	27724.27	29070.07	36167.9	34017.07	33501.39	39123.03	12265.19	22740.26	16557.08	15166.5	15443.15	13758.18	14606.15	23538.42	9491.47	20235.01	20930.99
EC:2.7.7.24	2522.27	3663.83	5206.42	2671.2	2482.03	12960.75	6871.94	6159.38	2979.05	3639.000000000001	2324.35	4600.59	6871.8	6741.56	5916.93	3306.07	3471.99	3844.65	3457.87	15897.69	5845.63	5387.780000000001	4011.67	4464.25	8378.52	9139.74	3611.75	19974.29	11099.1	5383.96
EC:2.7.7.27	23230.53	53939.5	51097.75	60329.26	62042.93	79976.59	70300.91	75492.35	56479.43	51258.5	44245.47	37174.53	58542.19	50603.67	53720.78	65545.63	61241.3	60893.34	70551.56	25220.45	38958.91	28154.480000000003	26683.5	25042.75	24989.44	26251.49	41112.42	20321.31	43409.96	41772.91
EC:2.7.7.3	13500.1	30513.0	30102.25	33837.6	35267.93	44857.59	38746.17	41253.880000000005	31854.88	29088.5	25740.69	24110.090000000004	33549.64	29847.77	31003.07	36167.9	34287.32	33638.99	39126.53	21519.19	23266.79	17026.08	15270.5	15469.15	19019.68	19158.9	23611.42	18106.17	26732.43	22328.82
EC:2.7.7.33	214.5	525.0	404.5	677.0	223.0	4514.5	2006.84	2761.5	522.0	437.0	124.0	145.5	1405.5	1406.5	1491.01	95.0	456.5	660.0	34.0	5395.5	417.0	517.0	88.0	0.0	1380.0	1860.5	49.0	8549.5	4147.84	2628.16
EC:2.7.7.38	1819.33	2018.0	4228.75	1027.26	2186.93	2256.59	635.13	270.25	595.8299999999999	997.0	1411.32	3464.33	2265.09	4338.37	2200.03	527.83	1214.75	392.34	343.91	8368.75	3976.99	3689.58	3519.5	3388.75	5987.74	5871.24	2436.42	7549.25	4607.33	1680.99
EC:2.7.7.39	0.0	0.0	25.0	20.0	20.0	101.5	51.5	41.0	606.0	400.5	803.5	2389.0	322.5	31.0	114.5	6.0	106.0	13.0	0.0	1682.0	130.0	14.8	67.0	10.4	250.5	612.0	43.0	430.0	247.5	304.7
EC:2.7.7.4	3621.0	3992.66	8460.84	1788.86	4197.2	1413.5	333.6	115.5	1196.0	1803.0	1828.48	6872.66	3572.5	7117.74	3837.73	238.0	1272.34	139.0	61.0	11700.5	6976.66	6917.56	6915.34	6426.5	9195.16	8745.66	3392.5	9559.0	2673.5	472.66
EC:2.7.7.41	13500.1	30481.0	30085.25	33868.6	35273.93	45541.59	38924.17	41275.880000000005	31576.88	29119.5	25664.69	21750.090000000004	33587.64	29937.27	31239.57	36237.9	34305.32	33670.99	39143.53	21671.69	23280.04	17058.08	15270.5	15469.15	19029.18	19081.4	23659.42	22354.67	26732.43	22272.82
EC:2.7.7.42	1819.33	2015.5	4228.75	1024.26	2186.93	730.5899999999999	384.83	193.75	583.0799999999999	840.5	1409.07	3440.33	1559.84	3462.87	1119.03	527.83	913.5	305.59000000000003	341.16	67.75	3619.66	3597.08	3485.5	3350.75	1031.74	1838.49	2386.42	442.75	1117.08	969.99
EC:2.7.7.43	233.0	557.0	140.0	43.0	61.0	922.0	490.0	1112.0	98.0	82.0	35.0	51.0	618.0	310.5	1257.5	98.0	463.0	476.0	34.0	10045.5	210.0	213.0	16.0	6.0	5069.5	4034.5	35.0	7123.5	2072.0	1994.0
EC:2.7.7.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:2.7.7.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
EC:2.7.7.49	0.0	32.0	27.0	60.0	0.0	114.0	434.2	70.0	4.0	0.0	20.0	0.0	208.0	262.5	879.5	56.0	119.0	65.0	74.0	605.5	35.0	11.0	0.0	14.0	57.5	272.5	45.0	12885.5	476.0	145.0
EC:2.7.7.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.67	4.0	0.0	0.0	0.75	0.0	19.5	8.9	2.0	0.0	5.5	0.0	0.0	0.0	0.0	0.0
EC:2.7.7.56	1819.33	2079.5	4250.75	1034.26	2186.93	950.59	422.83	277.75	587.0799999999999	858.5	1419.07	3538.33	1769.84	3953.87	1487.03	553.83	920.5	438.59	378.16	323.75	3753.49	3601.48	3491.5	3364.75	1065.74	1880.49	2393.42	1316.25	1875.08	1184.99
