function	055B	056B	068B	071B	077B	078B	091B	092B	093B	094B	098B	099B	100B	101B	217B	218B	219B	220B	223B	224B	225B	241B	242B	243B	244B	245B	246B	248B
EC:1.2.1.22	3920.92	11922.08	5016.51	14867.0	3463.25	7263.84	13110.58	55637.75	33520.95	21623.25	37304.92	29003.6	36542.25	5746.51	976.42	13706.67	13557.17	4463.4	3974.58	9608.34	6920.09	3984.83	4102.83	2723.2	8210.57	7392.75	2737.29	7402.09
EC:1.2.1.24	128.75	5518.5	107.17	41.83	38.75	43.67	2202.08	271.25	158.87	198.5	143.5	3864.94	10.5	105.35	76.42	93.02	2502.67	183.75	184.47	106.09	215.09000000000003	402.28	151.32999999999998	185.83	223.55	1160.5	225.9	175.59000000000003
EC:1.2.1.27	6704.5	6233.8	9587.95	4836.49	5648.13	7719.71	4160.39	5895.5	4884.77	4168.97	2349.74	748.86	1531.91	1984.5	1940.18	2106.9100000000003	1372.68	3341.49	3756.73	3634.77	3900.99	2370.27	3360.92	4002.64	3845.7	2543.1800000000003	3580.4700000000003	3717.6100000000006
EC:1.2.1.28	1754.5	1661.25	2583.0	935.0	1485.0	2273.5	763.0	1319.0	1118.26	894.75	670.24	194.43	428.25	612.85	328.0	333.0	207.0	323.0	550.5	711.25	680.0	548.0	755.75	833.25	715.25	631.75	703.75	624.1700000000001
EC:1.2.1.3	15866.0	18696.25	20560.01	34705.68	14314.84	20637.01	26064.65	91893.5	59657.67	40001.25	58898.16	39356.0	56598.25	10394.4	5359.67	24144.07	18061.83	14448.41	13681.0	20251.14	16258.62	9454.31	12013.54	10731.24	19095.32	12369.42	10478.93	18095.44
EC:1.2.1.32	18.0	22.0	15.0	4.0	0.0	0.0	37.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	12.5	93.0	0.0	118.0	116.0	28.5	151.0	6.0	89.0	52.0	141.5	0.0	102.0	59.67
EC:1.2.1.38	6522.4	12682.489999999998	8439.77	11712.73	5416.4	8305.57	11649.03	32333.800000000003	20607.02	14117.61	20305.26	17123.300000000003	19271.05	4190.09	5510.16	11744.27	9959.09	13729.9	12888.25	12196.07	11996.4	6596.9400000000005	8909.02	10369.24	13003.47	7404.69	9470.4	12357.490000000002
EC:1.2.1.39	3562.75	8537.36	5177.17	3001.17	2604.35	4098.87	3368.88	2489.25	2055.87	1864.36	1507.5	4105.599999999999	856.5	1264.7500000000002	609.84	653.84	2825.67	504.0799999999999	785.5	1200.7799999999995	1284.2799999999995	1322.76	1147.41	1376.3100000000002	1255.74	2155.75	1250.17	1139.1
EC:1.2.1.4	1963.0	1754.19	2761.01	1260.16	1400.27	2158.01	841.79	1454.0	1223.09	1146.19	783.58	193.0	439.75	668.6	412.0	406.1	215.33	493.33	648.5	756.96	721.0	511.87	770.25	970.92	786.75	621.75	815.91	814.3499999999999
EC:1.2.1.41	4461.4	9167.160000000002	12210.11	16685.059999999998	4496.23	4127.07	9244.19	18603.63	5109.32	5557.780000000001	1917.68	6138.63	2993.16	2130.2	5465.33	5280.27	5222.43	11781.31	11829.75	7602.39	10305.23	7281.290000000001	7368.1	9295.12	10294.14	5175.040000000001	8337.02	9573.27
EC:1.2.1.43	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	12.0	0.0	0.0	0.0	69.8	46.0	18.0	94.4	50.9	107.6	61.4	40.34	41.4	39.0	79.14000000000001	19.8	51.940000000000005	97.6
EC:1.2.1.46	1729.5	1658.25	2612.34	1002.33	1352.5	2060.84	712.66	1168.0	1084.59	907.75	727.25	193.0	428.25	604.0	308.0	340.6	166.0	279.0	433.17	603.25	574.0	464.2	620.75	755.25	627.25	564.75	570.75	608.1700000000001
EC:1.2.1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.67	8.67	7.67	27.25	38.33	18.34	26.340000000000003	18.58	19.33	31.83	17.92	21.0	25.42	32.09
