function	050B	052B	059B	064B	065B	073B	074B	075B	076B	081B	083B	085B	086B	088B	095B	097B	103B	105B	106B	107B	215B	226B	227B	228B	229B	233B	234B	235B	237B	238B	239B
EC:2.8.3.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:2.8.3.16	12330.16	15687.59	9807.92	11221.0	12445.0	4790.08	1377.83	8827.75	9506.25	6126.17	5171.9	7105.67	19970.83	5988.42	10254.59	8403.75	2924.5	5867.0	789.0	4688.25	1199.5	2958.75	1107.25	930.25	557.0	798.8299999999999	2871.67	1962.5	3386.75	1241.5	401.75
EC:2.8.3.17	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	10.0	17.0	0.0	0.0	14.0	8.5	38.0	11.5	41.0	0.0
EC:2.8.3.18	482.67	765.0	315.5	144.6	416.0	1710.25	803.12	851.3	738.42	575.7099999999999	1133.75	445.92	373.71	622.42	446.8	215.25	1008.25	447.5	477.0	353.8	1663.54	2722.6800000000003	1044.17	917.42	636.9300000000001	1238.49	681.3299999999999	2194.67	1898.36	2000.78	690.83
EC:2.8.3.19	9063.82	8596.93	2593.09	6.0	7.0	5.75	19.5	28.75	20.5	12.5	28.15	94.25	2967.66	12.5	3542.09	0.0	42.0	21.0	5.75	9.25	314.5	1459.25	423.75	479.25	144.0	165.0	815.0	323.0	1100.25	422.0	79.75
EC:2.8.3.20	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	7.0	0.0	0.0	9.0	8.5	0.0	11.5	0.0	0.0
EC:2.8.3.21	8936.91	8484.59	2568.17	6.0	5.5	5.75	6.5	12.75	13.5	12.5	12.15	10.25	2936.08	12.5	3511.42	5.25	7.5	13.0	3.5	3.25	56.5	819.0	217.75	306.25	39.25	29.0	670.5	69.0	17.75	55.75	4.75
EC:2.8.3.22	1.0	0.0	5.5	0.0	5.0	21.0	15.33	19.0	36.0	5.67	19.5	7.17	0.0	3.17	33.0	0.0	0.0	0.0	0.0	0.0	23.0	80.0	3.0	15.0	0.0	43.33	11.0	70.0	31.0	57.0	0.0
EC:2.8.3.5	1049.34	1620.0	947.0	301.2	896.0	3737.5	1697.24	1825.6	1783.84	1426.4199999999998	3132.5	1501.84	811.42	1261.5	1333.6	956.0	1963.5	869.0	867.0	755.6	3688.4	6104.61	2242.0	1966.34	1293.36	2628.1600000000003	1665.66	4622.02	4186.599999999999	4572.43	1336.66
EC:2.8.3.6	6.68	12.0	19.0	3.0	10.0	57.0	29.74	76.8	92.68	6.58	357.44	0.0	29.42	45.0	2669.98	5006.299999999999	650.14	16.0	0.0	4.800000000000001	838.72	1156.04	395.82	195.68	140.01999999999998	639.66	413.98	847.34	690.3	865.6399999999999	325.66
EC:2.8.3.8	26673.57	25656.43	8818.68	1663.34	1956.82	1977.59	764.4200000000001	3147.59	267.5	3401.16	7650.49	4229.43	8832.61	937.16	11343.93	1576.9299999999998	2370.68	1653.3200000000002	1359.96	1010.41	1966.84	5461.66	2841.75	2586.11	1325.23	903.84	3202.4999999999995	2451.52	2661.41	3080.59	1050.91
EC:2.8.3.9	17922.32	17351.18	6294.18	1657.34	1951.32	1971.84	757.9200000000001	3134.84	254.0	3388.66	7638.34	4219.18	5945.86	924.66	7921.18	1571.6799999999998	2370.68	1640.3200000000002	1356.46	1007.16	1926.34	4642.66	2624.0	2279.86	1285.98	890.34	2532.0	2397.02	2643.66	2997.34	1046.16
EC:2.8.4.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	132.0	120.0	0.0	0.0	0.0	0.0	180.0	0.0	0.0	60.0
EC:2.8.4.2	0.0	0.0	0.0	0.0	4.0	16.0	5.5	35.5	0.0	10.0	0.0	6.5	8.25	10.5	8.5	3.25	9.0	5.5	8.25	0.0	55.17	241.5	43.0	35.0	40.0	35.5	28.0	103.17	39.25	63.0	39.0
EC:2.8.4.3	9782.58	9955.59	3998.34	1046.67	1939.16	3662.17	1725.83	3087.7200000000003	1743.75	3499.6400000000003	6277.700000000001	3586.1800000000003	3915.97	1903.28	6779.55	3911.86	2744.41	1427.06	1510.48	1208.6799999999998	6543.950000000001	11301.990000000002	4326.4	3844.58	2251.82	3832.06	3286.4300000000003	8536.61	6987.61	8283.349999999999	2318.23
