#NAME	1	2	3	7	8	11	13	14	15	22	23	24	25	30	40	41	42	43	46	47	48	49
Prosthecobacter	6417.8416	15242.3738	7621.1869	4612.82365	8022.302	7621.1869	5415.05385	5615.6114	2406.6906	6818.9567	3409.47835	2807.8057	3008.36325	2807.8057	8222.85955	17047.39175	4612.82365	2206.13305	4813.3812	2206.13305	3008.36325	4412.2661
Acetobacter	2406.6906	6217.28405	3208.9208	2807.8057	4211.70855	5415.05385	2607.24815	0	2406.6906	5415.05385	1403.90285	1805.01795	1805.01795	0	2206.13305	12835.6832	3208.9208	2005.5755	2206.13305	2206.13305	4813.3812	4211.70855
Wolbachia	4412.2661	7621.1869	7420.62935	2406.6906	5013.93875	4412.2661	6016.7265	5214.4963	4011.151	5214.4963	802.2302	3208.9208	2406.6906	4211.70855	3208.9208	9626.762399	3208.9208	3409.47835	4211.70855	2206.13305	3610.0359	2807.8057
Clostridiales_vadinBB60_group	601.67265	601.67265	802.2302	1203.3453	0	2005.5755	0	0	1403.90285	0	0	401.1151	0	0	1002.78775	4211.70855	0	1604.4604	0	601.67265	0	1002.78775
Ruminiclostridium	0	0	0	0	601.67265	0	401.1151	0	0	0	200.55755	802.2302	0	0	0	5013.93875	0	1002.78775	0	802.2302	0	0
Terrimicrobium	3610.0359	4813.3812	4412.2661	3610.0359	6417.8416	4612.82365	2807.8057	7220.0718	3008.36325	6016.7265	2406.6906	4813.3812	3409.47835	2807.8057	7821.74445	13637.9134	1805.01795	2807.8057	4813.3812	3008.36325	5816.16895	5013.93875
Proteus	33894.22595	2406.6906	5214.4963	2406.6906	2607.24815	2807.8057	1203.3453	2005.5755	0	0	601.67265	2406.6906	1203.3453	1604.4604	1203.3453	8222.85955	3810.59345	200.55755	1002.78775	401.1151	3409.47835	3810.59345
Oscillibacter	601.67265	1203.3453	1403.90285	2206.13305	0	2807.8057	0	1403.90285	0	2005.5755	0	0	601.67265	0	601.67265	4011.151	0	1403.90285	2005.5755	3008.36325	1604.4604	1805.01795
Akkermansia	3208.9208	5615.6114	5013.93875	2005.5755	4011.151	4412.2661	2005.5755	2607.24815	601.67265	3208.9208	1203.3453	2406.6906	3008.36325	0	5013.93875	13236.7983	1604.4604	2406.6906	1805.01795	1403.90285	1604.4604	2406.6906
Sphingomonas	1604.4604	5013.93875	3610.0359	2807.8057	5013.93875	5415.05385	1203.3453	3008.36325	2807.8057	2607.24815	1805.01795	1203.3453	2005.5755	0	4211.70855	11231.2228	1203.3453	1203.3453	1002.78775	0	0	3610.0359
