function	050B	051B	052B	058B	059B	060B	064B	065B	066B	067B	073B	074B	075B	076B	080B	081B	082B	083B	084B	085B	086B	087B	088B	095B	096B	097B	102B	103B	104B	105B	106B	107B	214B	215B	216B	226B	227B	228B	229B	230B	231B	232B	233B	234B	235B	236B	237B	238B	239B	240B	139B	140B	141B	142B	143B	144B	145B	146B	147B	148B	149B	150B	151B	152B	153B	154B	155B	156B	157B	158B	159B	160B	161B	162B	163B	164B	165B	166B	167B	168B	169B	249B	250B	251B	252B	253B	254B	255B	256B	257B	258B	259B	260B	261B	262B	263B	108B	109B	110B	111B	112B	113B	114B	115B	116B	117B	118B	119B	120B	121B	122B	123B	124B	125B	126B	127B	128B	129B	130B	131B	132B	133B	134B	135B	136B	137B	138B
EC:4.3.2.2	25234.58	13423.57	46398.59	16669.12	42281.34	41383.4	63541.67	68351.83	87766.54	74141.85	23937.57	5101.9	46223.34	49224.35	13631.67	29999.370000000003	15697.6	30250.03	8922.279999999999	35145.3	47484.23	43060.02	32628.29	40676.75	43368.28	50280.350000000006	29541.18	14789.94	88421.74	30925.36	4533.61	25627.68	12144.23	9330.84	19952.33	17274.34	7990.799999999999	11651.07	3544.2200000000003	16319.649999999998	10076.43	11985.149999999998	5210.09	13428.23	13300.52	15005.13	16986.61	14229.1	16398.62	13358.52	32982.93	11938.82	17727.94	16128.2	27335.57	30325.939999999995	18179.57	15258.42	38081.09	12663.2	17449.11	18311.8	33542.67	33212.41	9082.35	5744.0	7406.93	11487.5	5543.4	2234.41	16582.92	9229.76	16488.76	11300.419999999998	28273.19	30529.41	25733.09	49532.22	37901.15	29360.5	21986.05	17994.11	19037.19	19438.49	21306.24	13218.91	18915.03	17895.45	24450.02	33058.6	20362.26	19557.69	18652.570000000003	23026.11	21585.1	21972.24	46415.44	46315.14	52474.43	65738.57	65834.85	85225.2	82829.67	88676.40999999999	56812.38	71266.97	85521.45	76057.54999999999	79083.01999999999	56149.43	76600.75	63122.8	44416.3	60452.92	67443.58	70420.17	56154.92	72148.84	77386.92	65356.08	64688.58	62394.42	97774.76	74883.17	84467.0	78131.39	88508.2
EC:4.3.2.3	10057.83	12439.17	10212.59	5617.17	3499.92	4392.33	354.6	1206.5	1623.5	848.0	3839.75	1899.12	2017.55	2021.92	2164.25	1907.46	2617.5	2904.62	1783.31	1357.67	3942.54	1086.0	1526.75	6145.71	2691.16	3001.15	2189.0	2317.57	1140.83	895.0	789.25	782.05	2698.85	1028.12	6803.25	2397.34	818.3299999999999	1209.92	571.43	1135.61	808.21	1260.08	831.58	1196.83	1796.25	994.92	1870.91	1510.91	583.0799999999999	2414.35	509.25	1511.51	867.46	3566.92	4233.23	1762.5	3345.67	2787.66	907.25	1069.35	1295.25	1216.58	1315.5	1044.25	1116.15	667.0	875.0	783.83	515.25	1289.58	1341.57	692.7800000000001	1538.39	904.29	845.65	593.25	760.0	967.0	552.0	984.25	1100.4	529.4200000000001	83.75	48.67	55.0	55.17	80.0	124.0	28.75	5.75	1680.42	227.25	527.0	230.0	13.75	0.71	118.0	346.47	186.75	174.25	169.25	189.35	172.0	340.32	440.75	468.0	180.0	79.21000000000001	83.43	331.25	90.0	36.0	132.55	240.0	34.0	75.25	621.0	542.0	116.0	148.0	76.33	221.25	111.93	521.0	235.0	66.5	45.0
EC:4.3.2.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	30.0	0.0	0.0	0.0	6.0	0.0	0.0	10.5	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	19.0	0.0	161.0	227.0	51.0	47.0	17.0	0.0	87.0	16.0	14.0	27.0	0.0	0.0	0.0	92.0	60.0	44.0	12.0	29.0	100.0	14.0	102.0	70.0	0.0	0.0
EC:4.3.3.6	90.0	552.34	223.0	309.22	336.0	206.3	56.8	228.0	304.2	142.9	805.4599999999999	332.6	405.4	238.66	424.34	466.0	1152.06	1033.6	976.14	1023.0	243.9	555.5	503.0	837.34	990.9	776.83	541.09	957.2	729.16	549.0	581.67	475.6	3460.92	2437.07	8100.820000000001	4348.6900000000005	1172.17	1000.35	830.3	2016.7	1486.52	2759.94	1540.7	713.54	3210.19	1835.73	1882.52	2788.86	733.1700000000001	2772.6400000000003	2129.0	419.0	673.4	816.4	659.0	447.0	528.4	580.8	627.34	690.6600000000001	1421.0	1605.0	663.92	737.0	626.4	386.31	361.0	344.0	264.0	806.5	659.4300000000001	562.49	876.4	720.0	926.0	422.0	892.0	669.6	411.5	451.0	367.49	2052.45	1121.95	1097.3	1275.5	892.2	1489.4	1790.04	2379.0	991.2	6170.5	1749.66	1783.54	2027.96	772.6099999999999	3453.6	12210.8	8749.0	10177.4	35835.14	6907.2	22889.2	22961.84	28127.0	8417.54	53905.94	27659.56	17517.0	14552.84	7649.0	8674.66	12327.6	17728.5	1670.0	8508.5	887.5	5031.5	3857.16	1557.0	35572.0	1898.0	3416.84	4063.0	8788.0	15177.0	24316.1	38542.4
EC:4.3.3.7	27207.58	19590.77	49136.59	20545.369999999995	44266.34	44156.4	64082.27	70907.83	91054.29	75858.1	29854.57	8167.129999999999	50100.490000000005	53550.43	18968.26	34836.91	21153.95	35397.88	13213.02	38235.5	49760.62	45465.670000000006	35982.11	49335.51	52133.67	61028.82	32395.12	18411.55	93063.07	31919.060000000005	5901.68	26814.08	16051.09	11200.64	28207.13	20175.32	9148.73	12908.73	4245.05	18005.52	11379.97	14179.69	6313.51	14035.91	16146.350000000002	16414.46	18373.04	16763.760000000002	17090.79	16770.11	34008.270000000004	13191.46	18337.99	18244.120000000003	27381.17	29498.28	20006.3	16785.440000000002	39142.34	14142.87	19291.17	19975.46	34903.25	34710.57000000001	10271.5	6694.33	8539.43	12030.25	6073.07	3971.24	17623.629999999997	10707.17	20117.57	12494.33	30256.59	31382.41	26863.34	50957.22	38765.15	30616.25	23828.370000000003	19421.81	19414.19	19833.24	21543.24	13475.91	19282.87	18451.950000000004	20281.020000000004	32753.6	24440.94	19005.85	19528.140000000003	23596.61	21352.1	22034.24	43010.78	46262.91	37675.83	64164.09	62992.29	85695.0	81233.17	89491.86	60372.41	73587.97	85205.45	76277.56	78957.51999999999	58177.76	76529.92	63388.8	44355.6	58021.09	62745.91	70180.34	63348.92	78094.84999999999	78447.42	66083.91	65133.4	64897.92	98141.89	78814.84	87103.25	78797.56	88867.2
EC:4.3.99.3	9419.58	10211.57	9260.59	4378.32	2998.67	3530.48	155.6	456.5	615.1	333.2	1792.4	829.52	839.75	747.25	686.0	619.81	1192.23	1703.28	896.31	700.34	3344.52	444.2	600.45	5303.38	2293.03	2999.0199999999995	1064.6	1334.92	1028.08	463.4	480.05	382.05	2525.42	1354.7800000000002	5693.26	2811.03	933.91	1055.58	476.26	1308.63	959.79	1502.96	898.06	1227.16	1788.89	1135.92	1675.91	1646.16	510.25	2191.61	901.25	930.51	654.46	2815.37	3765.65	1497.72	2671.12	2191.23	542.25	497.68	787.25	854.25	785.0	575.25	662.35	372.82	550.0	577.58	361.25	715.92	1385.07	489.38	1090.59	595.96	800.6499999999999	304.25	375.0	450.55	238.0	469.25	555.23	855.92	208.58	231.17	250.33	126.67	308.0	297.67	1030.75	336.75	2992.84	992.41	1137.75	718.8299999999999	248.58	1602.21	231.0	347.72	231.75	143.25	107.22	235.35	97.67	333.82	712.4200000000001	732.6700000000001	331.33	91.71	202.6	261.25	108.33	115.0	160.05	154.5	163.0	117.75	738.0	626.3299999999999	253.0	105.0	75.5	142.25	130.43	296.0	296.0	120.0	115.0
EC:4.4.1.1	481.0	2043.97	775.0	825.0	437.5	528.25	146.0	427.0	587.25	313.0	1728.33	801.33	799.0	730.75	622.5	553.27	1194.28	1838.85	1252.25	689.42	382.83	425.2	560.4499999999999	3076.15	3920.66	5486.629999999999	1014.11	1533.64	101.0	422.4	380.75	344.0	1402.96	552.04	415.0	934.66	339.17	482.25	306.08	560.28	424.71	798.16	505.9	261.0	978.0	535.0	936.68	719.5200000000001	262.67	1223.8000000000002	837.0	641.42	359.5	915.0	663.14	311.67	663.0	587.25	508.25	479.58	737.0	716.0	558.0	503.0	596.75	357.82	443.0	268.0	322.0	670.42	267.14	681.5600000000001	1621.5300000000002	591.17	999.0	260.0	315.0	393.0	213.0	432.0	490.25	142.0	125.0	83.0	163.38	38.0	95.0	84.5	924.0	281.0	989.62	744.33	592.45	458.25	210.0	1584.0	29.0	31.8	56.0	77.67	50.67	67.0	74.0	32.14	35.0	56.0	18.0	74.42	41.0	65.0	45.0	16.0	39.0	119.0	17.0	19.0	69.0	117.0	40.0	59.0	35.0	73.0	56.11	136.0	74.0	38.0	19.0
EC:4.4.1.11	236.0	570.68	284.0	513.25	353.0	445.25	60.0	451.0	492.25	256.0	603.33	347.8	576.0	714.75	936.0	992.0	905.58	551.1800000000001	1053.83	559.92	408.43	451.0	602.25	649.17	395.25	84.29	268.0	139.5	147.0	62.0	258.0	179.0	1160.5	859.0	0.0	1470.25	377.43	475.75	132.25	1021.75	495.5	944.17	551.5	349.0	1076.76	701.75	1161.88	997.92	284.42	1258.25	145.0	76.0	240.9	178.0	90.5	63.0	143.0	159.25	48.25	69.58	208.0	232.0	79.25	132.0	101.75	103.0	176.0	35.0	23.0	187.75	131.43	43.29	121.25	58.75	123.0	90.5	101.0	212.5	123.0	88.0	250.25	168.25	74.75	130.0	104.0	132.5	191.0	112.0	78.0	34.0	1574.13	143.0	217.75	126.5	22.25	0.0	1807.0	311.75	194.0	4.0	25.0	58.0	54.0	137.0	117.0	108.0	125.0	22.0	1610.0	893.0	607.0	72.0	305.0	36.0	747.0	817.0	745.0	293.0	204.0	2568.0	115.0	130.0	1460.25	716.5	785.0	41.0	717.0
EC:4.4.1.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:4.4.1.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
