"","1913-12","1913-16","1913-4","1913-8","1913-B","1914-12","1914-16","1914-4","1914-8","1914-B","1915-12","1915-16","1915-4","1915-8","1915-B","1916-12","1916-16","1916-4","1916-8","1916-B","1917-12","1917-16","1917-4","1917-8","1917-B","1918-12","1918-16","1918-4","1918-8","1918-B","1919-12","1919-16","1919-4","1919-8","1919-B","1920-12","1920-16","1920-4","1920-8","1920-B","1945-12","1945-16","1945-4","1945-8","1945-B","1947-12","1947-16","1947-4","1947-8","1947-B","1948-12","1948-16","1948-4","1948-8","1948-B","1949-12","1949-16","1949-4","1949-8","1949-B","1951-12","1951-16","1951-4","1951-8","1951-B","1952-12","1952-16","1952-4","1952-8","1952-B"
"Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia",3603,242,1478,186,713,950,900,1200,1786,1248,1220,831,1184,294,2683,1172,1677,2565,2708,3391,1695,1700,11460,1520,136,1030,755,4779,535,658,144,2181,7933,691,164,73,1287,6028,1209,1781,283,1906,1009,7,684,0,73,842,20,56,9,1166,714,34,1387,95,133,39,47,53,35,23,99,123,88,124,10,144,56,83
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;A2",11,1472,0,4073,0,6931,838,0,0,0,2832,4221,0,1307,15015,1899,1219,156,4,6184,10,0,0,231,683,0,87,0,5370,190,8,9,235,92,2165,1983,0,53,0,15673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,145,625,0,0,41,306,3301,0,25,20,561,1222
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA",0,0,0,0,0,0,0,0,11,0,0,0,14,0,0,0,0,25,0,0,955,2402,15770,448,0,1953,2725,8089,361,0,1944,0,1167,2572,0,7415,0,24858,0,0,24,582,1535,44,1249,36,27,358,15,1784,42,60,1071,0,541,0,0,122,0,122,0,0,18,37,91,0,0,112,21,0
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4359,2242,124,4218,0,5413,1410,992,1219,0,3685,1396,1665,2486,0,1390,1351,53,2785,0,10199,4148,0,1002,0,1570,1528,0,943,0,1281,4588,0,2062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4283,2141,111,4145,0,5475,1415,955,1296,0,3725,1454,1580,2472,0,1338,1330,51,2804,0,9973,4053,0,970,0,1560,1603,0,953,0,1210,4606,0,2033,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA",1197,614,353,99,388,1128,1264,147,1031,478,1272,783,347,322,1431,1156,568,99,510,957,2606,246,483,160,366,1826,145,711,329,503,2006,121,736,140,174,560,131,203,394,747,0,0,0,0,771,0,0,158,1886,1255,0,0,0,2599,5037,0,0,1993,0,0,0,0,5730,0,378,0,0,5767,0,0
"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium",1254,920,327,254,885,736,740,1390,1284,417,673,493,530,731,718,620,528,701,893,786,359,1181,56,190,902,385,173,0,358,616,211,304,67,270,394,534,1007,102,465,897,1395,471,1864,638,757,1479,745,2896,1038,1122,1652,1172,922,704,809,234,74,637,196,234,134,85,1412,776,523,278,214,491,442,998
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group",0,0,0,2191,1102,0,0,325,80,850,1558,77,0,1013,0,0,55,0,24,0,436,0,1980,559,128,801,4417,1569,312,76,876,0,529,2540,0,1141,0,191,0,0,166,137,196,66,992,98,2856,55,38,457,945,41,140,153,142,1110,1159,1213,33,424,1514,0,1090,2552,1467,473,2581,1054,1579,1100
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group",0,978,0,0,668,637,1483,39,0,1441,2411,2278,21,5302,0,2080,132,0,0,235,918,1840,0,0,208,2143,2189,4218,219,3190,2359,0,205,0,0,1702,0,0,0,62,0,75,374,88,0,19,527,357,0,942,465,0,0,30,1925,90,0,697,33,122,0,0,0,32,2067,54,0,996,76,61
"Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae;Anaeroplasma",51,302,324,206,593,367,397,62,43,312,314,362,350,612,283,1174,436,604,92,315,328,1396,12,273,245,936,284,127,187,391,979,45,686,231,106,1000,58,1333,114,629,2112,52,1899,1124,563,1065,218,2890,1162,100,1395,569,1719,2106,299,559,595,1123,879,285,470,244,99,93,144,404,1560,821,528,1367
