function	46	25	22	11	2	40	235A	228A	227A	226A	073A	107A	106A	105A	097A	075A	081A	083A	085A	215A	088A	260A	259A	261A	167A	140A	146A	151A	156A	258A	161A	158A	162A	124A	119A	134A	135A	137A	115A	111A	120A	129A
K05913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K05916	7663.29	6856.5	7687.92	7136.93	7136.38	8644.89	1700.75	3434.67	3425.08	3265.0	1260.75	141.75	607.0	648.17	1198.36	147.25	1075.0	1740.0	2014.74	1810.75	1958.75	926.0	752.0	594.0	67.25	2442.0	2893.25	2446.17	3757.25	3283.0	1749.56	2256.83	1619.5099999999998	996.25	1128.75	5258.25	4775.0	1623.3	2762.0	829.0	269.0	101.0
K05917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K05919	125.66	80.34	108.34	173.34	231.34	153.16	37.0	92.0	528.4	571.5	5562.5	55.0	1191.0	501.5	1572.67	2812.5	554.0	709.5	366.5	7253.5	1555.0	3665.83	5229.5	2744.0	6756.42	4286.06	4961.64	3456.0	5229.8	138.0	4582.5	4670.9400000000005	4747.83	4263.01	5860.24	9742.68	4752.57	16269.7	7057.27	4051.53	6284.27	19722.1
K05921	12.58	25.0	11.0	29.0	21.0	8.67	44.0	134.67	208.33	149.0	24.0	34.0	74.0	42.67	2155.7200000000003	44.0	850.0	1338.0	1243.98	0.0	113.75	0.0	0.0	0.0	40.0	61.5	78.5	56.67	95.0	0.0	2090.7	52.83	1994.44	14.0	0.0	16.0	0.0	0.0	12.0	0.0	0.0	16.0
K05922	0.0	0.0	0.0	0.0	10.0	0.0	5.0	8.0	3.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K05927	0.0	0.0	0.0	0.0	10.0	0.0	5.0	8.0	3.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K05928	43.0	30.0	45.0	52.0	93.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K05929	0.0	2.33	0.0	1.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K05934	213.12	129.17000000000002	189.68	262.6	369.1	202.05	37.0	92.0	507.4	621.2	4915.5	86.0	750.6	441.5	2539.03	1814.5	959.0	1132.0	696.99	1365.5	1552.5	2880.83	4434.7	1853.0	3646.67	3189.73	3601.4700000000003	1315.5	2260.3	62.0	5538.14	2282.27	4878.26	3629.84	5530.57	11271.51	6685.57	15195.7	6809.6	3864.3	3954.77	18022.93
K05936	217.12	129.17000000000002	187.01	265.6	377.1	204.05	37.0	92.0	507.4	610.2	4927.5	103.0	787.6	459.5	2548.03	1836.5	966.0	1132.0	731.99	1365.5	1592.5	2884.83	4434.7	1855.0	3666.67	3203.73	3610.47	1315.5	2268.3	62.0	5538.14	2285.27	4886.26	3678.84	5582.57	11428.51	6807.57	15248.7	6884.6	3959.3	4009.77	18253.93
K05937	38803.0	61871.0	40096.0	48335.0	68622.0	41540.0	19267.0	11222.0	11435.0	17057.0	31570.0	35266.0	29419.0	30394.0	25947.0	34910.0	28512.0	25953.0	22946.0	5442.0	26341.0	14934.0	10428.0	7433.0	20900.0	14663.0	12584.0	19513.0	16791.0	6361.0	17811.0	10211.0	16863.0	13988.0	14540.0	13227.0	5893.0	10871.0	22887.0	18256.0	5965.0	6221.0
K05939	7881.63	6945.83	7909.75	7080.43	594.6800000000001	8790.22	2358.42	3487.5	3543.58	3524.74	46.59	323.41	267.34000000000003	895.5	1110.03	171.75	572.8299999999999	809.5	1374.07	67.75	1511.59	31.0	42.17	18.33	36.59	2303.0	2456.42	2364.67	2873.25	1295.0	1619.23	2051.83	1455.01	15.25	15.75	15.25	0.0	7.5	41.0	0.0	0.0	8.0
K05946	40955.17	63351.0	41280.34	49571.0	73996.33	43607.83	19304.0	11255.0	11648.4	17364.230000000003	36987.5	38383.0	32268.2	32909.5	28208.17	39240.5	30452.0	27355.0	23805.0	10339.5	30181.0	18109.83	15921.9	10587.0	25415.67	18849.35	15270.2	27145.9	20761.8	9684.0	20231.65	16239.45	19340.83	19584.77	20265.3	21171.84	17314.07	24021.5	29957.53	21758.47	11616.97	18369.86
