"",Taxa,Abundance,Percentage
"1",Firmicutes,303881,74.69
"2",Proteobacteria,70802,17.4
"3",Bacteroidetes,27508,6.76
"4",Actinobacteria,2844,0.7
"5",Euglenozoa,767,0.19
"6",Epsilonbacteraeota,650,0.16
"7",Fusobacteria,280,0.07
"8",Patescibacteria,116,0.03
