"",Taxa,Abundance,Percentage
"1",Firmicutes,62822,73.26
"2",Proteobacteria,16765,19.55
"3",Bacteroidetes,5010,5.84
"4",Actinobacteria,413,0.48
"6",Epsilonbacteraeota,157,0.18
"7",Spirochaetes,147,0.17
"8",Fusobacteria,71,0.08
"9",Verrucomicrobia,59,0.07
"10",Tenericutes,46,0.05
"11",Patescibacteria,14,0.02
