"",Taxa,Abundance,Percentage
"1",Firmicutes,747942,66.96
"2",Bacteroidetes,212899,19.06
"3",Proteobacteria,151538,13.57
"4",Actinobacteria,2517,0.23
"5",Tenericutes,1512,0.14
"6",Patescibacteria,666,0.06
