"",Taxa,Abundance,Percentage
"1",Firmicutes,378008,64.1
"2",Bacteroidetes,121173,20.55
"3",Proteobacteria,85659,14.53
"4",Actinobacteria,1814,0.31
"5",Deferribacteres,1607,0.27
"6",Tenericutes,1278,0.22
"7",Patescibacteria,195,0.03
