"",Taxa,Abundance,Percentage
"1",Firmicutes,634951,63.79
"2",Bacteroidetes,204420,20.54
"3",Proteobacteria,151521,15.22
"4",Actinobacteria,2266,0.23
"5",Tenericutes,1605,0.16
"6",Deferribacteres,621,0.06
