pathway	055B	056B	068B	071B	077B	078B	091B	092B	093B	094B	098B	099B	100B	101B	217B	218B	219B	220B	223B	224B	225B	241B	242B	243B	244B	245B	246B	248B
GALACTARDEG-PWY	171.10816569862837	6727.359682379983	60.44032468414581	141.93105018760497	68.73906073739832	34.18295194295371	2689.26405222072	418.3007009648951	296.61903393909944	151.07996509630215	195.4824343151965	4322.862459109253	18.15120139813342	185.7698970206714	215.9818649102181	180.1596852039696	2974.8312130118693	412.12518314138856	353.79290510186416	342.54457399644554	440.06774348968935	635.4483492004671	207.466368328624	336.0090795351116	479.2697779018303	1495.3107944519406	452.8178757080851	392.6197060546425
GALACTUROCAT-PWY	1115.7434253438312	7348.459163120764	1618.9921809387736	3285.8744086034803	799.9607943143083	797.0777496568799	4368.370170832009	3583.1038052625463	1620.590580975945	1727.2551074199766	690.9557889411677	5747.465687419645	326.2615600457588	471.6648649647762	2088.5607551423145	2193.962072257253	4491.871319146119	4989.749363893156	5563.775746667278	3174.2316782286152	3322.2914282243423	2494.1261718774213	2865.0136140867576	3962.7901126891456	3730.61833486488	2875.971730804033	3973.3246557411226	3823.9972102937713
GALLATE-DEGRADATION-I-PWY	118.2584261265974	62.23923111205844	129.10506217913428	99.10224756073168	151.20295896201495	204.8320221561416	131.80278096429262	309.9647009110772	138.08055951345727	79.0	25.75688698972634	0.0	0.0	0.0	72.462550434899	103.40791546126744	62.19710358969997	143.29087025224578	196.1135165588637	103.19963731610204	191.00865528291692	87.2244622142133	100.81936040742386	108.9749918906121	128.9513514922231	41.27762803234501	159.13527510368817	91.7797432579586
GALLATE-DEGRADATION-II-PWY	50.4424599831508	45.82493322047686	40.78039157506445	81.99467241048853	86.99486953223156	81.27703439068692	100.65901213101728	99.28430328432044	118.6221117858306	20.835164835164832	19.172550700444404	0.0	0.0	0.0	72.462550434899	42.16981074420038	54.056438916419545	106.16786983187524	65.85393996505616	45.16931275908231	46.96175235174939	38.20355025773196	41.821680786583954	65.12124388264853	56.382988212118825	31.34138972809668	62.01675885432014	53.97176313584251
GLCMANNANAUT-PWY	2753.861324946394	10409.708661204171	3935.868821588792	20930.83217219253	3371.452649020777	3958.850533457184	11668.866809460604	46316.20450900981	20886.557475033413	13838.865751434836	21500.70189328315	21227.65483673799	23397.95269516424	4323.084471412032	2171.219218319633	9609.179886165544	10747.586180471735	6961.365750416783	6461.437073885993	8052.41994082264	7544.592863984112	4666.082215676725	4572.122480295127	4306.3465951197095	8292.443105172253	6391.134434037354	4018.209184308851	7663.460468219559
GLUCARDEG-PWY	172.93737245543247	7033.028582327884	60.60252125690234	144.59137299096818	69.12149000560859	34.243440051739135	2820.698756181337	428.7943279901018	305.8727852112691	153.54029756940756	200.7559529665328	4359.372762174118	18.243988655657542	191.7686215234245	229.443337264622	188.5414863466853	3025.978322152814	444.25893161154136	370.1062136943162	357.64623260479885	463.75843255150255	674.0398846755334	213.2054829656861	347.8159757269528	505.1445571666025	1578.0988961392673	474.48386719217103	410.9387778758909
GLUCARGALACTSUPER-PWY	171.10816569862837	6727.359682379983	60.44032468414581	141.93105018760497	68.73906073739832	34.18295194295371	2689.26405222072	418.3007009648951	296.61903393909944	151.07996509630215	195.4824343151965	4322.862459109253	18.15120139813342	185.7698970206714	215.9818649102181	180.1596852039696	2974.8312130118693	412.12518314138856	353.79290510186416	342.54457399644554	440.06774348968935	635.4483492004671	207.466368328624	336.0090795351116	479.2697779018303	1495.3107944519406	452.8178757080851	392.6197060546425
GLUCONEO-PWY	6155.020660606832	14141.607686429446	13442.443512847867	26229.414542424816	6194.559923053018	7260.786641039012	17185.423870040886	52796.39019905132	24305.38024196192	18427.941853302986	23193.547202450627	23006.01050624516	24913.067551390297	5185.5862031115175	6480.502474417527	14177.782195913898	12817.666053780567	15785.463103514829	15445.272547533914	13811.721329866628	14944.051793118751	10314.49428102909	10284.859435360448	11409.450219189051	16003.270381364484	9560.782479008978	10583.351004562342	15136.184523060036
GLUCOSE1PMETAB-PWY	3063.398367824837	9274.656060016958	4759.625674084534	1883.4294948678648	2342.708524250452	3499.454595399081	4970.629701801526	4234.976971448365	2049.521649574026	2095.092466451713	1564.2349119876783	6555.012414947454	1030.1383151677949	1247.1493223049167	1285.471821173657	1419.2935231143415	5019.190186614723	2772.030865859425	2317.9324293549207	2602.7597497838897	3240.264671892201	2257.372624792021	2264.4951188041973	2540.802882934692	2831.1796697247705	3454.832298261577	2252.209646279568	2549.0827079468013
GLUCUROCAT-PWY	464.5425588910016	7391.758201308367	784.5627642885208	1049.9636414907982	269.9143098140128	170.53775202647486	3900.6790435513713	10348.681067328467	974.696810150829	1343.722744978231	595.5066584277168	5848.444326376783	546.044182076158	335.93753712424194	1370.698418135581	1348.551016714658	4609.956553783189	3329.5750706118806	3122.442855121003	2006.7994537017664	2391.2162651700714	1673.4289505640645	1506.1783335641333	2444.321522908585	2308.0580320951944	2602.1130260298773	2338.0166217480355	2103.387707940361
GLUTORN-PWY	6399.265880669742	12037.704995778864	8524.591472368398	7722.356201959001	5165.487576498032	7493.359642900632	9110.671843777323	11651.580360229867	9443.95961326479	7393.873429662909	5214.323811167627	8188.065047485276	3415.5655069314234	2993.2335581113257	5357.273873535401	7842.444334786326	6647.2042014140425	12829.258977675268	12048.629780917236	9893.536206569106	10547.505562447956	5830.616270581809	8190.865644066873	10028.358549929984	11286.007196180895	5942.408950853809	9030.359638837564	10800.34800750316
GLYCOCAT-PWY	4217.352874693403	11492.780446291566	6323.124100986615	5603.645442478255	3474.338453159354	4048.447729591881	8765.341065335717	15908.96502132252	4793.316720388855	3913.978164284631	2610.9832633875435	8125.617789597913	2345.473317629041	2171.5772119491667	5406.006460092421	6282.942342691873	7057.464806348039	13306.053158435554	12614.494627731092	8869.304852935195	10947.851170858174	6141.70363936122	7544.581926092982	9789.68925195461	10601.991087901111	5821.261615712627	8793.9386775388	10184.620747600444
GLYCOGENSYNTH-PWY	3050.35264409233	8595.752769232187	4355.499143164001	16327.574819330965	3793.013756199464	3281.8123934478745	8625.16450988567	19645.271669719008	4952.897290087388	3691.3582670971455	2091.0484019335545	7347.605977546929	3991.98678544469	2398.8918563537145	5449.766164156615	5769.471515434835	5299.339632859463	13144.493338672086	13021.912699998797	8323.250380669606	10213.166646737374	5560.813458222805	7591.677594347509	9370.32407756047	10104.779156431072	5022.221109121345	8868.733399503206	9945.45710997273
GLYCOL-GLYOXDEG-PWY	722.8562756877384	8120.582561062834	473.5750071711253	5891.496566615953	1704.134898641307	641.6637003166204	4587.0601799382775	4695.014879203185	1303.0103757179925	901.7454327015604	654.758585331086	7595.950570206344	989.9301448764568	1021.9378127495156	1041.492961385418	1378.9448636571192	4501.237170367777	2762.742566149071	2751.15541011336	1978.267710567183	2385.525451981888	1825.5380949352736	1910.985396076621	1939.512186394888	2390.666022238803	2533.4423506605385	1917.765165320908	2339.709759376309
GLYCOLYSIS	5368.440307834649	15181.708395926107	15016.669549410071	25233.757971164283	5758.069760648374	6717.809456018384	17655.425000111605	49927.5193740146	24282.36450310988	17272.325570343517	23461.34435288916	22626.23537273424	24141.435990060843	5347.620453672302	7263.899327831465	15038.280751687436	13158.022200657557	17821.488215739373	17594.189498102263	15600.504565262758	17214.167998854948	11520.739538592508	11745.115637183597	12716.832942396226	18068.565699252995	10434.627688660745	11800.3770296166	17092.12267483496
GLYCOLYSIS-E-D	5035.867830640133	12592.646631666972	10843.994475729558	9584.260558735494	4980.998563132586	5819.80096150512	11446.53619031566	12860.338878571358	9582.984630086385	7936.771367265098	4498.040485182757	11705.963797844732	2897.3519781572336	2688.695751725967	4043.300373004121	5776.920040816307	7752.889723085005	8417.626505164038	8934.231664841842	6865.977081218293	8426.424998841536	5652.687086268051	6489.02998554406	7509.355102545096	8822.091392235616	6162.704087987252	6993.472319914219	8576.564774616427
