function	055A	056A	068A	071A	077A	078A	091A	092A	098A	099A	100A	101A	217A	218A	219A	220A	223A	224A	225A	241A	242A	243A	244A	245A	246A	248A
EC:1.3.1.1	10244.0	9788.34	155.0	211.5	73.5	252.0	7877.66	7384.16	9363.34	9912.34	10511.0	11188.34	657.84	3125.0	8225.84	4029.34	3094.34	15290.16	4539.34	2709.84	20622.66	3121.34	7179.34	1738.16	3559.0	19792.84
EC:1.3.1.10	14822.27	16227.61	37540.37	39533.62	28090.68	24265.34	15220.9	23225.76	16550.48	23132.79	21104.67	22046.2	4193.299999999999	4723.59	6812.67	6893.0	14670.86	19103.300000000003	8188.07	7398.960000000001	23942.92	5110.82	18594.33	8277.68	10519.92	22512.58
EC:1.3.1.101	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	9.0	4.0	7.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.1.104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.1.106	3.0	56.5	141.0	177.0	6849.67	344.5	2495.0	242.5	407.22	180.33	913.52	233.86	4467.88	6240.85	2659.58	6689.7	5961.2	2303.0	5560.0	4206.66	2312.5	5844.62	3497.0	3340.66	1909.17	2569.16
EC:1.3.1.12	9395.27	11444.61	12806.37	13388.62	10494.85	4425.01	14297.9	13265.26	12522.98	13154.12	17243.34	12456.7	11274.84	25809.31	9808.1	25641.02	14020.96	8024.05	18147.9	18059.37	8464.67	21595.96	14022.33	12267.44	7400.05	9086.24
EC:1.3.1.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.1.14	2686.27	4060.94	12125.2	13768.53	14900.43	6253.67	10226.740000000002	6651.85	1375.17	2610.53	3675.07	2662.17	13265.3	36895.57000000001	5455.5	35740.92	14764.56	18469.05	18929.89	23604.939999999995	23812.26	28548.29	25777.24	16298.420000000002	10662.14	27348.15
EC:1.3.1.20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.1.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.1.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1982.5	271.75	41.0	2236.75	2171.0	1938.75	65.0	66.5	1391.25	85.5	5653.5	2403.0	3201.75	99.0
EC:1.3.1.24	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.1.25	0.0	0.0	121.0	163.0	46.0	195.67	64.0	15.0	353.72	151.0	232.85	224.86	177.91	209.33	76.75	7.0	0.0	0.0	64.67	0.0	13.0	0.0	0.0	0.0	18.5	0.0
EC:1.3.1.28	5161.0	4928.67	9.0	19.75	8.25	10.0	3904.83	3712.58	5303.36	5275.42	5728.45	6046.389999999999	303.0	1594.83	4135.17	2027.42	1542.17	1975.08	2279.84	1303.42	1983.83	1422.67	396.42	841.58	1430.25	1126.42
EC:1.3.1.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	318.4	82.63	0.0	13.6	152.6	48.5	127.0	130.33	96.67	237.9	0.0	116.33	69.67	49.33
EC:1.3.1.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.1.33	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.1.34	5161.0	4928.67	134.0	182.75	54.25	203.67	4055.83	3727.58	5039.64	5151.42	5521.6	5855.530000000001	943.16	2065.33	4226.17	2033.42	1547.17	1975.08	2407.84	1406.42	2015.33	1662.67	401.42	896.58	1477.33	1132.42
EC:1.3.1.43	0.0	0.0	20.0	9.0	11.0	39.0	2.0	0.0	6.0	0.0	0.0	0.0	92.5	99.0	9.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0
EC:1.3.1.44	0.0	0.0	4.0	0.0	0.0	3.67	13.0	0.0	3.0	0.0	0.0	0.0	599.0	579.67	91.0	90.17	21.0	2.0	84.0	0.25	13.0	7.75	13.0	2.0	4.5	8.0
EC:1.3.1.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.1.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.1.53	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.1.54	3.0	56.5	141.0	177.0	6849.67	344.5	2495.0	242.5	407.22	180.33	913.52	233.86	4467.88	6240.85	2659.58	6689.7	5961.2	2303.0	5560.0	4206.66	2312.5	5844.62	3497.0	3340.66	1909.17	2569.16
EC:1.3.1.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.1.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.1.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.1.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.1.76	7878.5	11002.17	5653.5	4776.75	7685.42	1128.67	10357.33	9256.08	12366.36	12816.75	16209.62	12133.89	7398.54	22756.01	7212.75	23332.87	9784.87	4777.58	14061.34	15086.08	5766.33	17497.96	7875.67	7890.74	6415.96	7184.91
EC:1.3.1.78	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	11.0	0.0	2.0	0.0	0.0	5.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.1.83	3.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.1.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.1.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	17.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
