"","2","5","10","11","18","20","22","25","27","32","36","39","40","44","46"
"Lactobacillus",8567819.2244365,701612.445352864,527309.37375802,6217140.74831091,1489808.66405496,3281099.1880997,5559246.0114688,6827485.38011696,373871.572134219,2214841.31039573,5460881.16731959,7130528.58683927,5300630.21631749,3532617.95264861,5372877.98784988
"Escherichia_Shigella",16890.9328337024,7547408.164424,7874013.51274627,3426020.55300062,8141003.8040084,5883580.3099983,4074405.26883552,2933912.45103049,8907341.16845512,7345852.49531596,14903.7642650315,15897.3485493669,4289161.41486402,5456481.00834611,4182847.89644013
"Muribacter",134843.581445523,274087.321864532,235479.475387498,39885.3119854653,13200.4769204565,7238.97121444388,127888.491455175,25123.4883324817,20297.5075228524,12490.7738602169,948731.050928292,626951.683415659,41730.5399420882,14619.8830409357,75370.4649974451
"Staphylococcus",431783.34184977,866973.25838869,1012036.56390166,14619.8830409357,119230.114120252,97939.0223130642,5677.62448191677,3548.51530119798,175580.537103276,2838.81224095838,1695480.61091239,190910.123204451,2129.10918071879,26117.0726168171,0
"Streptococcus",591324.589791631,58053.7103275989,88854.8231419974,100777.834554023,26684.8350650088,19871.6856867087,102765.003122693,128030.432067223,15755.407937319,10645.5459035939,650229.943791518,401549.991483563,235195.594163402,191619.826264691,234202.009879067
"Enterococcus",2129.10918071879,5819.56509396468,4400.15897348549,1703.28734457503,2271.04979276671,3690.4559132459,0,851.643672287515,9368.08039516266,4967.92142167717,14619.8830409357,18026.4577300857,2838.81224095838,10787.4865156419,851.643672287515
"Pseudomonas",283.881224095838,0,1277.46550843127,0,0,0,0,0,0,425.821836143757,1135.52489638335,0,0,993.584284335434,0
"Lachnospiraceae_NK4A136_group",13200.4769204565,27678.4193493442,15471.5267132232,10645.5459035939,9935.84284335434,45420.9958553341,6813.14937830012,4967.92142167717,24413.7852722421,21291.0918071879,65860.4439902345,74092.9994890138,7806.73366263555,41162.7774938966,10077.7834554023
"Muribaculaceae",58195.6509396469,133282.234712996,64299.0972577074,55356.8386986885,45420.9958553341,159683.188553909,23136.3197638108,18594.2201782774,125617.441662408,92971.100891387,218730.483165843,407511.497189576,33923.8062794527,203258.95645262,24413.7852722421
"Lachnospiraceae",4400.15897348549,8090.61488673139,3548.51530119798,1561.34673252711,1277.46550843127,12774.6550843127,1703.28734457503,0,9368.08039516266,7522.85243853971,27820.3599613922,41446.6587179924,2412.99040481463,18594.2201782774,2271.04979276671
"Bacteroides",8800.31794697099,23704.0822120025,10077.7834554023,6813.14937830012,6245.38693010844,24271.8446601942,5677.62448191677,2980.7528530063,11497.1895758815,17316.7546698461,33072.1626071652,39317.5495372736,4967.92142167717,23420.2009879067,7948.67427468347
"Turicibacter",0,0,0,0,0,1135.52489638335,0,0,141.940612047919,0,211775.393175495,851.643672287515,993.584284335434,709.703060239596,0
"Parabacteroides",0,0,283.881224095838,0,0,425.821836143757,0,0,0,709.703060239596,1419.40612047919,1277.46550843127,0,283.881224095838,0
"Phyllobacterium",10361.6646794981,28530.0630216318,11639.1301879294,10645.5459035939,12916.5956963606,39175.6089252257,6103.44631806052,3974.33713734174,24271.8446601942,20439.4481349004,57769.8291035031,92261.3978311474,4400.15897348549,44569.3521830466,7664.79305058763
"Odoribacter",0,567.762448191677,0,0,709.703060239596,1987.16856867087,0,0,851.643672287515,1845.22795662295,3832.39652529382,4400.15897348549,141.940612047919,1419.40612047919,425.821836143757
"Rikenellaceae_RC9_gut_group",8232.55549877931,9084.19917106682,8516.43672287515,6955.08999034804,4967.92142167717,17174.8140577982,5393.74325782093,2412.99040481463,12916.5956963606,14336.0018168398,26400.953840913,42866.0648384716,3406.57468915006,23278.2603758587,4542.09958553341
"Prevotellaceae_UCG_001",7097.03060239596,16890.9328337024,5677.62448191677,6671.2087662522,12632.7144722648,20013.6262987566,2980.7528530063,4684.04019758133,16465.1109975586,11497.1895758815,27820.3599613922,38607.846477034,3690.4559132459,24129.9040481463,5961.5057060126
"Lachnoclostridium",1561.34673252711,3832.39652529382,2271.04979276671,0,0,8800.31794697099,709.703060239596,0,1277.46550843127,1135.52489638335,4116.27774938966,4258.21836143757,0,2412.99040481463,0
"Muribaculum",0,1561.34673252711,1703.28734457503,0,0,2412.99040481463,709.703060239596,0,2271.04979276671,2129.10918071879,1987.16856867087,7522.85243853971,0,1419.40612047919,0
"Alistipes",10929.4271276898,23562.1415999546,10219.7240674502,7238.97121444388,6813.14937830012,14903.7642650315,4400.15897348549,851.643672287515,16465.1109975586,20581.3887469483,37756.2028047465,52943.8482938738,3264.63407710214,18736.1607903253,6103.44631806052
"Anaerotruncus",1135.52489638335,2838.81224095838,0,1277.46550843127,1277.46550843127,0,993.584284335434,993.584284335434,0,709.703060239596,4542.09958553341,6245.38693010844,567.762448191677,4825.98080962925,0
"Alloprevotella",11497.1895758815,29381.7066939193,12348.833248169,10503.605291546,11497.1895758815,23704.0822120025,7948.67427468347,5251.80264577301,17884.5171180378,16890.9328337024,36478.7372963152,76647.9305058763,8800.31794697099,36762.6185204111,13484.3581445523
"Peptococcaceae",709.703060239596,4400.15897348549,993.584284335434,0,709.703060239596,425.821836143757,0,0,1845.22795662295,2554.93101686254,1135.52489638335,2838.81224095838,0,1845.22795662295,0
"Ruminococcaceae",0,1845.22795662295,0,0,0,1561.34673252711,0,0,851.643672287515,0,3122.69346505422,3690.4559132459,0,1987.16856867087,0
"Roseburia",0,1987.16856867087,1845.22795662295,0,0,1703.28734457503,0,0,0,0,0,1987.16856867087,0,2554.93101686254,0
