"",Taxa,Abundance,Percentage
"1",Firmicutes,62966,73.43
"2",Proteobacteria,16705,19.48
"3",Bacteroidetes,4936,5.76
"4",Actinobacteria,374,0.44
"5",Euglenozoa,256,0.3
"6",Epsilonbacteraeota,170,0.2
"7",Spirochaetes,136,0.16
"8",Fusobacteria,80,0.09
"9",Verrucomicrobia,59,0.07
"10",Tenericutes,54,0.06
"11",Patescibacteria,16,0.02
