"",Taxa,Abundance,Percentage
"1",Firmicutes,788605,71.89
"2",Proteobacteria,298296,27.19
"3",Bacteroidetes,8237,0.75
"4",Verrucomicrobia,1592,0.15
"5",Cyanobacteria,126,0.01
"6",Actinobacteria,86,0.01
