"","073B","075B","081B","083B","085B","088B","097B","105B","106B","107B","111B","115B","119B","120B","124B","129B","134B","135B","137B","140B","146B","151B","156B","158B","161B","162B","167B","215B","226B","227B","228B","235B","258B","259B","260B","261B"
"Enterorhabdus"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2","12"," 5","14","12","13"," 1","13"," 6"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"Escherichia_Shigella","  2","  3","  2","  1","  2","  1","  0","  2","  7","  0","  0","  2","  1","  0","  0","  0","  2","  0","  0","175","714"," 50","208"," 40","  0","  6","  0"," 36","400","180","188"," 17","244"," 41","171"," 61"
"Faecalibacterium","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","1","4","1","3","5","0","0","0"
"Flavobacterium"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","16","12","11"," 7","19","17"," 4"," 3"," 0"
"Flectobacillus","3","0","1","0","0","1","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"Fusobacterium"," 0"," 0"," 0"," 1"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 1"," 0"," 1","24"," 7","12"," 7","13"," 9"," 2"," 1","11"
"Gemella"," 0"," 1"," 1"," 4"," 0"," 1"," 0"," 5","19"," 0"," 1"," 0"," 1"," 0"," 0"," 0"," 1"," 0"," 0"," 5"," 9"," 4","13","10"," 0"," 5"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"Halomonas","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","2","1","3","0","0","0"
"Klebsiella","  0","  0","  0"," 58","  0","  0","590","  1","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0"," 12","  0","  0","  0","  0","427","  5","  0"," 24","  4"," 14","  4"," 21"," 12","  4","  2","  0"
"Kurthia"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 6"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1","16"," 5","12"," 0"," 2"," 0"," 0"," 0"," 0"
"Lachnoclostridium"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 8","31"," 1"," 6"," 7","28"," 1","29"," 4"," 0"," 0"," 0"," 0"," 6"," 0"," 0"," 0"," 6"," 2"," 0"," 1"," 0","32"," 0","17"," 2"
"Lachnospiraceae_FCS020_group","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","5","0","0","0","0","0","0","0","0","0","0","0","7","0","9","0","8","3","0","0","0"
"Lachnospiraceae_NK4A136_group"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 5"," 2"," 4"," 2","22"," 1"," 9"," 4"," 1"," 0"," 0"," 0"," 0"," 0"," 1"," 0","15","11"," 4"," 0","18","44"," 2","24"," 8"
"Lachnospiraceae_UCG_001"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 8"," 2"," 1"," 5","12"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 6"," 5"," 2"," 0"," 0"
"Lachnospiraceae_UCG_006"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 1"," 1"," 3"," 0","27"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"Lactobacillus","1408","1839","1593","1144","1669","1957","1600","1974"," 788","2051","1671","1549","1998","1706","1506","1694","2140","1562","1766","1440","1402","2219","1740"," 922","1599","1929","2334"," 594"," 582"," 528","1091"," 773"," 374","1905","1615","1937"
"Marinospirillum"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","30"," 7"," 3"," 6","13"," 9"," 0"," 4"," 2"
"Marvinbryantia","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0"
"Muribacter"," 443"," 425"," 654","1055"," 640"," 181"," 159"," 320","1169"," 220","   0","   0","   0","   0","   0","   0","   1","   0","   0"," 559","  90","   8"," 325","   0"," 210"," 184","   7"," 280"," 346"," 801"," 566"," 362","   6"," 131","  37","  10"
"Not_Assigned","  5","  1","  4","  4","  2","  3","  0","  2"," 22","  6"," 98","476","131","432","445","570","115","562","232"," 16"," 24"," 28","  8","186"," 22"," 12","  4","140","107"," 43"," 39"," 90","289"," 35","133"," 61"
"Oscillibacter","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","0","0","0","0","0","0","0","0","8","2","6","0","1","8","0","2","0"
"Others","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Parabacteroides"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1","11"," 0"," 0"," 6"," 0"," 0"," 5"," 0"," 3"," 0"," 2","60","10","30","15"
"Parasutterella"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 1"," 4"," 6"," 6","11"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 5"," 2"," 0"," 0"," 0"
"Phyllobacterium"," 43"," 29"," 62"," 23"," 34"," 26","  3","  3"," 51"," 10","  0","  0","  0","  0","  3","  0","  1","  0","  0","  5"," 13","  3","  2","127"," 12"," 12","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"Porphyromonas"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 8"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","35"," 0"," 0"," 0","10"," 2"," 0"," 1"," 2"," 1"," 0"," 0"," 0"
"Prevotella_9"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 5"," 5"," 6"," 6"," 2"," 8"," 1"," 3","11"
"Prevotellaceae_UCG_003"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","23"," 3","12"," 2"," 5","19"," 0"," 2"," 1"
"Providencia"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","25"," 4"," 6"," 3","12","17"," 0"," 0"," 0"
"Pseudomonas","151"," 42"," 42"," 49"," 23"," 28","  6"," 25","103"," 30","  1","  1","  0","  2","  0","  1","  0","  5","  1"," 85"," 76"," 34"," 41","561"," 46"," 78"," 12"," 82"," 57"," 62"," 63","123","  8","  2","  2","  0"
"Rikenellaceae_RC9_gut_group"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","14"," 0"," 3"," 0","15","18"," 6","11","18","27"," 3"," 3"," 3"
"Rodentibacter"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","20","46","17","20","18","11","38","29"
"Romboutsia"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 8"," 0"," 0"," 0"," 0","39"," 9"," 5","27"," 4"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","34","29","19","16","28","32"," 0"," 5"," 3"
"Roseburia","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","6","5","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0"
"Ruminiclostridium_5","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","8","0","4","0","0","0","0","0","0","0","0","0","1","2","0","2","2","0","0","0","0"
"Ruminobacter"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 3"," 0"," 0"," 0","11","16","11"," 0","18","50"," 0"," 0"," 1"
"Ruminococcaceae_UCG_005","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  2","  0","  0","  0","  0","105"," 62"," 38"," 14"," 85"," 96","  2"," 14"," 14"
"Ruminococcaceae_UCG_010"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 5"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","17"," 0"," 0"," 0","44","33"," 7","14","25","52"," 2"," 1"," 2"
"Ruminococcaceae_UCG_014"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 8","11"," 5"," 2"," 9"," 5"," 0"," 3"," 2"
"Solibacillus"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","37","30","14"," 7","11","21"," 0"," 2"," 0"
"Staphylococcus"," 4"," 1"," 5","22","10"," 5"," 8"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 4"," 0"," 2","13","86","10","24"," 0","31","27","13"," 8","37","81","78","53","52"
"Streptococcus","315"," 40"," 14"," 19","  4","162"," 20"," 45","131"," 46","  2","  1","  1","  2","  3","  3","  2","  1","  2"," 58"," 28"," 11"," 33","263"," 42"," 72"," 16"," 69"," 66","175","112"," 24"," 53"," 65"," 50"," 75"
"Succinivibrio"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0","49","31","11","13","45","34"," 4"," 3","20"
"Treponema_2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","17","18","27"," 8","21","38"," 1"," 5"," 5"
"Turicibacter","  0","  0","  0","  0","  1","  2","  0","  0","  0","  5","  1","  0","  3","170"," 36","  0"," 37"," 10","  4","  5","  0","  9","  0"," 14","  0","  0","  0","  4"," 14","  0","  5"," 19"," 11","  2","  0","  0"
"Vagococcus"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 8"," 0"," 0"," 0","23","19","14"," 5","20","18"," 0"," 0"," 0"
"Veillonella","0","0","2","0","0","0","0","0","8","6","1","0","0","0","0","0","0","0","0","0","4","0","0","3","2","0","2","0","1","0","0","0","1","0","0","0"
"Vibrio"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0","14","12"," 3"," 2","14"," 6"," 1"," 3"," 0"
"Weissella"," 0"," 1"," 1"," 0"," 0"," 2"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 1"," 0"," 0"," 2"," 0","59","47","27","20","73","43","12"," 5"," 0"
"DOL","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P28","P28","P28","P28","P28","P28","P28","P28","P28","P14","P14","P14","P14","P14","P14","P14","P14","P11","P11","P11","P11","P11","P14","P14","P14","P14"
"sample","073B","075B","081B","083B","085B","088B","097B","105B","106B","107B","111B","115B","119B","120B","124B","129B","134B","135B","137B","140B","146B","151B","156B","158B","161B","162B","167B","215B","226B","227B","228B","235B","258B","259B","260B","261B"
