K00053,2982.35,4937.05,1593.29,1318.07,7850.6,10927.09,8371.34,8330.22,8229.33,7271,3631.83,9249.3,7356.88,6983.11,8306.54,9134.77
K00054,82649.93,73809,78008,71264.5,49409,47148,41137,66592.5,68280,63297,33220,43541.22,61555.5,58341.93,40870.5,43399
K00055,305,264,275,252,148,140,188,263,245,211,70,104,248,223,142,153
K00057,84121.01,75484.05,79750.29,72745.57,57284.6,57833.09,49592.34,75009.22,76556.33,70654,36915.83,52907.8,69290.38,65384.77,49341.04,52629.77
K00058,9172.85,10806.02,7775.63,8340.9,9467.28,12038.93,9791.68,10955.56,11610.5,9081.66,4527.83,11693.35,12459.55,9115.86,10797.07,11703.35
K00059,186589.8,171826.06,174073.75,158406.86,124915.42,125212.77,107471.95,162174.29,166093.74,153251.15,79707.33,114093.94,153820.63,141944.06,106593.9,113227.15
K00060,567.92,451.01,650.2,324.32,6990.93,9809.17,7692.92,7781.13,7568.42,6860.5,3518,8678.5,4956.81,6487.17,7763.29,8679.44
K00064,135,173.5,181.33,126,149.5,57,70,113.5,98,103.5,21,98.22,493.5,74,84,48
K00065,256.25,334.11,610.5,235.89,6946.53,9770,7659.25,7776.84,7497.75,6878.33,3497.5,8661.39,4842.28,6471.5,7717.58,8658.97
K00066,75,99,41,63,52,41,45,46,43,30,9,49,114,43,43,25
K00067,6470.94,6556.87,6604.09,7531.58,2041.18,1372.1,1757.93,2788.76,3817.26,1918.5,928.5,2714.46,6460.01,2372.52,2818.78,2680.19
K00068,5361.43,4933.36,5774.08,6251.64,14397.86,19992,15867.5,17139.26,17344.5,14666,7697,18847.34,10855.85,14225.93,17046.58,19127.22
K00073,28.25,29.75,320.25,16.75,6741.5,9674,7541.92,7643.26,7323.08,6742.5,3476.5,8511.84,4089.83,6318.5,7577.29,8559.11
K00074,541.75,778.85,1033.58,605.75,7320,9946.67,7990.26,8103.77,7824.41,7101,3531.5,9019.1,6406.49,6739.08,7938.62,8806.11
K00075,83977.01,75336.72,79649.29,72631.9,57175.6,57749.42,49488.67,74925.22,76449.33,70590,36898.83,52784.47,68996.38,65314.69,49261.37,52571.44
K00076,38.25,57.75,334.25,35.75,6751.5,9686,7518.25,7621.25,7339.75,6750.5,3476.5,8494.5,4153.5,6326.75,7581,8545.25
K00077,4357.79,7893.12,1199.37,744.82,7717.44,10928.18,8140.6,8235.3,8091.75,7288.01,3579,9080.37,6329.04,6891.79,8122.62,9033.66
K00078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K00082,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
K00086,0,0,0,0,3,0,0,0,0,0,0,0,0,0,13.29,17.86
K00087,38.25,94.18,354.87,58.65,6790.93,9696.5,7565.25,7667.13,7349.92,6763.5,3485.5,8541.17,4242.81,6342.17,7591.83,8564.25
K00088,84107.68,75540.05,79783.62,72809.57,57302.6,57833.09,49607.01,75030.89,76565.66,70698,36915.83,52907.8,69422.71,65399.44,49341.79,52645.77
K00090,68.25,62.18,351.54,32.32,6778.93,9674,7547.25,7648.63,7348.75,6767.5,3476.5,8503.17,4180.21,6331.5,7588.29,8567.11
K00091,46.5,65.7,42.67,27.5,33.17,28,25,26.5,38,32.83,0,23.5,155,38,41,23.5
K00094,28.25,29.75,320.25,16.75,6741.5,9674,7526.25,7624.92,7320.75,6742.5,3476.5,8503.17,4085.5,6318.5,7577.29,8559.11
K00096,47,65,37.67,58,56.67,57,63,20,44,39.33,21,29.5,112,29,46,41
K00097,1132.59,1286.01,1402.25,987.14,7638.7,10206.26,8145.84,8267.26,8097.84,7239.5,3585,9197.8,7144.69,6864.42,8254.2,9089.16
K00098,40,18.43,4.62,1.57,30.43,0,0,30.71,0,25,0,32,58.64,0,7,6
K00099,1366.75,1595.05,1638.29,1437.07,7805.6,10645.09,8405.34,8376.22,8216.33,7327,3674.83,9340.3,7583.88,7000.51,8409.54,9193.77
K00100,76279.51,66347.87,73560.41,65596.08,48989.34,46421.76,40669.6,65082.59,66075.75,62449.34,32566,42132.24,61109.34,57027.43,39406.83,41666.33
K00101,480.91,412.05,774.87,538.32,6963.26,9967.83,7804.08,7842.63,7499.91,6885,3562.33,8664.11,4961.14,6499.34,7791.96,8712.44
K00102,175.5,174.7,173,102.5,163.5,58,108.67,125.17,129.33,78.5,21,79.94,542.33,83,106,78.5
K00103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K00104,502.09,595.95,799.58,460.75,7146.34,9940.84,7861.59,7936.42,7721.92,6973,3531.5,8852.05,5577.34,6582.34,7849.5,8759.58
