,Genotype
4,SigHomo
5,SigWT
10,SigWT
16,SigHomo
18,SigWT
20,SigWT
27,SigWT
29,SigHomo
32,SigWT
36,SigWT
37,SigHomo
39,SigWT
44,SigWT
45,SigHomo
