pathway	050A	052A	059A	064A	065A	073A	074A	075A	081A	083A	085A	086A	088A	095A	097A	103A	105A	106A	107A	215A	226A	227A	228A	229A	233A	234A	235A	237A	238A	239A
ARGSYNBSUB-PWY	4041.23233098636	5825.763242433027	8757.649982787823	3598.892633780285	4640.120194303312	15801.837697743766	7237.906389426717	8144.61053771405	3679.252006954496	4317.02638523161	4651.259994012762	7221.517961175357	8721.154039586974	10330.006551720824	6587.516759190274	2121.110957683793	3867.148948795219	3385.583565210392	1555.0715498744723	12293.759237436474	7995.417849485823	7306.990131076807	6085.344906576294	6082.8907901417615	5442.255976217066	7898.189582399723	4358.920827631417	12108.133930642844	12154.921862781452	7506.300596730831
ARO-PWY	2732.157861913193	3673.078380553293	5972.395347738659	2591.130035289183	3012.760944083156	11153.52900299363	4058.0228210517153	4621.310392873964	2320.973986641264	3208.563817390716	3242.2557723714785	5031.430373899927	5826.416900687388	8019.26200633672	5387.162217640221	1102.796675404407	2553.200650377075	2496.9975316523887	1148.4177771808802	15922.05853675886	7268.334681462261	6725.824506745044	4862.269048608312	5494.730185433292	8637.572860736776	9978.51096793118	5058.561385558608	16528.855584540488	13567.971283948658	7488.63463174178
ASPASN-PWY	3561.9764872160067	4941.228587390994	8162.697819355455	3215.8209771541283	4427.622090242717	17028.129362984375	4772.768633197759	4802.17776031258	2373.4636594477697	3458.283200151488	3342.574752865923	6579.178015231149	8423.465807621178	12324.712158520924	9041.391193674275	1359.57545012595	3911.864735399856	3387.7417478134544	1157.3672608741972	22553.276370377887	8211.150894854529	6986.264449711442	5969.792029869437	5693.91558745934	15588.815633178956	15322.954979275568	4558.802605668824	20573.222442061982	16440.40051501674	9225.228934275578
AST-PWY	1826.4470989482968	2017.714430085696	4261.894608804324	911.6016379550592	2136.192622662312	35.525392237819986	34.11764705882353	47.03947368421053	429.040289723857	669.0	645.2580797478684	3459.0950998983312	1465.8374589091093	3494.9440524540755	1090.4409952566562	133.28690807799444	575.2930612012459	64.58563535911603	34.05120481927712	2.75	3328.0674635993446	3481.1226002443696	3512.2524612188354	3231.3502514322267	660.9992066030234	1756.936451360776	1650.4127302778147	432.5575726354901	384.75	182.1673592902756
BIOTIN-BIOSYNTHESIS-PWY	3395.6276533750383	3981.096893166357	7857.411131002006	2015.7105974078947	4266.723875534027	517.6043670665138	1072.3984431241877	572.419887073379	1192.3057144913157	1828.0210466655767	2631.3387888826715	6287.936253283098	4156.616754882559	7793.887472787925	3443.0483753677017	1047.32394621314	2239.0444163204847	805.5214802908952	662.3648018572532	554.1076454713007	6919.19761351655	6503.695679422503	6106.320251970109	5913.443688117797	4619.388528660081	6513.653103843778	4438.10293261807	2623.9577574480395	4184.061478937999	2768.07465261355
BRANCHED-CHAIN-AA-SYN-PWY	3627.441974283168	4909.618121943974	8329.986352892207	3725.564229836493	4589.702891966951	13558.259592230072	4973.289560033969	5559.236653321071	3159.824791654583	4067.047354014412	4592.609221377198	6517.2692587926	7816.234157962109	10995.292361470849	7617.19872948866	1344.9846708971045	3235.347039841041	2459.7821648922777	1022.380826678281	20475.216189062587	9954.312711114731	8862.211051908323	6485.236664865037	7175.823863413024	12568.862537748308	13312.16315627575	7524.405094144527	19140.81482690676	16987.456462273472	10476.922804820664
CALVIN-PWY	9153.703615458611	14537.58636162146	20224.86399145108	11017.080800571226	13366.921928114352	24980.37642287436	11703.324686870244	13452.04106436056	8355.073220356513	10435.850949294563	11299.2258782513	15740.974567583527	17603.083565198864	22564.30309737691	15604.385862251182	5113.550289998178	10118.89757573674	7417.850266554892	4884.090804093426	25390.986665329907	17706.076881871264	14971.98647337364	13041.552085514564	13081.964401653548	16156.203944648598	18520.924955428047	12445.750702835248	22658.355144134493	22630.815998199083	15523.909357727856
CATECHOL-ORTHO-CLEAVAGE-PWY	0.0	0.0	0.0	875.4300000000001	37.91073465193938	12.0	29.0	22.0	425.00000000000006	669.0	621.99	0.0	40.0	242.29	1078.7760922123637	75.94736842105264	18.0	37.0	17.181494661921707	0.0	8.765217391304347	6.31578947368421	0.0	14.0	0.0	0.0	0.0	3.0	13.0	0.0
CENTBENZCOA-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CENTFERM-PWY	0.0	399.4390842948772	258.9425609581729	43.519771948312886	68.04920953104327	306.6756580609224	272.5635090019346	336.9430601534588	291.0812720234151	151.74972339462056	78.61875941944903	181.2105121908868	818.6539568917182	803.8363636807701	1310.8807280106566	181.56069285695347	157.2118682376177	321.32037510205595	107.66926117241977	372.2548756750688	541.5429192128579	384.7939054805402	4.632798563559844	38.3017778958835	706.8596698396096	1710.3613316034414	40.43577140196852	2160.301927417049	1739.4382216007443	1179.9356711273715
CHLOROPHYLL-SYN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COA-PWY	13930.487244964212	31587.90749962731	31161.47050736242	35181.55209665012	36612.70399567379	46007.42543293607	40087.14210150799	42694.82342745359	32816.50583823885	30159.88470808329	26574.55848488384	22944.84198421313	34653.7016208004	30642.268849593573	32085.928936288325	37494.17591211067	35568.012735731085	34874.79187013447	40615.4077842064	21597.5827298521	23954.45530922184	17477.365963021744	15267.499803529912	15914.12396951592	19412.95954299417	19416.44383673065	24401.303597214293	18125.53199342822	26565.15410072196	22247.63867117315
COBALSYN-PWY	2086.953519463543	2667.362387020682	4781.770919455272	1731.9607831339647	2397.931528693404	5673.5900008794	2013.1001826128368	2276.011911614712	1007.9624712996656	1192.5395412574558	767.0821771059332	3742.622018811701	3139.626016890351	5511.129840686099	2874.959776328487	211.85128842364225	1119.4673124782369	887.2044491276268	123.29029575959142	2181.0609865999395	4192.505373101905	4012.5938464890687	3614.643201530291	3271.454706771929	1478.7975604722	2848.341641668236	1727.1812722955272	4906.640507722868	4879.752394327224	1711.8988918789062
CODH-PWY	0.0	0.0	0.0	0.0	0.0	1325.8928206259147	296.9576099730634	0.0	0.0	63.93071015326319	0.0	0.0	11.997951055846537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.99566886111037	0.7999761388124585	0.0	3.9993393562026194	10.9966254732704	0.0	0.0	8.997683055757692	0.0	0.0
