pathway	055A	056A	068A	071A	077A	078A	091A	092A	098A	099A	100A	101A	217A	218A	219A	220A	223A	224A	225A	241A	242A	243A	244A	245A	246A	248A
GLUCARDEG-PWY	5829.775680580762	5572.433324649553	24.42035084610614	36.89291604574526	85.78937396479664	19.52566731880276	4600.559553875513	4336.028337419101	5716.568842641677	5807.709545419351	6250.997755808732	6631.5042316708805	1101.0951045904144	2666.55801623502	4970.288673442209	2587.939041029128	1996.866753817276	2300.251058326004	2678.497575454393	1606.6322531260137	2337.4983327841687	2440.2814267831086	501.85158788925736	1392.7572620797023	1701.628345557781	1327.65809351131
GLUCARGALACTSUPER-PWY	5898.285714285716	5633.459079359755	23.91490582665546	36.09994897205462	73.79954400299675	19.343910639056944	4609.59676360112	4365.42305985426	5730.774214290871	5868.740325942402	6301.223020476982	6680.837046387695	1275.098492274592	2643.5987738395097	5049.877766005659	2660.216040519484	2047.45577473129	2369.84028350573	2746.546415389565	1615.172033044057	2386.4727961491685	2466.893745188268	513.3233614356084	1438.965262864873	1746.9341755924672	1371.2645680770167
GLUCONEO-PWY	18130.501547195043	21860.414011116554	32284.60079287369	30984.77466254908	7018.748402554056	15279.210789452934	22768.503289148462	28430.96765685268	20674.91804935219	27277.94793566489	27489.04222077825	26106.782153384	14319.932080323864	25290.20038425861	11895.978411267342	29497.87414381478	22521.22198264782	27277.14772251449	18743.65716616696	18071.340995813724	35098.43390028888	17471.497130430464	28887.42652433777	18172.07367477977	16697.49672029671	35122.27989013805
GLUCOSE1PMETAB-PWY	7767.406021632372	7878.859515561775	280.31381843818843	369.1343054471668	140.56730476957722	2342.098625410747	6780.112296178236	6537.819163847358	7746.434028770755	8425.698967952752	8925.350087682651	9279.016313244714	891.8208943797852	3480.0486113974343	6124.764904733607	3782.1613493783175	2994.51483110605	3654.4048522598127	4083.9059478162585	2713.6172033789944	3795.390294359307	2712.9289784064326	839.8549144222233	1672.20868971642	2653.8252225627766	2207.209340730012
GLUCUROCAT-PWY	7887.373726219475	9639.600355550472	2112.6668013369795	1248.6222092319897	2571.185652504172	103.7834910973763	8620.491661596992	8618.961462196741	7814.774083520951	8293.590088058461	10326.461571061169	9184.814715913128	5547.913464022657	9008.838951217458	8311.037335627367	9976.21450843368	9344.801942971128	8643.934814885017	8572.465033787636	6817.20452651714	8572.44518876405	8268.09925446012	8483.277586304504	5849.243610816553	6952.788611991176	5040.67847634282
GLUTORN-PWY	6759.47221648611	9261.800418290444	924.279610539475	1143.4393276255655	8415.279112580938	2674.097317843515	10546.21398455526	7303.633540574569	8174.880367139644	8296.401916425852	10913.288102348974	8832.220073577488	11659.558792671243	26004.15516458759	8299.158862672777	26271.20942075056	11252.966039590288	17594.980925274587	14665.62558149837	15392.672664103306	22745.872447527625	20243.38709087809	17994.35278867958	12048.495299519282	8237.344148396145	21910.461238889107
GLYCOCAT-PWY	12220.08882470168	14515.209682622812	5901.705119513791	3806.350038515772	18273.368829687628	4751.094844221251	17706.20718774753	13819.615285623666	10167.036779933702	12294.035033980395	14114.601048400486	13420.634816849368	15842.513379897217	34899.88783759968	11201.089158449344	35428.67257272426	20041.01564856081	27885.67735136812	20871.855161370386	23726.18598340272	36355.03670518773	29029.28403422051	29858.941761145896	19170.705199528093	14290.520560374904	37047.244617393335
GLYCOGENSYNTH-PWY	13699.20902051248	17284.542079914652	31089.82467839396	31988.578829762715	37524.60389715043	24294.15030672643	20753.35368798067	20656.427039467933	10922.65408403979	18091.033008762897	15291.974073525113	18472.37934932411	15196.098322201444	32653.83610242044	9743.470048926867	32094.53791195341	20987.789467977407	17340.92974882789	18329.89031583292	22697.9950886155	20740.56200350949	27779.085955790182	26926.646255010048	18569.142625583576	14515.636573333322	24051.278754930245
GLYCOL-GLYOXDEG-PWY	10786.207727266145	11390.17769292692	336.2994792989298	437.9202217940363	147.8813093860711	524.242324759503	8827.31565456633	10006.469400687874	10984.867366427445	12900.6639850737	13257.464359577962	13710.161419644544	1037.4650243816009	3877.226296956744	5923.9405727181775	5088.726834689678	4081.927835909568	5643.416469070153	5421.30899569576	3521.8976629100825	5777.780298468849	3242.830060217718	1457.7290270786496	2277.4462037426774	3683.607804592031	3268.505473200738
GLYCOLYSIS	19640.08386729089	24153.35380270668	34815.99997704254	36852.60436065344	32520.396971755905	19657.89351244478	27820.481766528654	29825.312590580863	21007.880659384817	28830.19628475476	28541.04661728193	27915.464088000663	14135.513452436477	25051.61557123001	13472.213201185124	28086.59226110256	26428.01888899489	29988.68969848096	23514.01609759909	25257.16513898205	38168.03769634103	24742.762308759386	32746.040167139898	20784.69881225784	18203.441893466104	39136.4796426359
GLYCOLYSIS-E-D	12804.687850396962	13996.38422403714	991.6391883305652	1282.0484304498943	470.7680784035855	1675.5326540217934	13619.348920931194	13857.734461871116	12968.160625403934	15662.384583924348	16092.371119002632	16371.349949329498	4973.958638365738	9216.1676481672	9453.5035503513	9159.08307326556	7373.997758907636	9275.637020266138	9180.190928100516	6233.600096263364	9954.845544876258	6663.073793922837	2490.050713332685	4343.164744636591	6279.115444661998	6299.627356496962
GLYCOLYSIS-TCA-GLYOX-BYPASS	12198.183633743023	13556.253621884154	914.3460986283336	1154.4257270009268	380.0701054370024	1311.5905735679885	11599.266807263724	12627.515471498276	14170.464046272378	15748.538627121983	17278.018965560965	16110.002092754758	3974.634107542084	8541.570249604134	8883.066336854065	9279.397593415772	6490.718293565419	7641.761965603458	8274.271197503886	5620.429111426864	8830.539732300724	5546.076705558607	2307.278465048424	4032.859326966356	5985.871258199798	5837.949514328943
GLYOXYLATE-BYPASS	8679.657999519457	9679.565492566378	330.6155121082928	425.6630101452196	143.6634968454724	508.0768048245128	7337.3383085633695	8643.846745115812	10876.191482871516	11333.177889975585	12836.195254766497	11756.348572402128	2123.07494650674	5229.424279240249	6251.836477230395	6279.488005880317	4578.67908819372	6843.980024054347	5340.778041077676	3457.257439721782	7146.570154597851	3287.747625111429	1558.7184915639566	2850.072764531053	4420.1737127465385	4306.793065144046
GOLPDLCAT-PWY	0.0	0.0	0.0	0.0	0.0	0.0	1934.5419621718213	2736.82970668126	580.6891390024297	284.22278451630467	424.3351100910312	404.76161108844354	447.86417192051545	368.6642010977771	32.5384947824988	49.30055776215856	2653.383251457371	140.55892265860842	402.49499212784514	0.0	105.9454493761666	80.34648402912848	0.0	902.9970335379966	0.0	1379.7616992255523
HCAMHPDEG-PWY	5504.664501160092	5265.189592339948	13.267686424474189	28.833530605343256	11.920745272525028	14.829161066946083	4166.233131091315	3965.855419965935	5296.75599885843	5438.214065757258	5848.745365981801	6199.577182914061	289.4388872956373	1610.179926911526	4352.796249473335	2116.516740130969	1629.6532600618125	2071.4652475334906	2370.073773645691	1412.6312204555672	2104.5967857979526	1525.9202796411375	418.5088684559002	885.6661876299063	1509.681495778046	1182.4191883682652
HEME-BIOSYNTHESIS-II	6831.220824383468	6870.164680568618	7017.146458793239	5932.906075243755	673.5315486407658	1249.8390643845776	5539.356628200494	7056.443719934358	9228.855221324548	10157.323861952846	11982.48520758667	8443.387508222999	1605.6812960882746	3271.1977777145817	4809.829773245635	3264.1907305407926	2686.6142682624136	2910.105571117758	3431.4399663703475	2386.644208921014	2956.671894205768	2195.144489733523	748.422466890932	1456.4109723683046	2297.702307333931	1759.037183227818
HEMESYN2-PWY	10645.594157837617	12060.298703574776	8708.745201159505	7682.566894012858	2568.330847460976	3405.0458028832472	10295.111772592363	12549.963235295438	14662.396086237866	16254.326733831364	18744.85507003248	15427.83703883052	3506.818789936577	6574.966619896122	6493.509911451077	7186.9914210432025	11520.526920123088	6262.527792002874	6682.864697364091	8173.567751876165	6680.7231968333535	5501.298651095406	6112.027630660024	6102.389840574272	6537.038215786836	4649.3353897435145
HEXITOLDEGSUPER-PWY	13600.632992889832	14345.739599314227	21501.986852736096	25019.64990363077	11051.924184837786	8939.477138654254	13424.208625118275	13930.479640144256	13606.053662396183	15973.787592570969	16402.643071032737	17014.74791275342	2307.6253048987583	6867.19728405828	9626.916955574105	7313.753684563623	8810.744861580619	7659.615667912428	12127.446839171773	8880.547488607588	7967.480141491483	6121.589065987917	2045.16494717836	4857.897408617485	5698.115369933621	4982.876920140444
