function	073B	075B	081B	083B	085B	088B	097B	105B	106B	107B	215B	226B	227B	228B	235B	140B	146B	151B	156B	158B	161B	162B	167B	258B	259B	260B	261B	111B	115B	119B	120B	124B	129B	134B	135B	137B
K07246	1877.75	891.55	546.84	1420.12	538.84	659.59	2715.15	459.0	348.5	348.05	795.26	1819.09	720.75	864.25	1230.34	925.51	2133.66	728.5	538.83	583.5799999999999	1041.39	463.62	245.0	1257.13	195.41	486.99	184.0	80.92	28.32	51.21	42.0	44.55	28.0	55.93	65.5	31.5
K07248	1697.75	735.42	614.5	2055.37	872.4200000000001	643.3399999999999	3266.73	465.0	380.83	331.25	847.47	2117.17	717.87	951.37	1400.25	984.21	2102.92	968.17	609.5	742.83	1166.14	802.54	274.33	2862.29	1711.08	1883.83	1227.0	82.58	50.32	58.88	44.67	46.75	29.67	76.35	67.0	31.17
K07250	1692.75	749.75	568.17	1472.9	659.34	534.75	501.25	441.0	383.5	345.25	698.51	1976.17	686.75	879.08	1253.92	877.0	2106.16	733.5	572.83	678.92	473.25	547.25	228.0	1692.42	900.08	1057.91	626.0	86.92	36.75	20.5	135.0	42.75	45.0	751.5	1677.0	758.5
K07251	5.75	12.75	15.1	188.87	10.25	33.7	2510.69	14.4	3.5	3.25	320.62	1050.84	313.75	378.75	319.12	281.21	1501.58	172.5	306.83	12.5	577.14	14.21	8.0	782.87	132.08	417.41	155.0	2.25	12.32	32.21	1.0	0.75	0.0	9.68	0.0	2.5
K07254	0.0	8.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	15.0	22.0	20.0	0.0	30.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	102.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K07255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K07256	0.0	0.0	0.0	11.0	0.0	3.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	15.0	0.0	0.0	17.0	10.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
K07257	0.0	0.0	12.0	0.0	10.0	1.5	0.83	0.0	16.57	0.0	170.32999999999998	368.5	107.43	73.07	141.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	168.67000000000002	19.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	593.0	0.0	0.0
K07258	23818.22	46244.170000000006	29896.78	30478.1	35179.58	32716.02	55289.82	30901.160000000003	4534.08	25601.68	10955.64	22061.0	9382.89	12515.91	14667.18	12525.54	18433.0	33680.5	12095.07	2299.0	17491.239999999998	11357.509999999998	37843.57	27166.94	20294.77	21274.47	24661.81	73506.83	90862.13999999998	83490.14	98369.86	52750.35	95855.02	99577.77	91514.01	91711.31
K07259	2997.59	2555.92	2472.6000000000004	5303.35	2668.4300000000003	1217.53	3564.86	1303.06	1188.41	955.68	3181.9800000000005	6192.82	2601.59	2668.63	4560.79	1653.2200000000005	2418.49	1138.08	881.5	696.0	1584.81	827.54	408.42	6652.07	874.65	1675.08	1061.53	1016.17	5065.57	1233.71	3722.92	2406.5	4299.33	1820.76	5232.5	2544.75
K07260	7602.2	1940.02	467.73	1113.33	434.56	4802.84	1177.83	1403.3	691.3	790.0	2427.23	4437.59	2291.92	1541.15	2474.11	714.8	330.42	356.59000000000003	417.25	438.83	521.6	682.63	510.73	7003.27	1824.37	2846.76	2425.98	366.33	2510.17	267.67	3982.17	891.5	5976.67	4009.34	4956.0	1315.67
K07261	1570.59	2111.42	2603.93	4450.6900000000005	2629.26	1014.69	3373.53	821.5600000000001	798.66	582.5799999999999	525.29	1802.27	1031.07	1029.9299999999998	879.45	973.22	1767.91	246.33	637.5	138.5	976.31	252.71	134.17000000000002	1320.1999999999998	368.07	589.5699999999999	427.33	2.25	28.32	44.21	1.0	30.75	12.0	23.01	8.0	5.5
K07262	2762.17	2401.2200000000003	2216.6400000000003	5121.4400000000005	2580.01	1014.95	3511.53	1214.56	982.41	795.38	1032.53	2463.84	1363.9	1472.1	1700.45	1567.52	2319.82	756.33	866.25	601.58	1330.56	624.79	286.17	1553.62	440.07	578.99	238.33	101.25	115.32	55.21	83.43	136.55	181.0	214.26	541.0	147.5
K07263	5861.76	4341.22	4777.04	7260.120000000001	4174.780000000001	2757.33	1385.42	1758.16	1881.16	1506.48	3998.28	7371.179999999999	3201.74	3230.4700000000003	6040.34	2285.31	3205.83	1668.08	1187.0	1502.7400000000002	1555.67	1195.16	754.67	8862.210000000001	1157.32	1983.35	1115.69	940.5	5225.5	1262.0	3755.3	2505.55	4559.74	2135.33	5538.5	2573.5
K07264	25.75	26.75	21.1	191.37	16.75	52.2	2510.69	14.4	9.0	3.25	393.62	1150.34	334.0	401.25	341.37	301.21	1506.08	172.5	306.83	18.0	583.64	25.71	8.0	883.87	143.08	417.41	155.0	2.25	12.32	32.21	1.0	0.75	0.0	12.18	0.0	2.5
K07265	49.0	36.0	69.67	1.5	7.17	26.17	0.0	0.0	43.0	6.0	58.55	121.75	20.25	3.5	59.75	0.0	15.0	0.0	0.0	12.33	8.0	6.33	18.0	167.0	3.0	38.0	12.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
K07266	32.0	16.0	32.0	0.0	0.0	46.0	0.0	0.0	34.0	6.0	53.8	114.0	16.75	3.5	41.25	0.0	29.0	0.0	0.0	1.33	8.0	6.33	18.0	158.0	0.0	35.0	12.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
K07267	3327.67	1513.6	1063.63	2360.21	853.5100000000001	953.84	2929.48	794.0	649.5	663.6	1367.94	2255.1800000000003	879.91	1068.84	2326.67	1205.31	1193.84	1052.0	454.0	1162.83	1391.64	814.5400000000001	415.0	1858.01	251.0	149.67000000000002	30.0	152.0	34.57	63.71	82.43	79.6	56.0	93.93	128.0	55.0
K07268	986.17	1567.67	1673.83	3772.82	2099.34	421.33	788.8399999999999	779.1600000000001	638.16	456.33	185.67	490.83	668.32	610.18	411.33	645.51	152.32999999999998	42.83	307.67	0.0	317.17	192.5	40.17	66.83	206.99	109.16	70.33	0.0	0.0	0.0	0.0	8.0	3.0	2.33	0.0	0.0
K07269	8.42	12.75	15.1	188.87	10.92	33.7	2510.69	14.4	3.5	15.25	306.37	1097.36	315.58	379.08	283.62	281.71	1501.58	172.5	306.83	12.5	577.14	14.21	8.0	801.2	135.08	428.41	155.0	2.25	12.32	32.21	1.0	0.75	0.0	9.68	0.0	2.5
K07270	2090.26	3150.34	3360.7	7549.639999999999	4199.35	856.66	1595.6799999999998	1574.3200000000002	1296.32	912.66	713.91	1459.34	1528.3	1367.6999999999998	1161.39	1296.92	317.66	85.66	635.09	12.33	634.3399999999999	391.33	152.34	810.25	486.98	270.41	140.66	3.0	0.0	1.0	0.43	42.4	6.0	4.66	0.0	0.0
K07271	4207.0	1191.84	593.06	618.6	363.67	2501.34	718.6600000000001	1123.3	641.16	602.8	1887.86	3016.8600000000006	1705.6	1499.53	2011.02	549.3	560.34	498.27	292.5	620.66	651.0	514.96	539.56	9660.94	1606.54	4342.49	3285.84	584.16	3283.01	434.01	768.34	767.5	7720.18	700.1700000000001	4049.0	1120.84
K07272	1.4	11.2	16.0	17.0	0.0	242.0	64.0	57.5	5.8	12.0	248.0	638.0	834.0	663.0	73.0	150.0	14.4	23.0	82.0	0.0	115.2	139.5	143.0	559.0	560.0	589.0	940.0	57.0	223.0	59.0	99.0	68.0	107.0	79.0	155.0	25.0
K07273	4506.15	1571.75	2130.79	981.48	1983.25	3137.83	633.0	890.5	647.3	602.45	2403.31	4237.62	1334.18	1373.22	2768.29	1083.8	2111.48	1042.25	3935.83	631.5	1573.2	866.0	557.75	4742.64	1421.25	1368.4399999999998	2991.77	2229.25	4176.75	14162.5	25141.43	13784.55	26833.0	6337.25	31415.5	10907.5
K07274	53.42	40.5	38.35	230.62	21.84	77.2	2518.69	52.4	7.0	55.5	666.6199999999999	2336.88	665.16	827.16	657.62	551.21	3009.99	382.0	616.41	25.0	599.14	23.71	29.0	1590.9	273.33	894.99	355.0	4.5	22.07	35.71	2.0	1.5	0.0	17.93	0.0	5.0
K07275	3414.92	3002.02	3185.8900000000003	5718.4400000000005	3150.68	1619.95	3585.53	1274.56	1193.41	919.18	1819.58	3623.09	1805.9	1907.1	2722.45	1565.8200000000002	2413.82	802.33	869.5	729.9	1453.56	728.11	370.17	3017.04	608.4	689.41	274.66	78.25	48.32	66.21000000000001	43.1	67.35	44.33	69.26	75.0	31.5
K07276	21.0	7.6	6.0	0.0	0.0	3.0	0.0	0.0	37.0	1.6	154.57999999999998	310.83	65.5	59.0	309.0	0.0	5.34	0.0	0.0	5.33	0.0	22.0	11.0	443.0	30.67	43.5	5.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	22.0	0.0
K07277	5122.84	3676.22	3876.64	7083.42	3563.6800000000003	2190.94	6339.009999999999	1772.56	1661.41	1404.6799999999998	4351.549999999999	7447.09	3216.05	3264.83	6326.65	2305.23	3152.91	1704.08	1145.58	1383.33	2566.7	1243.5	681.42	8469.14	1059.65	1893.64	1147.63	942.5	5198.639999999999	1301.42	3753.1	2485.55	4548.08	2124.94	5502.0	2570.5
K07278	3354.84	2933.2200000000003	3199.6400000000003	5638.4400000000005	3099.68	1598.28	3585.53	1263.56	1173.41	923.38	1873.25	3736.36	1761.73	1814.43	2721.45	1599.02	2404.49	787.33	889.25	727.58	1404.56	697.79	383.17	3109.95	565.5699999999999	789.7399999999999	468.33	82.25	44.32	67.21000000000001	42.43	72.55	40.0	666.26	94.0	31.5
K07279	5.75	12.75	12.5	12.15	10.25	12.5	0.0	13.0	3.5	3.25	25.5	810.0	211.75	304.25	22.5	269.0	1491.08	172.5	306.83	12.5	0.0	9.5	8.0	522.5	112.75	392.33	155.0	2.25	9.75	3.5	1.0	0.75	0.0	8.25	0.0	2.5
K07280	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
K07281	17.0	16.0	32.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K07282	4258.7300000000005	1115.87	568.0	951.83	612.17	2686.17	867.3299999999999	1125.5	669.7	668.5	2793.9	4706.110000000001	2401.29	1837.77	3232.64	679.3	529.8199999999999	789.1700000000001	388.0	696.08	778.2	791.83	554.5799999999999	8874.41	2039.68	3400.13	2967.62	1212.42	6813.09	1455.5100000000002	12549.84	3701.5	9341.6	4434.99	7867.34	3348.01
K07283	25.42	12.75	24.1	212.87	10.92	36.7	2510.69	36.4	28.5	33.25	205.37	1109.36	332.58	360.08	240.62	281.71	1517.58	172.5	306.83	12.5	585.14	41.21	19.0	892.6999999999998	143.08	427.66	155.0	2.25	12.32	32.21	1.0	0.75	0.0	9.68	0.0	2.5
K07284	50301.4	119371.12	72701.73	67509.66	86727.18	82197.68	129836.91	81248.8	7932.13	67862.0	8743.88	18673.14	10504.82	23139.82	14999.71	27408.3	34677.04	89066.42	23064.25	2868.33	39906.2	27950.63	104409.73	17268.8	49453.22	41666.67	53534.88	113637.0	179841.18999999997	144929.84	105413.42	49853.25	99368.26	246047.6	90357.67	129238.09
K07285	34.17	38.5	27.6	201.02	21.17	46.2	2521.69	27.4	32.0	12.5	347.87	2018.53	591.5	718.5	417.12	550.71	3024.66	345.0	613.66	25.0	589.14	91.71	51.0	1438.1999999999998	270.33	873.24	361.0	4.5	22.07	35.71	2.0	9.5	3.0	17.93	0.0	5.0
