function	073B	075B	081B	083B	085B	088B	097B	105B	106B	107B	215B	226B	227B	228B	235B	140B	146B	151B	156B	158B	161B	162B	167B	258B	259B	260B	261B	111B	115B	119B	120B	124B	129B	134B	135B	137B
EC:6.1.1.24	20356.4	43200.62	26581.73	24377.33	31900.56	30802.34	46633.66	29526.3	3156.13	24544.0	3317.96	7137.77	4000.82	8051.9	5577.81	10170.8	12616.62	32233.09	10552.25	1350.83	14833.2	10359.63	37364.73	6270.929999999999	18003.87	15035.090000000002	20749.48	46788.33	67175.67	65991.67	74554.67	33598.0	59704.67	94288.34	60881.0	62048.67
EC:6.1.1.27	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:6.1.1.3	23962.57	46227.34	30005.04	30247.53	35151.91	32620.79	50279.52	30925.36	4545.61	25627.68	9267.009999999998	17235.01	8020.719999999999	11643.4	13282.52	11938.82	15257.2	33542.67	11492.5	2246.41	16488.76	11300.419999999998	37911.15	20075.26	19494.69	18391.070000000003	22914.11	65748.23999999999	88701.40999999999	76057.54999999999	79176.01999999999	44419.3	72277.17	98464.76	76568.17	78873.39
EC:6.1.1.4	23943.57	46237.34	30019.370000000003	30246.03	35144.74	32617.620000000003	50279.52	30925.36	4545.61	25621.68	9129.009999999998	17058.34	7925.049999999999	11565.4	13154.69	11938.82	15257.2	33542.67	11487.5	2248.41	16508.76	11300.419999999998	37912.15	19806.92	19483.69	18352.570000000003	22864.11	65738.57	88676.40999999999	76057.54999999999	79083.01999999999	44416.3	72148.84	97774.76	74883.17	78131.39
EC:6.1.1.5	23943.57	46223.34	29999.370000000003	30246.03	35144.74	32617.620000000003	50279.52	30925.36	4545.61	25621.68	9143.81	17148.34	7926.049999999999	11584.4	13186.02	11938.82	15257.2	33542.67	11487.5	2246.41	16488.76	11300.419999999998	37901.15	19857.59	19483.69	18365.570000000003	22875.11	65738.57	88676.40999999999	76057.54999999999	79083.01999999999	44416.3	72148.84	97774.76	74883.17	78131.39
EC:6.1.1.6	25592.160000000003	48351.310000000005	32631.840000000004	34899.59	37784.25	33688.48	56174.2	31813.92	5406.02	26227.31	10348.259999999998	20433.870000000003	9482.28	13168.079999999998	14656.81	13188.55	18509.19	33961.5	12455.58	2382.41	18055.21	11589.34	38066.32	22372.04	20060.34	19453.22	23301.94	65744.73999999999	88884.55	76150.97	79091.95	44486.6	72262.34	97829.95	75271.67	78155.39
EC:6.1.1.7	26896.240000000005	54183.34	34841.37	34138.630000000005	40444.41	38026.12	58445.52	36294.36	5062.18	29934.68	10704.259999999998	19840.93	8934.48	12111.98	15315.49	13649.32	17301.199999999997	39205.92	12802.5	2406.08	18861.76	12922.419999999998	44711.15	23221.77	20751.19	21274.820000000003	26313.11	72496.73999999999	102350.41	84015.04999999999	84850.51999999999	46663.8	80820.67	115467.26	82888.17	85928.39
EC:6.1.1.9	23943.57	46223.34	29999.370000000003	30246.03	35144.74	32617.620000000003	50279.52	30925.36	4545.61	25627.68	9166.009999999998	17106.34	7941.049999999999	11583.4	13168.69	11938.82	15257.2	33542.67	11487.5	2234.41	16488.76	11300.419999999998	37901.15	19820.92	19483.69	18367.710000000003	22890.68	65738.57	88676.40999999999	76057.54999999999	79083.01999999999	44416.3	72148.84	97774.76	74883.17	78131.39
EC:6.1.2.1	7.0	0.0	0.0	8.0	0.0	7.0	0.0	0.0	0.0	0.0	15.0	54.0	8.0	45.0	31.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	47.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:6.2.1.1	6109.08	3137.15	2842.4	5107.11	2539.8500000000004	2451.12	3797.02	1467.4	1355.75	1241.95	5376.86	8983.67	3302.2300000000005	3312.49	7422.67	2350.81	3650.07	2230.25	1147.83	2189.16	2324.89	1824.45	870.25	11048.91	2357.33	3150.49	1797.9699999999998	1086.51	5845.57	1407.21	4277.43	2979.35	5779.75	2271.1800000000003	6058.5	2910.5
EC:6.2.1.12	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:6.2.1.13	17.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	9.0	24.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	8.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:6.2.1.14	8.0	16.0	26.0	9.0	0.0	0.0	0.0	4.0	51.0	25.0	363.0	698.0	279.0	193.75	513.0	0.0	25.0	1.25	0.0	2.0	18.0	64.0	21.0	723.25	0.0	143.5	72.5	6.0	0.0	0.0	3206.0	430.0	168.0	2896.0	412.0	76.0
EC:6.2.1.16	2304.33	1306.0	1447.67	1665.75	990.76	1081.92	286.0	451.0	487.0	452.0	725.75	1009.77	449.83	608.3299999999999	1176.33	642.0	695.25	572.0	257.0	704.08	506.25	479.08	297.0	664.8299999999999	58.0	88.75	28.0	78.67	32.0	30.0	41.0	63.0	37.0	61.25	94.0	26.0
EC:6.2.1.17	693.75	596.75	938.5	594.15	580.92	613.5	79.25	79.0	187.75	144.25	671.05	1576.33	537.0799999999999	582.08	793.5	325.0	1586.58	218.5	328.5	125.83	130.0	93.83	114.0	1364.08	204.75	514.5	212.0	4.92	25.75	16.5	1.0	24.75	9.0	23.25	30.0	5.5
EC:6.2.1.18	0.0	0.0	33.0	13.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	26.0	0.0	2.0	12.0	0.0	15.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:6.2.1.2	5.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:6.2.1.20	1622.92	2122.42	2641.93	4488.35	2636.59	1017.03	3375.86	855.5600000000001	824.6599999999999	569.58	681.62	1875.0	1122.3200000000002	1093.9299999999998	978.7	951.72	1806.25	246.33	669.5	130.5	972.31	257.71000000000004	110.17	1382.9499999999998	372.24	561.8199999999999	237.33	2.25	28.32	44.21	1.0	22.75	12.0	23.01	8.0	5.5
EC:6.2.1.22	4533.92	2424.17	2514.33	4405.01	3363.59	2469.33	6182.889999999999	1355.56	826.23	785.5799999999999	565.21	1735.0	997.0	1046.59	797.3	1069.43	1788.57	928.83	4064.08	162.0	2224.45	596.4200000000001	70.17	1060.95	383.07	964.15	2707.83	8110.25	4906.889999999999	22289.92	44904.0	22585.75	40893.0	8052.44	47269.0	25694.5
EC:6.2.1.25	83.33	43.0	12.0	59.0	51.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	10.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:6.2.1.26	1248.9199999999998	1793.92	1983.33	4463.6900000000005	2490.32	693.53	3661.49	907.86	813.9100000000001	639.88	2664.65	5157.06	2222.54	1940.33	3322.93	1016.22	1875.22	587.08	673.5	181.83	1223.31	518.51	211.82	6541.01	1589.59	2350.58	1450.89	818.1700000000001	5200.74	1275.71	3677.67	2359.75	4292.08	1610.9299999999998	4998.5	2539.5
EC:6.2.1.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:6.2.1.3	8520.92	6542.89	6647.83	12588.79	6806.539999999999	3881.14	5228.12	3102.62	3077.82	2476.61	11432.91	18417.16	8135.719999999999	7308.83	14970.03	3952.0300000000007	4368.9	3332.16	1767.67	2314.4	3455.23	2489.11	1230.09	24995.99	3353.63	6285.38	3723.6	3549.36	17575.739999999998	3789.38	11727.61	7733.55	19236.08	8117.0	21557.17	9126.17
EC:6.2.1.30	1841.41	857.55	624.44	1422.2	523.59	633.0300000000001	2747.48	478.4	424.75	362.05	3051.1800000000003	5759.65	1969.74	2009.52	4344.53	931.01	2269.74	1167.75	540.83	618.1700000000001	1127.14	481.54	316.0	8231.96	768.08	2158.99	955.71	558.09	4791.16	445.55	1309.5	1385.55	8556.52	3166.0	6432.34	1200.34
EC:6.2.1.31	0.0	0.0	0.0	11.0	0.0	3.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	15.0	0.0	1.33	17.0	16.33	9.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0
EC:6.2.1.32	78.0	38.0	36.0	59.0	51.0	64.0	0.0	0.0	0.0	7.0	119.0	183.0	64.0	39.0	140.0	18.0	25.0	0.0	0.0	1.33	8.0	6.33	0.0	279.0	14.0	14.0	7.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:6.2.1.34	1723.0	777.8	514.67	1143.75	480.42	532.25	212.0	397.0	334.0	328.8	495.62	913.17	392.67	463.0	827.0	639.0	631.58	526.0	234.0	567.75	411.25	401.75	210.0	336.17	29.0	19.0	6.0	76.0	16.0	17.0	41.0	39.0	28.0	46.25	64.0	26.0
EC:6.2.1.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:6.2.1.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:6.2.1.40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:6.2.1.5	7049.84	6050.4400000000005	6733.780000000001	12278.2	6941.360000000001	3429.56	7751.219999999999	2657.12	2639.32	1960.76	5789.299999999999	11022.22	4631.299999999999	4488.860000000001	8355.24	3352.04	5007.66	1726.16	1893.0	1751.66	3245.12	1897.58	892.84	11431.08	2758.48	3144.48	1946.66	511.84	341.64	162.42000000000002	209.36	342.6	526.5	1857.52	1824.5	423.5
EC:6.2.1.9	30.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:6.3.1.1	21300.32	44679.37	28284.93	27968.62	33766.590000000004	31319.53	49648.74	30251.060000000005	3764.28	24952.88	5889.34	12234.9	6327.32	10087.75	8902.630000000001	11138.22	14327.06	32825.5	11103.75	1320.75	15766.51	10506.21	37411.42	13817.11	18278.15	16985.309999999998	22054.13	47805.67	74399.74	67303.88	78645.17	36243.75	70369.42	96248.17	70184.17	65868.67
EC:6.3.1.10	2559.67	1454.0	1589.67	2020.07	1082.09	1333.42	2818.15	531.0	646.3199999999999	599.0	3907.53	5948.75	2340.05	1851.1	4830.950000000001	779.21	867.2499999999999	905.25	277.0	799.74	1243.39	574.12	449.0	7879.48	652.33	1628.55	1129.4	395.84	2635.74	213.88	2132.67	668.0	6370.17	2950.34	5008.67	1520.17
EC:6.3.1.11	8.75	16.55	15.1	175.87	10.92	16.7	2503.15	14.4	3.5	4.05	166.99	923.09	279.5	330.75	188.37	280.01	1491.08	172.5	306.83	12.5	577.14	14.21	8.0	642.6199999999999	130.08	430.66	155.0	2.25	12.32	32.21	1.0	1.55	0.0	9.68	0.0	2.5
EC:6.3.1.12	16438.0	42184.0	26229.0	23563.0	31441.0	28366.0	45881.0	28688.0	2705.0	23969.0	2530.67	5361.59	2847.67	7065.0	4526.67	9717.8	12337.33	31916.75	10264.0	980.0	14450.0	9877.0	37041.0	3893.82	16672.27	13727.74	19317.73	46690.5	67464.17	65944.0	66283.5	32817.0	60347.5	91444.67	60478.0	62087.0
EC:6.3.1.13	44.33	35.5	10.0	0.0	24.5	10.5	21.25	5.5	28.25	14.0	104.67	275.5	43.0	35.0	153.17000000000002	2.5	39.0	13.0	0.0	2.25	46.0	32.0	15.0	176.67000000000002	0.0	28.5	0.0	1.67	0.0	0.0	0.0	5.0	0.0	0.0	1.5	0.0
EC:6.3.1.2	35696.89	52438.84	35891.73	38521.94	39496.850000000006	37300.56	51807.850000000006	33480.86	7057.86	27951.98	14460.36	26076.38	11321.49	15498.49	21342.69	15795.82	19278.200000000004	37372.67	12936.5	6164.83	19424.01	14003.169999999998	39473.4	32799.76	20722.27	22369.2	25317.31	67649.5	98133.5	77661.89	84144.61	48017.05	89237.35	102081.08	88946.01000000001	83642.48000000001
EC:6.3.1.5	22648.82	44541.12	28107.9	26237.550000000003	32789.4	31896.59	49458.100000000006	29989.2	3671.63	24916.25	4279.2300000000005	9590.61	4893.65	8979.150000000001	7056.81	11094.01	14856.45	32957.09	11131.83	2072.83	15965.59	10875.59	37715.73	8048.879999999999	18273.45	15575.420000000002	21003.48	46791.58	67158.98999999999	66005.88	67748.67	32817.75	59743.67	92937.27	60469.0	62004.17
