pathway	073B	075B	081B	083B	085B	088B	097B	105B	106B	107B	215B	226B	227B	228B	235B	140B	146B	151B	156B	158B	161B	162B	167B	258B	259B	260B	261B	111B	115B	119B	120B	124B	129B	134B	135B	137B
CHLOROPHYLL-SYN	75.83650860053255	9.61130420707463	0.0	52.16735447773582	0.0	17.758647699706756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.839679049251378	0.0	0.0	11.503138714884436	0.0	0.0	0.0	0.0	0.0	18.049150660474027	17.897839119467417	0.0	62.97489754260646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COA-PWY	24615.49611736561	47984.73853608737	31276.962261657296	31130.550358512843	36648.09286343542	33794.57200565365	52107.46063960031	32117.57211891132	4623.421511158175	26589.11427469689	9077.119280441364	17080.036973968272	7945.368235469942	11513.723867926532	13177.665158564012	12329.51861646146	15721.869637078802	34933.10353894203	12517.837419500866	2310.16503356906	17222.254133275754	11746.292228918908	39410.48105899309	19848.434664482145	19786.52191438818	19014.91534106837	24176.81967471709	56582.83644712526	84147.72398520075	75935.29272677908	85012.56851942622	42730.03109923356	77911.79219042041	102429.415012802	79555.6937105133	75150.62260331039
COBALSYN-PWY	2509.293211576545	1460.9196328681655	1660.6626211533085	2025.9240748140032	1119.0481258431737	1325.2085375054546	2933.02274375488	574.3368505234367	696.8032915359461	633.1364132403115	4336.025207280579	7407.843549573688	2757.011235512927	2398.187065935433	5343.165833723549	1078.7438495028273	2437.5899002248243	1090.521195638838	598.3769360521216	839.624160425348	1266.0266634775996	594.944815804553	457.7711405116124	9398.536581763768	861.191881661186	2321.0373939295814	1448.1407850945109	434.7052259117877	2879.138731165176	243.97409413082792	2234.6647200548623	710.407446071795	6824.080323364521	3047.263343807374	5445.632997379384	1630.5137382538026
CODH-PWY	0.0	0.0	0.0	19.992085245076428	0.0	0.0	0.0	0.0	0.0	0.0	41.66628749672843	108.5148136804492	39.86264679623652	3.9991462085791096	188.09739443174288	0.0	31.96023211396606	22.67214771592078	0.0	37.55263924258478	0.0	0.0	21.99356793194128	220.36997397065	3.9995735748605328	32.96876985938694	0.0	37.98499768939482	173.79944911435285	0.0	81.95748156828513	171.59811719317787	305.3502178431529	311.50243558354333	950.660511780725	237.57344516152745
COLANSYN-PWY	5245.343874601911	3579.293170861106	3841.1728149641294	5156.889015451319	2924.098475706408	2381.481708912927	1413.209659571242	1582.5609402902946	1389.694799082798	1430.0829672891	3729.6006466635886	7288.316991079956	2849.316095828273	3277.5098610546133	5299.567102077201	2445.1641748317643	4524.902225192212	1983.0907697709329	1442.449030633922	1219.5686173982594	2018.4328309555588	1391.903167490049	774.786174228062	11111.182475146676	1614.550651817765	4172.692188897092	2330.8663328171774	2065.4041072521977	11826.08219834176	2972.1083688020767	7241.6485680736305	5551.792968405226	10210.457857626136	4209.318893844714	11507.73051459738	6055.429076712558
COMPLETE-ARO-PWY	6407.121518733607	4673.68689268708	4743.180345633171	8576.400168145386	4814.421540552953	3522.276683005243	6759.787104550352	2603.202335448709	2260.970244004393	2026.515175119596	8037.2782174434	14211.134019457835	6127.691767915474	5612.600436450964	10319.687741552012	3089.6659562223663	4234.087402960692	2335.521744201911	1661.681747305841	1844.197894169236	3221.268818132871	2034.586916448456	1280.2439622501838	18688.911930852304	3611.628668476558	5824.72085006393	4428.111699798359	25254.513369980803	25303.636724299125	16002.876630082688	23699.950119189663	16862.20387054133	22537.380782096134	9090.038035441015	25040.36141340291	25321.054694057573
CRNFORCAT-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.6546927382138	17.138769125109697	0.0	79.54314168030267	37.693621399484655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.73650374236152	0.0	42.036012435779	29.396158444864422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DAPLYSINESYN-PWY	15964.48597800385	14931.135355658853	12864.462422165156	18878.513926842967	12959.38366334447	12681.530309274984	14524.851554315455	7751.65121557046	3629.482389366947	6060.79126573452	7597.704226717216	13885.48080576092	6203.925065943447	7638.121701282608	11004.186277672952	7127.91344231882	9187.24577946198	7280.062974324036	4359.516868547291	2362.586957816086	7066.823264175249	4802.923553663814	3555.7532824027508	16152.619985975063	4798.822855750112	7004.578306407223	5843.575966355013	48716.62707254646	43554.94728843115	43307.26721862759	59031.59819626385	34712.00113859052	40537.93895155356	22629.077729769524	50450.20705733624	56884.02835352344
DENITRIFICATION-PWY	1635.4572000843152	711.0249913790385	516.835512329312	1109.345075744152	418.8184238885552	499.7540692413547	223.83150480707155	398.4831880448319	353.3125107206977	334.0	472.6085433198231	712.7137215949543	385.4262425205407	478.7090038513276	903.1424613994304	583.6359039190897	615.6696901605887	526.0	242.8927820602663	566.33	417.6342208642514	426.06886326244165	235.80799819504767	315.143724618657	33.8664369679773	67.1728282689742	0.0	77.70910855848568	16.0	23.0	41.0	40.140350877192986	28.69421487603306	45.0	64.36852207293666	26.0
DENOVOPURINE2-PWY	26344.774074270383	52166.6308777412	33581.24477529452	34218.869814831174	39226.3854684906	36498.61611139999	57332.44323217622	34939.7941009109	5053.659553577899	28972.48525277579	9421.884422194214	17979.208637184103	8614.710919159314	13043.457683719496	13927.7031133888	13324.340540368452	17258.147623141234	37754.72190618994	10928.317377873702	2430.267078351333	18467.54553357169	12668.6937333003	42964.25879225899	20088.05135717961	21735.76596925373	20521.779732841547	24654.804501288647	58183.624323002005	86285.9596178949	70804.34747579283	70064.67580666232	32870.06508422547	60489.696390063305	107287.696276676	56524.70635934224	72155.39291164569
DHGLUCONATE-PYR-CAT-PWY	1840.764575333458	870.6151497180648	674.6138227181884	1299.0901992434744	544.9674601134544	609.8535058939376	336.3412941332523	427.70264785621066	366.8617649913185	372.179100242642	391.1144574505037	604.1118018288247	267.25967201412243	457.609566334254	765.626280522605	663.9830970118554	707.026312170795	576.9905754748779	262.9954012074213	613.5181206204525	539.967895543681	432.6782457430504	234.918072219603	31.86063282804206	0.0	0.0	0.0	76.63980451719262	20.921378159182687	23.860038749212155	41.2782365223994	46.382378952023	31.017964071856284	51.43061975304003	66.97674418604652	27.03358913070826
DTDPRHAMSYN-PWY	9392.549550738491	4202.3254088288095	3144.44569523922	4534.150648870113	2301.81419163799	5300.98306810455	5427.845929907954	2132.1777267281886	1424.36989018626	1753.362706549474	5823.532324610992	10001.748520146317	4253.834151472663	4241.376614079026	7921.861864855326	2526.730377920004	2655.5285104481177	2316.174265969715	886.5031993358449	1516.3689437137484	2483.2599617441924	1671.0054073436331	1300.991274534108	14626.231601219404	3408.079246706357	4910.464922452296	3809.004003842225	4911.97032836129	13685.931700057192	2568.1086787498243	15197.819312682375	6316.773231341883	16230.29764527814	7254.150990851432	14679.682248559771	5894.688539627719
ECASYN-PWY	1477.6100441825124	2266.9334467210188	2364.8508748354734	5295.928572627871	2898.1554104047755	700.5947444582026	4696.789164492387	1158.7151805349954	875.956922188621	678.8545233292506	794.7797530653613	2405.047491402592	1410.7053159371787	1438.2131579292643	1098.351259219485	1324.31809824098	2290.3643214719923	375.7366340816901	860.0743183734274	22.69610952832817	1295.334830748792	284.22367624619324	43.586808242973134	1473.9322765150698	529.1589079548145	832.6936165775589	321.3738175447706	3.884574710965617	23.018912261098897	53.42101659835474	1.942979867509639	1.2971684698450254	0.0	20.436714684452934	0.0	4.321733926981129
ENTBACSYN-PWY	151.39306971409815	161.01778374741025	80.15632161804037	1681.7903361372987	120.67031777714176	228.8085393861763	16942.25823164667	76.24616368503744	218.0122200179506	53.22124685895373	1130.517274079691	4523.228164371354	1502.4319241552698	1704.6353099240148	1107.0300435490635	1320.469859546269	5264.855901529155	848.4902905180666	1373.0106446515213	118.76900459322069	4252.117857319743	99.01663973958684	234.4194767733076	3407.4622293249063	725.6997251237808	2006.12839484406	805.6658919344353	20.866865231884624	79.27256197443081	318.9041622524905	5.332596050594705	3.9992689265774506	0.0	59.07062728574586	0.0	13.326928814509948
FAO-PWY	5480.260048336808	3099.880298802231	3248.78828848692	4951.168008443533	2618.834219754405	2498.778568864648	6071.588690000322	1213.872900013563	1301.8272640634566	1169.468886409137	3911.640119456076	7361.868614145907	2716.939481324712	2909.8435270733594	5092.466615087906	2351.861517161702	4829.813906069855	1902.806464143213	1438.5130677350885	1806.1332304514697	2643.620584602236	1462.9557525003208	757.3221953679051	7061.880201992391	1471.6643923124625	2211.6020004289603	1180.3609939553958	240.3300268131156	135.44783490080238	176.10334345090092	126.63706856864984	176.09373181440165	226.73874926774533	207.0078785264596	245.41879780648225	89.51982389433142
FASYN-ELONG-PWY	28974.32953531016	57068.18996611211	37494.95180114239	38334.639707567	42614.777125291024	39559.72531157213	63130.2883192382	37577.66567640336	5688.011671613021	31235.78095457378	9612.875716765644	18865.025992456875	8776.398771478565	13370.888208384016	14885.340960910964	14484.18578270964	18854.19662224748	40446.91881685417	11243.577928264254	2883.10832823693	20117.7688851083	13606.842247628349	46049.996943675	20296.18373068146	21860.140652391583	21279.65872929146	24994.540816830377	76562.9502000732	101338.01262452082	80889.7586087529	70547.99962094432	41429.18217868179	61124.384415170265	111600.12140128767	60753.7356667954	85722.0701896776
