"","Size"
"228A",26932
"219A",29074
"215A",29838
"227A",29927
"245A",30157
"246A",30515
"235A",33829
"224A",34072
"085A",34202
"248A",34510
"218A",34557
"083A",35703
"081A",36116
"106A",36690
"226A",36924
"242A",39300
"105A",39816
"097A",40192
"088A",41449
"071A",41487
"091A",41546
"220A",42433
"101A",42936
"107A",43105
"100A",43859
"075A",44528
"077A",44870
"073A",51227
