"","Size"
"158B",2475
"106B",8181
"215B",10891
"162B",12479
"227B",12666
"156B",14297
"228B",16255
"140B",16336
"235B",16530
"146B",21115
"260B",22003
"161B",22168
"259B",22385
"226B",23709
"258B",24620
"261B",25339
"107B",29021
"073B",29595
"088B",36250
"151B",36302
"105B",36388
"167B",39979
"081B",39988
"085B",47351
"083B",52267
"124B",52849
"075B",56524
"111B",70634
"097B",72699
"119B",82820
"129B",88432
"137B",88808
"120B",93319
"135B",93435
"134B",108389
"115B",108768
