function	071A	077A	091A	100A	101A	218A	219A	220A	224A	242A	245A	246A	248A	073A	075A	081A	083A	085A	088A	097A	105A	106A	107A	215A	226A	227A	228A	235A
EC:4.2.1.130	19.75	8.25	3876.33	5249.0	5585.67	1560.75	4120.25	2018.0	1992.75	2036.33	875.75	1469.08	1146.59	19.75	19.25	0.0	0.0	4.75	1379.0	5.5	543.17	19.0	12.75	61.92	3465.91	3516.25	3485.5	2278.42
EC:4.2.1.131	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:4.2.1.132	0.0	0.0	2.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:4.2.1.135	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
EC:4.2.1.136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:4.2.1.137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:4.2.1.140	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:4.2.1.141	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:4.2.1.144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:4.2.1.147	0.0	0.0	0.0	0.0	0.0	6.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:4.2.1.148	0.0	0.0	0.0	0.0	0.0	123.25	32.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	23.0	0.0	8.0	5.0
EC:4.2.1.149	19.75	8.25	3904.83	5288.75	5630.67	1523.83	4099.42	2004.67	1975.08	2027.5	921.91	1499.92	1175.75	19.75	19.25	0.0	0.0	4.75	1388.75	5.5	543.17	19.0	12.75	2.75	3221.75	3374.08	3434.67	1624.75
EC:4.2.1.151	0.0	0.0	0.0	0.0	0.0	259.25	49.0	105.0	1485.0	992.0	48.0	8.0	334.5	0.0	0.0	0.0	0.0	0.0	0.0	12.67	0.0	13.0	0.0	0.0	38.0	11.4	10.0	5.0
EC:4.2.1.153	11.0	4.0	0.0	0.0	0.0	65.5	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:4.2.1.17	1154.25	7663.92	17841.99	17988.72	17819.09	29936.91	16432.34	28243.51	9289.57	9639.99	14175.4	7096.75	8747.75	5422.25	3054.25	2145.0	2477.5	2229.7200000000003	6095.5	5212.42	2179.01	1018.0	227.0	7348.25	10817.75	10761.64	10412.01	4980.25
EC:4.2.1.18	177.0	50.0	64.0	13.0	17.0	672.25	140.0	47.0	2.0	13.0	6.0	20.5	9.0	12.0	22.0	9.0	0.0	35.0	40.0	12.67	18.0	40.0	17.0	0.0	145.25	19.0	14.0	9.0
EC:4.2.1.19	4792.42	8526.19	11354.56	16386.34	12085.03	26382.31	8469.83	27571.77	17564.129999999997	23860.58	13239.510000000002	10387.59	24676.58	8341.59	3284.55	1472.88	2131.5	2344.02	4171.64	3903.9	1703.65	1668.9899999999998	513.86	15674.85	4492.29	4223.280000000001	3603.5	2494.42
