function	071B	077B	091B	093B	100B	101B	218B	219B	220B	224B	242B	245B	246B	248B	073B	075B	081B	083B	085B	088B	097B	105B	106B	107B	215B	226B	227B	228B	235B
EC:2.1.1.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:2.1.1.98	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	11.0	32.0	0.0	41.5	28.0	0.0	8.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	15.0	22.0	20.0	0.0	30.0
EC:2.1.2.1	26178.93	9738.63	17383.479999999996	24720.67	22521.800000000003	6516.349999999999	14221.27	11448.28	17185.440000000002	15380.06	12218.37	10421.94	12839.96	16654.46	28795.57	48362.34	31478.710000000003	33521.68	36390.0	33995.71	50914.77	32146.36	5489.61	26637.68	10008.259999999998	18788.84	8687.63	12749.23	15183.44
EC:2.1.2.10	11636.0	5362.92	11989.74	20498.2	19208.25	4081.1	9901.86	8834.33	8916.42	9276.48	6643.07	6420.55	6870.18	8917.99	4246.0	2222.25	2220.19	3497.03	1810.26	1871.37	3326.2699999999995	970.9	1084.5	930.75	3799.74	6662.15	2346.87	2490.1	5263.09
EC:2.1.2.11	10740.33	4156.27	10736.46	19520.620000000003	18745.5	3546.5	10739.32	9039.38	10945.01	10165.57	7483.88	6511.12	7671.559999999999	10559.78	2654.0	1510.05	1805.48	2465.78	1390.0100000000002	1397.12	3114.2699999999995	633.9	716.5	603.35	4665.780000000001	8098.410000000002	2807.15	2665.57	6178.05
EC:2.1.2.13	20.0	25.25	2046.75	47.7	10.5	105.35	176.96999999999997	2518.0	307.33	260.69	256.83	1288.75	390.73	292.59000000000003	15.75	19.75	18.1	190.12	13.5	38.45	2510.69	14.4	6.25	3.25	300.62	1046.84	304.0	370.25	260.87
EC:2.1.2.2	24533.76	7270.809999999999	18732.69	22711.37	21745.71	5542.1	14545.73	14412.46	19187.78	15902.41	12733.33	11182.04	13378.7	17510.68	26618.160000000003	48596.310000000005	31538.26	35299.47	36375.92	33545.07	53760.630000000005	32133.42	5482.02	26400.56	10760.62	20416.28	9597.65	13304.77	15404.47
EC:2.1.2.3	23438.6	5713.129999999999	14938.06	21539.08	21193.050000000003	4743.35	13607.52	11030.830000000002	17983.38	14107.1	11386.96	8925.51	12079.86	15745.28	23930.57	46226.59	29331.370000000003	30243.03	33837.74	32617.620000000003	50255.850000000006	30887.36	4473.61	25596.48	9665.89	17966.57	8325.869999999999	11900.49	14019.4
EC:2.1.2.5	72.0	66.0	301.5	329.0	88.0	71.0	1088.9299999999998	181.5	2779.98	1399.86	1561.88	511.0	1885.56	1866.42	3598.0	856.0	204.0	327.6	46.0	2051.0	329.0	556.0	254.0	383.0	1099.25	1801.08	692.62	543.77	1450.25
EC:2.1.2.9	23561.27	5823.129999999999	15379.56	21818.75	21256.050000000003	4751.35	13265.5	10954.03	16532.690000000002	13670.31	10622.12	8728.439999999999	11216.26	15079.75	23994.57	46242.34	29999.370000000003	30261.03	35142.74	32646.620000000003	50279.52	30933.36	4581.61	25621.68	9223.009999999998	17301.34	7980.049999999999	11630.4	13279.44
EC:2.1.3.1	40.0	32.0	1.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	66.0	73.0	32.0	0.0	8.0	6.33	6.67	0.0	0.0	0.0	0.0	0.0	0.0	54.5	0.0	6.0	0.0
EC:2.1.3.11	83.0	38.0	151.5	253.25	6.0	139.0	1131.1	209.3	2742.52	1571.39	1669.86	557.4	2018.07	1951.67	65.0	27.0	97.0	54.0	24.0	95.0	21.0	34.0	69.0	40.3	1302.3	1906.73	734.8199999999999	647.0699999999999	1539.88
EC:2.1.3.2	23426.77	5762.549999999999	15602.06	21718.25	21227.39	4720.35	13051.760000000002	10292.85	15809.95	12951.48	10421.7	8396.93	10824.42	14568.07	22944.4	44652.92	29024.54	26481.210000000003	34286.399999999994	32175.29	49522.18000000001	30180.2	3871.45	25204.35	8939.09	16462.26	7304.23	10949.22	12678.86
EC:2.1.3.3	21414.76	6677.530000000001	19970.59	37997.25	37711.19	6940.93	17750.34	16197.73	14069.89	15688.53	9571.76	10963.37	9053.55	15051.39	12567.32	5643.870000000001	4284.67	8295.51	4365.72	6679.54	5287.19	3110.36	2157.03	2205.58	5446.55	10169.37	4530.23	4064.91	7224.19
