function	071A	077A	091A	100A	101A	218A	219A	220A	224A	242A	245A	246A	248A	073A	075A	081A	083A	085A	088A	097A	105A	106A	107A	215A	226A	227A	228A	235A
K06186	196.42	74.42	3970.66	5522.77	5855.530000000001	2368.99	4242.0	2073.25	1992.75	2050.33	880.75	1471.87	1161.42	730.5899999999999	193.75	581.8299999999999	840.5	1409.07	1557.59	1115.36	913.5	304.34000000000003	340.41	67.75	3610.66	3590.58	3485.5	2386.42
K06187	39977.95	35451.85	21959.9	22607.34	22316.7	27849.46	10140.9	28026.97	21884.800000000003	27570.92	17531.239999999998	14389.34	28394.840000000004	44857.59	41253.880000000005	31567.88	29088.5	25629.69	33541.64	30989.07	34287.32	33633.99	39126.53	21487.19	23266.79	17026.08	15270.5	23613.42
K06188	211.75	843.85	4684.2300000000005	5814.0	6014.530000000001	2359.58	4888.17	4351.37	3330.96	3041.08	3373.51	4659.3	1154.35	1084.75	135.55	430.05	817.5	640.19	1908.3	1598.23	774.8199999999999	155.05	110.45	2618.35	3392.6	3443.6800000000003	3440.67	1655.75
K06189	196.42	74.42	3970.66	5522.77	5855.530000000001	2385.99	4245.0	2081.25	1998.75	2050.33	880.75	1471.87	1161.42	730.5899999999999	193.75	581.8299999999999	840.5	1409.07	1557.59	1115.36	913.5	304.34000000000003	340.41	67.75	3610.66	3590.58	3487.5	2386.42
K06190	205.42	85.42	4050.99	5618.77	5956.200000000001	2374.99	4396.67	2152.92	2096.08	2120.66	921.08	1534.87	1213.09	730.5899999999999	193.75	581.8299999999999	840.5	1409.07	1581.59	1118.36	920.17	304.34000000000003	340.41	67.75	3745.66	3788.91	3620.17	2432.42
K06191	35196.95	27705.51	13330.570000000002	12022.0	16229.2	2285.42	6257.84	2495.96	5098.55	4857.17	5185.51	5400.05	3927.68	36696.75	38010.38	30217.05	27641.0	23648.61	30766.8	28148.23	33111.24	31932.050000000003	38671.37	5791.6900000000005	21870.35	16166.18	15070.67	22741.75
K06192	185.75	58.25	3955.83	5521.6	5855.530000000001	2057.83	4176.17	2051.42	1981.08	1991.83	846.58	1430.25	1126.42	1375.75	41.25	425.0	731.0	626.74	1440.75	1083.36	561.17	56.0	29.75	2.75	3283.0	3390.08	3436.67	1624.75
K06193	13514.95	3355.6800000000003	8868.400000000001	15789.170000000002	12215.2	4060.09	6819.27	4623.25	3212.2200000000003	3625.67	2591.28	3654.67	2384.08	5153.59	3228.88	2377.63	2541.5	2570.94	4987.39	2229.73	2998.57	2771.14	3633.28	553.19	5325.26	4970.88	3927.5	4289.42
K06194	199.09	90.59	3974.49	5523.94	5855.530000000001	2434.65	4247.0	2063.25	1992.75	2050.33	880.75	1471.87	1155.42	757.4300000000001	346.25	736.66	981.0	2191.4	1680.4299999999998	1147.36	1265.83	552.6800000000001	651.07	177.57999999999998	3627.16	3616.91	3485.5	2463.42
K06195	202.75	69.25	3970.83	5521.6	5855.530000000001	2082.58	4200.17	2036.42	1977.08	1987.83	848.58	1436.75	1131.75	31.75	41.25	427.0	669.0	626.74	1428.75	1086.36	561.17	59.0	29.75	7.25	3333.33	3382.08	3434.67	1629.75
K06196	50.33	6846.5	1462.5	637.0	0.0	6703.13	2814.33	6443.43	2102.67	2217.0	2957.17	972.33	1598.67	4787.5	1626.0	410.0	629.0	315.0	1137.0	722.0	121.0	787.6	70.75	2742.67	592.36	488.07	138.82999999999998	690.67
K06197	19.75	8.25	3904.83	5508.6	5838.530000000001	1545.83	4105.17	2007.42	1975.08	1983.83	841.58	1430.25	1126.42	19.75	19.25	418.0	669.0	591.74	1388.75	1074.36	543.17	19.0	12.75	2.75	3215.75	3373.08	3434.67	1624.75
K06198	39753.2	28084.26	13270.240000000002	15645.9	16207.67	1758.25	2474.67	2605.2000000000003	3276.4700000000003	3510.34	5097.93	5230.8	4196.26	36729.0	38020.13	30394.8	27370.0	23833.87	29612.8	27123.87	32568.07	31924.800000000003	38657.87	5855.9400000000005	18668.6	12797.6	11665.0	21140.0
K06199	62238.42	50493.42	25451.66	34361.77	37148.53	7093.29	5216.7	9286.4	12145.33	13759.58	11627.45	14463.62	14650.12	65938.59	70497.25	58464.33	53070.0	47941.32	55301.09	54430.03	62186.75	59544.84	71217.41	19350.75	38158.490000000005	26613.980000000003	26011.5	40994.42
K06200	355.75	146.25	5086.16	5791.6	5973.200000000001	3636.33	4596.84	3061.59	2101.41	2359.16	2906.91	1832.04	1545.09	1203.25	124.25	465.5	702.5	706.24	1621.75	1105.03	626.84	293.5	116.5	196.75	3532.75	3644.91	3583.34	1703.75
K06201	39792.28	29333.18	16993.07	22260.17	22275.2	22137.88	8652.17	21786.72	19514.38	24758.17	10184.67	10368.72	25333.67	41651.25	39773.38	31092.8	28969.5	24869.11	32614.55	30231.57	33756.24	33384.4	38814.62	20102.69	22467.8	16756.68	15205.67	22840.75
K06202	196.42	74.42	3970.66	5522.77	5855.530000000001	1952.49	4165.0	2022.75	1992.75	2031.33	880.75	1455.58	1149.92	730.5899999999999	193.75	581.8299999999999	840.5	1409.07	1557.59	1115.36	913.5	304.34000000000003	340.41	67.75	3546.66	3551.58	3485.5	2358.42
K06203	194.42	81.42	4048.99	5618.77	5956.200000000001	2121.99	4352.67	2134.92	2705.41	2511.66	916.08	1522.58	1210.09	58.59	193.75	579.8299999999999	809.5	1409.07	1575.59	1115.36	920.17	304.34000000000003	340.41	67.75	3712.66	3749.91	3622.17	2400.42
K06204	371.42	131.42000000000002	4036.66	5535.77	5872.530000000001	2713.49	4324.0	2122.25	2010.75	2061.33	880.75	1476.87	1402.92	742.5899999999999	215.75	588.8299999999999	840.5	1444.07	1597.59	1128.03	931.5	341.34000000000003	357.41	67.75	3649.16	3593.58	3497.5	2393.42
K06205	188.42	70.42	3970.66	5522.77	5855.530000000001	1836.49	4150.0	2013.75	1992.75	2031.33	875.75	1455.58	1146.92	58.59	193.75	579.8299999999999	809.5	1409.07	1551.59	1115.36	913.5	304.34000000000003	340.41	67.75	3520.66	3543.58	3485.5	2356.42
K06206	8526.62	3972.35	8847.4	7563.84	6412.200000000001	8206.84	8780.1	8372.75	5151.22	4953.17	7215.44	3039.05	2795.24	4138.09	1001.88	1059.63	1294.5	1542.94	2844.3900000000003	2275.9	1005.57	556.14	718.28	1185.69	3994.26	3922.78	3704.5	2390.42
K06207	39977.95	35451.85	22021.9	22607.34	22316.7	28145.96	10397.9	28097.97	21973.800000000003	27619.92	17645.239999999998	14412.34	28394.840000000004	44857.59	41253.880000000005	31571.88	29088.5	25629.69	33549.64	31003.57	34287.32	33638.99	39126.53	21519.19	23254.29	17019.08	15270.5	23613.42
K06208	0.0	0.0	0.0	0.0	0.0	330.5	96.5	53.0	0.0	4.0	13.0	0.0	0.0	9.0	101.0	22.0	3.0	8.0	3.0	17.0	34.0	70.0	32.0	0.0	73.5	19.4	0.0	0.0
K06209	4588.33	7669.17	6585.5	10556.17	6063.5	22436.0	3429.83	22568.0	2816.0	3824.0	9666.66	4022.17	4751.66	5621.0	2968.5	868.0	1097.5	931.5	1773.0	1645.67	494.5	1166.0	129.0	7222.5	578.0	543.4	92.0	60.0
K06211	22.42	24.42	3906.66	5509.77	5838.530000000001	1723.4899999999998	4123.0	2018.25	1992.75	2027.33	875.75	1453.08	1152.42	46.59	171.75	572.8299999999999	809.5	1374.07	1511.59	1106.36	895.5	267.34000000000003	323.41	67.75	3498.41	3547.58	3485.5	2356.42
K06212	22.42	24.42	3984.99	5605.77	5939.200000000001	1963.49	4314.67	2128.42	2096.08	2111.66	916.08	1516.08	1204.59	46.59	171.75	572.8299999999999	809.5	1374.07	1535.59	1106.36	902.17	267.34000000000003	323.41	67.75	3688.66	3749.91	3620.17	2400.42
K06213	39504.2	29592.43	14886.240000000002	17473.27	16883.89	23868.93	5359.0	24992.32	18248.550000000003	24376.59	15400.09	12380.01	24779.25	39309.5	37256.13	30092.8	28358.0	24681.6	28813.3	30970.1	31417.82	30905.0	35902.119999999995	20872.44	18073.25	12130.5	11475.0	19405.0
K06214	19.75	8.25	3904.83	5288.75	5630.67	1569.0	4118.42	2007.42	1975.08	1983.83	841.58	1430.25	1129.42	19.75	19.25	0.0	0.0	4.75	1388.75	8.5	543.17	19.0	12.75	2.75	3219.0	3369.08	3434.67	1624.75
K06215	4596.0	394.0	1974.5	9197.5	5817.0	1573.8	463.9	4485.77	2689.33	2317.0	1908.4	1263.0	725.5	2796.5	557.0	341.25	416.0	659.0	1103.25	96.0	0.0	20.85	0.75	767.0	154.2	31.9	2.0	26.0
K06216	34583.0	27469.26	10060.740000000002	6449.4	10337.67	419.0	2094.67	415.8	3049.4700000000003	2803.34	3826.93	3867.8	2190.26	32128.0	34968.13	28496.8	25643.0	22514.87	26130.8	25910.87	30452.07	29532.800000000003	35574.869999999995	5430.9400000000005	17108.6	11467.6	11349.0	19244.0
K06217	39996.37	35460.1	25615.730000000003	28115.94	28155.23	29246.54	14206.07	30001.39	23857.88	29554.750000000004	18372.82	15819.59	29521.26	44852.34	41249.130000000005	31985.88	29755.5	26211.43	34905.39	32060.43	34830.49	33622.99	39102.28	21489.94	26421.71	20397.160000000003	18695.17	25231.17
K06218	21996.67	20492.84	6068.33	4802.84	8270.5	14774.24	346.91	12897.58	2220.17	2465.5	5359.33	4202.5	3667.33	31119.34	32617.0	24607.08	22123.0	19650.83	24760.59	22409.17	27377.83	26658.59	31800.66	9097.0	15949.66	11089.5	11567.83	18320.67
K06219	182.75	54.25	3968.83	5521.6	5855.530000000001	1992.33	4162.17	2050.92	1975.08	1997.83	841.58	1432.75	1137.92	31.75	41.25	425.0	669.0	626.74	1428.75	1083.36	561.17	56.0	29.75	2.75	3297.0	3386.08	3434.67	1624.75
K06221	39.5	16.5	7783.16	10757.6	11420.2	3313.08	8222.59	4070.09	3950.16	3965.66	1684.49	2860.5	2256.84	711.5	38.5	418.0	700.0	596.49	2773.75	1079.86	1086.34	38.0	26.25	5.5	6437.5	6751.16	6869.34	3249.5
K06222	19.75	12.25	3904.83	5540.74	5866.96	1730.83	4123.17	2014.42	1975.08	1983.83	841.58	1448.75	1126.42	19.75	19.25	472.0	757.4300000000001	664.74	1388.75	1210.22	543.17	19.0	12.75	2.75	3239.0	3377.08	3434.67	1624.75
K06223	26.42	12028.76	7120.16	6149.860000000001	6170.530000000001	21299.65	5961.41	18123.65	2753.25	3701.33	8780.07	5061.42	6132.74	3606.09	3916.75	679.8299999999999	925.5	1422.07	2198.84	3011.37	1340.5	1222.34	451.41	5795.25	3965.99	3751.08	3493.5	2418.42
K06257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K06261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K06268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K06281	50.5	16.5	8307.66	10577.5	11261.34	3220.58	8231.34	6255.59	15761.91	21023.91	4036.16	6721.25	20037.67	1717.0	185.0	4.0	155.5	31.75	3371.0	286.17	1356.59	166.0	101.0	2436.0	6454.83	6743.56	6871.34	3250.5
K06282	47.5	16.5	8058.66	10577.5	11261.34	3188.58	8231.34	6255.59	15761.91	21023.91	4036.16	6721.25	20037.67	1692.0	161.0	4.0	155.5	21.75	3346.0	280.17	1356.59	136.0	64.0	2436.0	6454.83	6743.56	6871.34	3250.5
K06283	6.0	7275.17	3978.0	1277.67	253.5	21611.8	3110.83	19571.1	2711.5	3220.0	9049.16	3490.17	4944.66	5085.5	2930.5	541.0	463.0	110.0	1582.0	1664.67	441.5	752.6	86.0	5588.5	601.2	526.4	88.0	34.0
K06284	2.0	6052.5	1319.5	103.0	0.0	4059.5	1267.5	3821.0	226.0	865.0	3846.5	527.5	573.0	1648.0	1214.0	15.0	37.0	19.0	210.0	420.0	0.0	240.0	37.0	443.5	276.0	12.4	4.0	0.0
K06285	0.0	0.0	74.0	0.0	0.0	82.0	39.5	20.0	0.0	0.0	55.0	12.0	0.0	0.0	55.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	12.4	0.0	0.0
K06286	39753.2	28084.26	13270.240000000002	15645.9	16207.67	1813.42	2474.67	2609.37	3276.4700000000003	3510.34	5097.93	5230.8	4196.26	37132.0	38020.13	30425.8	27616.5	24078.37	29623.3	27124.37	32655.07	32389.800000000003	38695.87	7529.94	18668.6	12797.6	11665.0	21140.0
K06287	8979.95	10152.68	11268.570000000002	8122.670000000001	6656.700000000001	26454.98	9777.67	25793.27	19655.13	24959.42	13395.669999999998	10015.51	24696.07	9383.75	3168.38	1036.05	1697.0000000000002	1046.36	3838.8	3850.74	1424.9899999999998	1587.65	466.87	15938.19	5884.13	5407.780000000001	3968.67	3592.75
K06288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K06289	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K06290	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K06291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K06292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K06293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K06294	0.0	0.0	0.0	0.0	0.0	59.0	27.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	12.0	0.0	0.0
K06295	2.0	5737.0	970.0	103.0	0.0	3249.0	1243.0	1784.0	201.0	732.5	1714.5	485.0	575.0	1520.0	1034.0	11.0	48.0	39.0	174.0	403.0	0.0	210.0	0.0	255.0	301.0	12.8	0.0	0.0
K06296	0.0	0.0	0.0	0.0	0.0	203.0	97.0	40.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	12.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	13.2	0.0	0.0
K06297	0.0	0.0	0.0	15.0	0.0	259.5	140.5	60.0	0.0	17.0	0.0	3.0	6.0	24.0	0.0	0.0	11.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	12.4	0.0	0.0
K06298	4.0	1538.17	3498.0	1335.67	253.5	18404.8	1903.33	17819.1	2508.5	2735.0	7411.66	3271.17	4556.66	3886.5	1782.5	508.0	426.0	83.0	1380.0	1238.67	407.5	442.6	17.0	5333.5	284.2	514.0	88.0	34.0
K06299	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K06300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K06301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K06302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K06303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
