function	071B	077B	091B	093B	100B	101B	218B	219B	220B	224B	242B	245B	246B	248B	073B	075B	081B	083B	085B	088B	097B	105B	106B	107B	215B	226B	227B	228B	235B
K07688	6.0	8.25	2033.75	11.45	5.25	88.5	83.80000000000001	2518.33	121.25	113.1	55.0	1079.0	214.53	116.5	5.75	12.75	15.1	12.15	11.59	16.7	5.25	14.4	3.5	3.25	57.95	913.5	228.25	315.25	101.7
K07689	10.0	27.75	2070.75	24.45	9.75	120.75	306.54	2545.0	536.3299999999999	436.94000000000005	434.83	1245.25	572.8900000000001	388.67	37.42	16.55	24.1	194.87	10.92	33.7	2510.69	26.4	3.5	10.05	369.37	1269.36	353.58	427.08	395.62
K07690	2722.49	3889.75	3963.24	2965.96	1283.25	1816.5	916.99	2974.0	564.5	1732.34	1689.08	2820.0	1768.08	1589.09	4887.75	2230.75	1505.51	3255.65	1272.43	1433.01	636.0	1204.0	953.5	987.25	868.92	2180.5	854.33	1413.58	2032.67
K07691	0.0	0.0	0.0	0.0	0.0	0.0	52.0	40.0	137.0	91.0	143.0	0.0	134.0	108.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	116.0	252.0	92.0	51.0	79.0
K07692	1622.0	64.0	87.0	0.0	26.0	0.0	71.0	40.0	267.0	147.5	161.78	0.0	188.0	155.0	34.0	75.0	10.0	0.0	10.0	50.0	0.0	24.0	38.0	9.0	169.0	280.67	132.67000000000002	51.0	107.83
K07693	9847.34	1440.5	1572.5	1323.0	1882.5	1022.0	406.0	99.33	854.75	483.83	719.95	251.5	739.0	699.0	13783.0	34307.0	20817.0	19779.0	25011.5	23114.0	37738.0	23452.5	2479.0	19739.0	1908.84	4509.42	2462.67	7018.0	3682.67
K07694	6701.5	1100.0	5289.5	16254.0	18146.0	2485.5	6585.0	5527.0	1939.0	4343.0	1615.0	2890.0	805.0	3274.0	58.0	30.0	48.0	388.0	257.0	40.0	266.0	12.0	0.0	0.0	110.0	249.0	56.0	50.0	182.0
K07695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K07696	20.0	83.0	166.0	118.0	21.0	0.0	170.0	132.0	320.5	177.0	274.0	176.0	271.0	290.0	36.33	30.0	21.0	29.0	44.0	25.0	0.0	12.0	0.0	0.0	91.0	238.0	88.0	124.0	116.0
K07697	32.0	0.0	93.0	0.0	78.0	0.0	10.0	0.0	94.0	43.0	12.78	0.0	41.0	114.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	14.67	44.67	0.0	16.0
K07698	1549.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.5	0.0	0.0	6.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	9.0	4.0	0.0	7.5
K07699	1634.0	111.5	92.0	82.0	42.0	50.0	1750.75	651.0	5525.32	2925.6	2570.93	937.3	3513.69	3504.35	36.0	47.0	10.0	11.0	121.0	72.5	0.0	30.0	90.57	134.0	2352.9	4142.57	1416.6	913.25	2663.13
