pathway	071A	077A	091A	100A	101A	218A	219A	220A	224A	242A	245A	246A	248A	073A	075A	081A	083A	085A	088A	097A	105A	106A	107A	215A	226A	227A	228A	235A
DAPLYSINESYN-PWY	2736.0874261298145	19606.30537176603	17507.440531921846	15699.400880513906	14649.800779893589	26636.23219236032	10441.454766513927	28266.60714854208	11345.168975238174	13862.225384433508	16009.420846776477	10936.007839055135	16123.781117578552	18816.33802230548	11249.888480257743	7630.51019116027	8309.119460700926	7789.976097208712	14262.41999253122	9604.172208944206	10417.016990877752	10841.758719217429	11779.194266325148	14440.075173392925	13277.642361704726	11177.095132560216	9324.160267371466	11664.491436328748
DENITRIFICATION-PWY	163.7397881996974	46.0	56.76521739130435	13.0	17.0	99.7347495260602	29.7790538010236	6.353697749196141	0.0	0.0	0.0	0.0	0.0	12.0	22.0	7.0	0.0	35.0	40.0	9.158642462509864	18.0	37.0	17.181494661921707	0.0	4.745247148288974	4.5299455535390205	0.0	0.0
DENOVOPURINE2-PWY	45480.03904453857	38588.24879430636	22963.05940466999	25402.722248097747	25429.25984625093	16216.152232843366	10662.39119942939	16063.733372927674	24680.94274272597	31531.84859785049	14620.33866034923	14014.727826715987	31819.78676252931	48992.67199155788	45857.26220288892	35424.24621712609	32775.88885166647	28934.740996358563	37259.74591501162	34873.01410954259	38464.84837152143	37553.20183497137	43781.72263027562	20878.969370555023	26442.371140470168	19437.17153328213	17744.817342862883	26840.268799221525
DHGLUCONATE-PYR-CAT-PWY	169.87166179256388	51.58015579000746	63.54595928787673	21.254441565623004	27.610797100239616	28.70787250988584	0.0	0.0	0.0	0.0	0.0	3.569668948826796	0.0	13.705035971223024	24.264705882352946	11.539953452288596	0.0	56.23184560937728	49.65247610773241	14.917729270986126	22.321008715328727	40.64041701573117	18.59375	0.0	0.0	0.0	0.0	0.0
DTDPRHAMSYN-PWY	11281.18907274852	12886.773146396736	9902.240402406282	5043.828731156989	1985.8798655691185	25085.5730179357	7466.378645247243	23197.664849578832	28235.705622078884	37569.8467928652	11346.395201693584	10445.467049081157	38537.48722014088	15528.187313609458	7758.046178418122	3787.650518120757	4160.222523417287	2328.6107859641547	7536.887286398141	6979.804750877524	4036.915812033211	4612.660973931403	4476.987125340424	17806.675172219137	3977.294550132077	3602.722223354446	1157.918046359985	3059.567906353416
ECASYN-PWY	38.21922773373574	41.62415708286881	5491.892250485997	7185.544849834634	7486.595277781282	2714.1488432111246	5053.234913338832	3166.7609567808304	3327.5689554788864	3431.564671091668	1358.5113841620612	2320.021156380921	2139.842792771426	91.27537287276286	292.1558675519409	874.124850911915	1217.8818053487516	1964.8858165145507	2293.5186863785307	1707.889557475423	1399.634220290147	437.15723651527367	497.7518419971472	14.821958692107597	4513.618916123812	4569.60409612445	4476.545145144524	2440.0667059657926
ENTBACSYN-PWY	105.0714306341298	43.90095821613947	10781.163677017712	14449.948556174004	14847.428621166691	4601.080366261484	7178.046048016069	5592.516006557037	4216.989455322704	4414.563528469561	2981.052174144269	4125.405043683875	3482.9500026441046	104.79130959924986	100.85818541748225	3525.8927357203	5305.407698495152	4790.039497171226	5856.6264492124965	7890.022360555689	2531.066837334753	99.80834488579316	67.42128767447703	14.638125532161029	10261.837608972406	9348.598351911538	9099.354892245416	6277.279196337823
FAO-PWY	3219.819256249115	673.7640823693213	10247.6184961342	18830.640318041296	16314.7214846917	7113.85902766666	9038.686862833458	8070.656451173337	5627.489326009691	6226.942378267476	3503.919430828937	5183.08057576425	4063.0505557900137	171.98119121201643	163.24705161251873	1283.6382725488122	1875.6924199387547	2017.8505590236527	3726.30712706193	2786.668898189477	1364.150720940983	192.04119297613656	82.23426922953114	186.50346410796087	6729.043543234202	6822.5981045058725	6878.666997064303	3511.993491566005
FASYN-ELONG-PWY	50877.199098262514	40605.15302534463	24283.440804985108	28827.981932936545	28762.3828181764	13680.99671049128	11762.890524673536	17701.52870658576	28537.00900009316	35861.41241348709	15998.390251419818	16119.229672022737	35277.0573022585	50240.81190926374	47580.09154003494	37600.0484024154	34918.2060146494	30979.451089778697	38974.54554903274	37582.92874361386	40632.0307695618	39038.78267785058	46253.84612861164	22151.066664749826	27879.034499146383	20419.14023022934	18341.65645928308	28146.813218197887
FASYN-INITIAL-PWY	1280.5347880311033	439.6921893634892	8103.040447839828	10652.317717202966	10799.191024217736	6932.5848947306695	7245.849818266602	4906.631092513992	4608.995479844549	4873.679788867034	2075.5428327640298	3300.181910115496	2837.2044087831864	205.78993656212373	586.9362580482341	1422.5423189498808	1910.399557565237	3283.999198075846	3726.794698175528	2659.297001182705	2227.155211879249	921.1938784609448	914.6249292562278	203.22130353873388	7156.502964555075	6609.198179569694	5481.085810489316	4999.148338700834
FERMENTATION-PWY	9898.420894815925	1815.619855288298	13192.871271113623	23235.615142788964	20533.77006450197	13303.012078819109	9491.315199745275	18713.90469653776	18753.351892199084	20920.46239454068	11716.187730024736	12350.19287316028	19592.74786166089	12820.86461505785	7584.364299182217	5505.973060334998	5370.888621795492	5363.641769955597	11156.852890961987	8643.071711537661	6839.396499759514	5815.493939327243	4331.491589827734	15645.77936983368	11314.811314628194	10339.757572747956	8384.966239155516	9144.792694552396
FOLSYN-PWY	12815.696181886637	2640.420571866841	17101.835283419932	22511.738734322247	20385.48503496552	20254.49138388681	9815.342227258285	20880.68503352096	23570.3573290871	29807.430187687045	9833.511616218151	11959.918350031585	30450.82690940889	7070.5863130760445	2865.180053797917	5081.174332696527	5833.669410845536	6427.221636124792	11720.97436564662	8216.89730142429	6636.58387836114	3852.83282879361	3841.912143555031	17126.055730766366	12919.14715272076	11215.675825765396	9607.7109777623	9772.706110260047
FUC-RHAMCAT-PWY	136.03468398808457	101.35986432895326	6272.888541903853	7032.907373575638	6729.858797227494	2999.199504984615	5870.401805076198	3567.787533165282	5265.656463267932	5906.914279223036	2038.0886654399508	2934.160236733636	3988.771321662768	722.100468675535	262.28442914071525	674.0362120936365	1000.5337563460488	1020.3390881187968	2070.044104635762	1714.7015429520743	965.6539313204532	292.7182880224932	399.6850949994186	443.8841257643337	3985.1340588331664	4016.777139769632	3931.5979226589857	2194.679194048405
FUCCAT-PWY	60.93567152210498	45.804669332401815	4934.182443390818	6073.425356920059	6107.108013118909	2660.726402543856	5028.14461265247	3462.236518379761	2926.5358582745075	3134.7949076532664	1604.6807847154707	2231.3572225551	1991.9440133692976	505.7538288176869	339.5547646753909	687.6526423991529	948.9805917210828	1519.8390298493223	2007.842583455144	1461.0173843122454	1000.78167825708	348.66705777939603	375.6776465396724	300.17568537968384	3782.408368983348	3831.349156998957	3646.3364312042295	2405.843702624559
GALACT-GLUCUROCAT-PWY	79.30621463908028	2537.251607688192	7876.486077967326	9111.20362254892	8186.166798161038	8589.333869449641	7745.705416277191	9805.495722950336	7778.457543582231	7685.834068890717	6057.23002182363	6698.174838278337	4536.989075348523	8370.650482102137	2451.832962293084	2678.774257831693	3394.387387915614	2408.8139327560043	5842.893158920233	5819.248843705253	2537.3522353717326	1524.8951962644032	94.79618722237002	5179.760585359771	5552.327027174079	5466.101536909807	3968.984306509329	3237.1289398569684
GALACTARDEG-PWY	36.09994897205462	73.79954400299675	4609.59676360112	6301.223020476982	6680.837046387695	2643.5987738395097	5049.877766005659	2660.216040519484	2369.84028350573	2386.4727961491685	1438.965262864873	1746.9341755924672	1371.2645680770167	54.436014839535815	31.031283179712865	488.20324261813647	785.4568826995179	706.4043472259563	1627.7117160982457	1254.079745379709	634.5710552173587	39.61587279166205	20.10183299389002	63.91751095448382	3696.1015566364495	3856.578433195105	3927.2938849459697	1856.857142857143
GALACTUROCAT-PWY	93.81744064466962	9685.364114770451	8896.965530822234	9787.675889053333	8481.657925052898	10671.825663783206	8455.120241473165	11915.607004626036	8994.855875226873	9601.087664695138	8588.348120692013	7863.219867543556	6934.590532964919	11435.089332193627	5021.413254800756	2684.8139390654533	3459.6105412672778	2387.885968267069	5958.610013229562	6118.724804504094	2379.843831300248	2023.1165551683025	82.67545127347644	6767.197979997946	5561.340351432405	5326.499293788335	3814.314335414411	3004.3739884125257
GALLATE-DEGRADATION-I-PWY	11.0	0.0	2.0	0.0	0.0	61.610636044909775	5.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GALLATE-DEGRADATION-II-PWY	0.0	0.0	2.0	0.0	0.0	35.6541674133559	5.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GLCMANNANAUT-PWY	38201.109590291584	38421.7548259506	21234.023882646907	25575.674518130032	25736.37951416264	27388.679735424183	9209.16525690063	27848.885779665783	23993.783085724608	31752.976318078505	14980.544810991149	15083.04354125066	33503.4505331261	48179.06768637173	46041.344225559966	35317.72005152394	32560.802088722256	28696.008609619195	36928.83114422781	34893.71354904992	37912.86131553038	36768.72513413937	42902.23033576938	17920.353374048656	24582.96058729321	18240.124261185843	18415.5241409598	24963.22905726838
GLUCARDEG-PWY	36.89291604574526	85.78937396479664	4600.559553875513	6250.997755808732	6631.5042316708805	2666.55801623502	4970.288673442209	2587.939041029128	2300.251058326004	2337.4983327841687	1392.7572620797023	1701.628345557781	1327.65809351131	71.17067372322397	33.203278629847695	490.4227568904212	785.4568826995179	717.0914793365516	1632.8050215044534	1257.001190749599	638.141292560062	42.2028768314712	21.417431565266835	63.91751095448382	3611.527407541916	3730.922894012415	3837.754823984019	1827.785032803292
GLUCARGALACTSUPER-PWY	36.09994897205462	73.79954400299675	4609.59676360112	6301.223020476982	6680.837046387695	2643.5987738395097	5049.877766005659	2660.216040519484	2369.84028350573	2386.4727961491685	1438.965262864873	1746.9341755924672	1371.2645680770167	54.436014839535815	31.031283179712865	488.20324261813647	785.4568826995179	706.4043472259563	1627.7117160982457	1254.079745379709	634.5710552173587	39.61587279166205	20.10183299389002	63.91751095448382	3696.1015566364495	3856.578433195105	3927.2938849459697	1856.857142857143
GLUCONEO-PWY	30984.77466254908	7018.748402554056	22768.503289148462	27489.04222077825	26106.782153384	25290.20038425861	11895.978411267342	29497.87414381478	27277.14772251449	35098.43390028888	18172.07367477977	16697.49672029671	35122.27989013805	37163.56327869626	25400.700832549555	19033.54824260572	19850.54253523868	17641.540185458685	28560.30234155133	23561.54222838658	23559.33898857592	20773.47107600416	24572.15600555645	21955.11044293625	19933.74502289024	15900.772699833964	14654.711163026646	16587.145523690382
GLUCOSE1PMETAB-PWY	369.1343054471668	140.56730476957722	6780.112296178236	8925.350087682651	9279.016313244714	3480.0486113974343	6124.764904733607	3782.1613493783175	3654.4048522598127	3795.390294359307	1672.20868971642	2653.8252225627766	2207.209340730012	117.02920710900808	385.6859986184445	1138.873943178249	1575.449715054746	2667.2530581595543	2965.808297657996	2153.8164286944025	1779.132706790962	603.1910751106923	674.9037750578967	135.07491431259766	6114.90290560997	5875.575448703599	5677.976707677063	4273.372025198089
GLUCUROCAT-PWY	1248.6222092319897	2571.185652504172	8620.491661596992	10326.461571061169	9184.814715913128	9008.838951217458	8311.037335627367	9976.21450843368	8643.934814885017	8572.44518876405	5849.243610816553	6952.788611991176	5040.67847634282	10049.042747189997	5802.667249773572	3638.2127168797374	4449.873022904402	3426.610864304605	8377.776763055652	6786.073492560397	5042.652068808837	4536.1338668510825	5419.682911532728	5358.950003230874	6598.38511983682	6195.74750852151	4163.932832367857	5115.553659933935
GLUTORN-PWY	1143.4393276255655	8415.279112580938	10546.21398455526	10913.288102348974	8832.220073577488	26004.15516458759	8299.158862672777	26271.20942075056	17594.980925274587	22745.872447527625	12048.495299519282	8237.344148396145	21910.461238889107	7583.31048232086	3299.603542875462	1312.3366919045693	1754.3495152565256	2122.3165368406408	3869.656792651668	3631.750846370981	1520.2994150484187	1223.2456481201507	488.4842835893104	11448.618553819928	4213.388845677611	4070.856949276466	3548.663233089067	1827.2770984063543
GLYCOCAT-PWY	3806.350038515772	18273.368829687628	17706.20718774753	14114.601048400486	13420.634816849368	34899.88783759968	11201.089158449344	35428.67257272426	27885.67735136812	36355.03670518773	19170.705199528093	14290.520560374904	37047.244617393335	30711.52715462024	18229.77271764084	8469.975914162276	9048.703899757464	7463.346688982858	18771.86310867008	13619.811403288692	11226.875378978506	11964.315956882676	10659.72489051234	23038.433078777914	15877.56396024895	13544.502931828893	9717.168790649444	14327.714945715508
GLYCOGENSYNTH-PWY	31988.578829762715	37524.60389715043	20753.35368798067	15291.974073525113	18472.37934932411	32653.83610242044	9743.470048926867	32094.53791195341	17340.92974882789	20740.56200350949	18569.142625583576	14515.636573333322	24051.278754930245	49184.26389582949	45671.34870907492	34524.198818036784	31629.698339148414	27313.00625702301	36742.90742899209	34132.75283452994	37494.59534311613	36887.51541481682	42692.47912822381	23001.300971994537	25117.44498763512	18588.351562004456	16605.016457872116	25438.868091276203
GLYCOL-GLYOXDEG-PWY	437.9202217940363	147.8813093860711	8827.31565456633	13257.464359577962	13710.161419644544	3877.226296956744	5923.9405727181775	5088.726834689678	5643.416469070153	5777.780298468849	2277.4462037426774	3683.607804592031	3268.505473200738	89.44596236108278	93.10463369791108	705.7395082470047	1078.3005440515926	1060.1020281103513	2754.058087693369	1472.0839742134267	973.4624717494276	102.84088137378028	44.06043874359645	10.804686694475222	4790.746608310084	4802.098324040569	4904.567243721801	2552.801213504918
GLYCOLYSIS	36852.60436065344	32520.396971755905	27820.481766528654	28541.04661728193	27915.464088000663	25051.61557123001	13472.213201185124	28086.59226110256	29988.68969848096	38168.03769634103	20784.69881225784	18203.441893466104	39136.4796426359	32926.436749326735	19897.04233155769	12871.20820243771	15018.715109477587	16320.008994605456	25710.657103233152	20963.92669444172	17279.030268064995	11384.489680798157	8253.881327027497	24565.763369879503	24104.15766497424	19162.282893140626	17451.490839045928	20142.58050207972
GLYCOLYSIS-E-D	1282.0484304498943	470.7680784035855	13619.348920931194	16092.371119002632	16371.349949329498	9216.1676481672	9453.5035503513	9159.08307326556	9275.637020266138	9954.845544876258	4343.164744636591	6279.115444661998	6299.627356496962	4203.359235275933	279.3616343886538	2564.99782709491	3984.424147836926	3548.935609229221	7507.566704523459	5859.967413450802	3319.583080440838	360.46654999867576	192.48282592190347	17.86270058312194	11975.681382433111	10728.284452268035	9431.073439682128	7587.367854715389
GLYCOLYSIS-TCA-GLYOX-BYPASS	1154.4257270009268	380.0701054370024	11599.266807263724	17278.018965560965	16110.002092754758	8541.570249604134	8883.066336854065	9279.397593415772	7641.761965603458	8830.539732300724	4032.859326966356	5985.871258199798	5837.949514328943	383.96777062663057	236.7763609720721	1645.9772418321752	2435.355789980953	2408.7561185896425	4869.090680648065	3711.44917705293	1905.184682778084	282.07604985742813	134.32457296699397	19.64702029500052	7975.787431187949	7589.307092751646	6939.7416842374605	4637.456023647468
GLYOXYLATE-BYPASS	425.6630101452196	143.6634968454724	7337.3383085633695	12836.195254766497	11756.348572402128	5229.424279240249	6251.836477230395	6279.488005880317	6843.980024054347	7146.570154597851	2850.072764531053	4420.1737127465385	4306.793065144046	102.28508951821746	118.71659047485076	709.5072939422398	1072.6106440580054	1022.651804196413	3500.708037315786	1729.5752681211388	1452.0383643811524	144.5510276737315	80.85556723555946	10.995070434685406	4892.183133578551	4680.661415928281	4121.688958791449	2993.33299538267
