"","071B","073B","075B","077B","081B","083B","085B","088B","091B","093B","097B","100B","101B","105B","106B","107B","215B","218B","219B","220B","224B","226B","227B","228B","235B","242B","245B","246B","248B"
"Sutterella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101.01189419492,10651.5178412924,0,23078.2886561335,5325.75892064619,24853.5416296822,0,0,14202.0237883898,14202.0237883898,0,0,8876.26486774365
"Mailhella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31954.5535238772,0,0,10651.5178412924,0,7101.01189419492,0,0,10651.5178412924,28404.0475767797,3550.50594709746,10651.5178412924,0
"Prevotella_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10651.5178412924,7101.01189419492,3550.50594709746,7101.01189419492,7101.01189419492,12426.7708148411,0,0,14202.0237883898,0,0,24853.5416296822,0
"Flavonifractor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23078.2886561335,12426.7708148411,0,19527.782709036,24853.5416296822,8876.26486774365,17752.5297354873,0,0,0,0,12426.7708148411,28404.0475767797
"Acholeplasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,24853.5416296822,0,33729.8064974259,17752.5297354873,0,40830.8183916208,78111.1308361441,46156.577312267,15977.2767619386,8876.26486774365,28404.0475767797,51482.3362329132,0,17752.5297354873,65684.360021303
"Ruminococcaceae_UCG_013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21303.0356825848,0,39055.5654180721,10651.5178412924,0,5325.75892064619,5325.75892064619,7101.01189419492,3550.50594709746,8876.26486774365,23078.2886561335,15977.2767619386
"Methanobrevibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14202.0237883898,0,0,14202.0237883898,8876.26486774365,10651.5178412924,12426.7708148411,0,10651.5178412924,30179.3005503284,0,31954.5535238772,8876.26486774365
"Agathobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101.01189419492,14202.0237883898,0,19527.782709036,0,47931.8302858157,49707.0832593645,0,19527.782709036,10651.5178412924,0,7101.01189419492,26628.794603231
"Ruminococcaceae_UCG_010",0,0,0,14202.0237883898,0,0,0,0,0,0,0,0,0,0,40830.8183916208,1775.25297354873,173974.791407776,74560.6248890467,3550.50594709746,175750.044381324,49707.0832593645,152671.755725191,49707.0832593645,17752.5297354873,86987.3957038878,127818.214095509,12426.7708148411,78111.1308361441,78111.1308361441
"DMER64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5325.75892064619,1775.25297354873,0,0,0,12426.7708148411,3550.50594709746,0,5325.75892064619,12426.7708148411
"Jeotgalibaca",0,0,0,0,0,0,0,0,0,17752.5297354873,0,0,0,0,0,0,0,10651.5178412924,0,3550.50594709746,12426.7708148411,8876.26486774365,0,0,15977.2767619386,14202.0237883898,0,46156.577312267,10651.5178412924
"W5053",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17752.5297354873,0,14202.0237883898,1775.25297354873,7101.01189419492,8876.26486774365,0,3550.50594709746,10651.5178412924,0,24853.5416296822,1775.25297354873
"Stenotrophomonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,39055.5654180721,0,0,0,3550.50594709746,8876.26486774365,0,19527.782709036,0,0,10651.5178412924,33729.8064974259,19527.782709036,0,0
"Wohlfahrtiimonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10651.5178412924,0,8876.26486774365,14202.0237883898,5325.75892064619,0,0,24853.5416296822,5325.75892064619,8876.26486774365,3550.50594709746,1775.25297354873
"Erysipelothrix",0,0,3550.50594709746,0,0,0,0,0,0,10651.5178412924,0,10651.5178412924,0,0,0,0,15977.2767619386,0,0,5325.75892064619,1775.25297354873,0,0,0,5325.75892064619,0,0,17752.5297354873,1775.25297354873
"Megasphaera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31954.5535238772,0,0,14202.0237883898,0,14202.0237883898,0,0,14202.0237883898,30179.3005503284,0,0,28404.0475767797
"Marinilabiliaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19527.782709036,0,5325.75892064619,10651.5178412924,5325.75892064619,8876.26486774365,0,3550.50594709746,10651.5178412924,0,7101.01189419492,10651.5178412924
"Hathewaya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12426.7708148411,1775.25297354873,5325.75892064619,0,0,1775.25297354873,10651.5178412924,0,0,3550.50594709746
"Lachnospiraceae_NK3A20_group",0,0,0,0,0,0,0,7101.01189419492,12426.7708148411,0,0,0,0,0,14202.0237883898,0,15977.2767619386,0,0,51482.3362329132,26628.794603231,12426.7708148411,0,12426.7708148411,0,15977.2767619386,14202.0237883898,35505.0594709746,0
"Family_XIII_AD3011_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1775.25297354873,26628.794603231,0,46156.577312267,0,7101.01189419492,7101.01189419492,0,0,44381.3243387183,0,24853.5416296822,3550.50594709746
"Serratia",0,0,0,0,5325.75892064619,0,0,5325.75892064619,0,0,0,0,0,0,0,0,21303.0356825848,21303.0356825848,0,5325.75892064619,10651.5178412924,8876.26486774365,0,0,8876.26486774365,0,0,7101.01189419492,3550.50594709746
"Thiopseudomonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24853.5416296822,0,42606.0713651695,10651.5178412924,17752.5297354873,0,0,15977.2767619386,21303.0356825848,10651.5178412924,12426.7708148411,26628.794603231
"Anaerocella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8876.26486774365,15977.2767619386,0,5325.75892064619,0,1775.25297354873,5325.75892064619,3550.50594709746,8876.26486774365,53257.5892064619,8876.26486774365,0,12426.7708148411
"Brevibacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14202.0237883898,0,0,3550.50594709746,0,0,3550.50594709746,8876.26486774365,0,0,8876.26486774365,0,0,0,0
"Cellulosilyticum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5325.75892064619,15977.2767619386,0,0,3550.50594709746,23078.2886561335,0,7101.01189419492,5325.75892064619
"Fastidiosipila",0,0,0,0,0,0,0,0,1775.25297354873,0,0,0,0,0,0,0,3550.50594709746,0,1775.25297354873,12426.7708148411,12426.7708148411,7101.01189419492,8876.26486774365,0,7101.01189419492,0,10651.5178412924,46156.577312267,8876.26486774365
"Aphagea_fa",1775.25297354873,0,0,53257.5892064619,1775.25297354873,5325.75892064619,5325.75892064619,1775.25297354873,10651.5178412924,10651.5178412924,0,1775.25297354873,10651.5178412924,1775.25297354873,7101.01189419492,5325.75892064619,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moheibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5325.75892064619,7101.01189419492,1775.25297354873,5325.75892064619,10651.5178412924,12426.7708148411,0,0,5325.75892064619,3550.50594709746,0,5325.75892064619,14202.0237883898
"Halomonas",0,0,0,0,0,1775.25297354873,0,0,7101.01189419492,0,0,0,21303.0356825848,1775.25297354873,0,0,10651.5178412924,0,0,28404.0475767797,7101.01189419492,0,0,7101.01189419492,7101.01189419492,14202.0237883898,0,19527.782709036,8876.26486774365
"Ruminococcaceae_NK4A214_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19527.782709036,5325.75892064619,1775.25297354873,3550.50594709746,8876.26486774365,10651.5178412924,0,3550.50594709746,12426.7708148411,3550.50594709746,0,23078.2886561335,21303.0356825848
"Caviibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101.01189419492,0,0,14202.0237883898,0,0,0,7101.01189419492,12426.7708148411,0,0,10651.5178412924,3550.50594709746
"Aliidiomarina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3550.50594709746,12426.7708148411,0,7101.01189419492,0,0,15977.2767619386,0,1775.25297354873,0
"Orbaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8876.26486774365,12426.7708148411,1775.25297354873,12426.7708148411,0,0,21303.0356825848,0,0,7101.01189419492
"Bacteroidales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30179.3005503284,10651.5178412924,0,42606.0713651695,15977.2767619386,5325.75892064619,8876.26486774365,7101.01189419492,21303.0356825848,8876.26486774365,15977.2767619386,47931.8302858157,31954.5535238772
"Weeksellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10651.5178412924,12426.7708148411,0,7101.01189419492,5325.75892064619,17752.5297354873,0,1775.25297354873,19527.782709036,21303.0356825848,0,12426.7708148411,0
"Ruminococcaceae_UCG_002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10651.5178412924,8876.26486774365,0,3550.50594709746,0,10651.5178412924,0,0,3550.50594709746,0,8876.26486774365,5325.75892064619,17752.5297354873
"Luteimonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21303.0356825848,0,24853.5416296822,0,17752.5297354873,3550.50594709746,0,14202.0237883898,15977.2767619386,0,28404.0475767797,0
"Anaerosporobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10651.5178412924,0,0,0,12426.7708148411,15977.2767619386,0,0,10651.5178412924,3550.50594709746,7101.01189419492,12426.7708148411,5325.75892064619
"Gammaproteobacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1775.25297354873,5325.75892064619,0,15977.2767619386,3550.50594709746,0,5325.75892064619,0,0,17752.5297354873,0,3550.50594709746,0
"Tissierella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14202.0237883898,0,3550.50594709746,0,3550.50594709746,0,5325.75892064619,0,5325.75892064619,0,3550.50594709746,0,5325.75892064619
"WCHB1_41",7101.01189419492,10651.5178412924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3550.50594709746,5325.75892064619,1775.25297354873,0,0,0,7101.01189419492,0,5325.75892064619,0
"Erysipelotrichaceae_UCG_004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3550.50594709746,14202.0237883898,0,0,30179.3005503284,8876.26486774365,8876.26486774365,7101.01189419492,21303.0356825848,5325.75892064619,0,3550.50594709746,26628.794603231
"Alteromonadales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8876.26486774365,0,7101.01189419492,0,5325.75892064619,0,0,0,23078.2886561335,0,0,5325.75892064619
"dgA_11_gut_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3550.50594709746,12426.7708148411,0,5325.75892064619,17752.5297354873,3550.50594709746,3550.50594709746,1775.25297354873,1775.25297354873,7101.01189419492,1775.25297354873,15977.2767619386,0
"Clostridiales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1775.25297354873,0,0,0,1775.25297354873,0,0,3550.50594709746,8876.26486774365,3550.50594709746,0,10651.5178412924,0
