"","071B","073B","075B","077B","081B","083B","085B","088B","091B","093B","097B","100B","101B","105B","106B","107B","215B","218B","219B","220B","224B","226B","227B","228B","235B","242B","245B","246B","248B"
"Corynebacterium_1",5325.75892064619,5325.75892064619,12426.7708148411,122492.455174862,5325.75892064619,0,5325.75892064619,0,475767.79691106,0,5325.75892064619,3550.50594709746,85212.1427303391,0,14202.0237883898,0,94088.4075980827,86987.3957038878,0,193502.574116812,90537.9016509853,248535.416296822,65684.360021303,28404.0475767797,95863.6605716315,182851.056275519,72785.371915498,211255.103852299,143795.490857447
"Solibacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140244.98491035,40830.8183916208,17752.5297354873,56808.0951535594,46156.577312267,108290.431386473,63909.1070477543,44381.3243387183,33729.8064974259,118941.949227765,0,122492.455174862,65684.360021303
"Acinetobacter",10651.5178412924,1775.25297354873,3550.50594709746,21303.0356825848,1775.25297354873,0,0,3550.50594709746,8876.26486774365,8876.26486774365,0,0,115391.443280668,8876.26486774365,0,0,314219.776318125,168649.032487129,30179.3005503284,243209.657376176,182851.056275519,170424.285460678,124267.708148411,63909.1070477543,142020.237883898,372803.124445233,134919.225989704,271613.704952956,300017.752529736
"Burkholderiaceae",0,0,0,0,1775.25297354873,1775.25297354873,0,0,0,31954.5535238772,0,0,0,1775.25297354873,0,0,99414.1665187289,37280.3124445233,5325.75892064619,17752.5297354873,71010.1189419492,72785.371915498,74560.6248890467,17752.5297354873,81661.6367832416,51482.3362329132,17752.5297354873,56808.0951535594,42606.0713651695
"Gemella",39055.5654180721,0,1775.25297354873,177525.297354873,10651.5178412924,12426.7708148411,0,12426.7708148411,51482.3362329132,24853.5416296822,3550.50594709746,10651.5178412924,284040.475767797,24853.5416296822,78111.1308361441,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paeniclostridium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24853.5416296822,51482.3362329132,8876.26486774365,78111.1308361441,47931.8302858157,55032.8421800107,23078.2886561335,0,46156.577312267,65684.360021303,21303.0356825848,55032.8421800107,63909.1070477543
"Marinospirillum",0,0,0,0,0,0,0,0,0,0,0,0,0,1775.25297354873,0,0,122492.455174862,58583.3481271081,8876.26486774365,56808.0951535594,33729.8064974259,31954.5535238772,26628.794603231,23078.2886561335,56808.0951535594,28404.0475767797,37280.3124445233,69234.8659684005,76335.8778625954
"Tyzzerella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5325.75892064619,10651.5178412924,0,8876.26486774365,31954.5535238772,0,0,15977.2767619386,19527.782709036
"Coprococcus_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124267.708148411,63909.1070477543,0,62133.8540742056,79886.3838096929,53257.5892064619,71010.1189419492,26628.794603231,63909.1070477543,39055.5654180721,39055.5654180721,95863.6605716315,56808.0951535594
"Vagococcus",0,7101.01189419492,0,56808.0951535594,0,3550.50594709746,0,0,23078.2886561335,8876.26486774365,1775.25297354873,0,7101.01189419492,0,0,0,118941.949227765,63909.1070477543,12426.7708148411,108290.431386473,56808.0951535594,65684.360021303,35505.0594709746,26628.794603231,95863.6605716315,94088.4075980827,56808.0951535594,152671.755725191,78111.1308361441
