"","Size"
"101B",5706
"077B",6513
"106B",8198
"215B",11004
"242B",12220
"227B",12697
"246B",13224
"245B",14495
"218B",15226
"228B",16299
"235B",16574
"224B",17449
"248B",17940
"220B",20300
"100B",23167
"091B",23211
"219B",23555
"071B",23722
"226B",23851
"093B",23989
"107B",29007
"073B",29601
"088B",36275
"105B",36361
"081B",40007
"085B",47329
"083B",52253
"075B",56529
"097B",72699
