"Name","1","2","3","4","5","6","7","8","9","10","11","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49"
"Lactobacillus",8897735.70526063,8567617.97797878,8742704.71911915,275967.188784822,697338.601311646,256111.991335914,8943863.94175809,8768576.64306773,1449830.52887026,503800.565572291,6225707.46675759,5260825.09376066,5446741.94260043,5766831.79238282,431198.732476284,194941.938589278,1514410.05996671,500391.087222479,3256051.82407092,1655402.01760895,5506307.53494715,6639658.24993482,6695212.69128176,6817953.91187501,958063.416297306,361805.820180101,1466476.80551934,2346723.89242093,6901987.52532039,46128.2364974629,2219169.29062795,567577.866468783,77415.2142957422,4943543.0496781,5473416.09674896,414953.570927178,7667315.1360783,7170534.08475562,5294518.7621588,7169531.29700568,6686187.60153226,5306953.33025812,3559896.51230421,775355.488257355,5392390.84655342,5250797.21626121,8060608.49160667,7510278.57443693
"Escherichia_Shigella",14440.1435992058,14239.5860492168,7019.51424961393,8793846.89436634,7525721.50578608,7659894.50672871,142195.302942179,6618.39914963599,7227492.42895249,7914201.48011472,3413489.50081226,4369747.89915966,4283909.26776438,3994705.28068029,9042939.37145264,8472754.256834,8115962.37540362,8609133.3908265,5918052.18507451,7102344.51775937,4110025.87192395,3040452.45783278,2905677.78424019,2943984.27628808,7556005.69583442,8931228.81610878,7744730.35037404,7114578.5283087,2847315.5371934,9149435.43049678,7340205.77204629,8682336.89657247,8809490.38326548,28078.0569984557,13236.798299272,107097.73169411,16646.2766490845,18050.1794990072,4294137.70281382,1897474.98044564,2988708.60993562,4332845.30996169,5436513.50755099,8336976.79549147,4162772.50757105,4361725.5971601,559756.122019213,1748059.60570386
"Muribacter",164256.633440966,134975.231142576,177292.874190249,8022.30199955877,284390.605884359,83431.9407954112,146407.011491948,276167.746334811,44323.2185475622,220212.189887888,45526.563847496,148813.702091815,50540.5025972203,65381.761296404,14841.2586991837,11030.6652493933,14841.2586991837,33894.2259481358,7821.7444495698,38707.6071478711,129359.619742885,44323.2185475622,20055.7549988969,24468.0210986543,401.115099977939,23264.6757987204,1604.46039991175,4612.82364974629,78819.1171456649,7420.62934959187,14440.1435992058,4412.26609975733,26473.596598544,2291971.68127394,957060.628547362,5571689.29624356,47732.6968973747,595856.481017228,38507.0495978821,84234.1709953671,47732.6968973747,34094.7834981248,8824.53219951465,19253.5247989411,69593.4698461724,74406.8510459076,321092.63753234,156434.888991396
"Staphylococcus",177292.874190249,433605.423076152,346162.331280961,142796.975592146,857584.083752833,73002.9481959848,802.230199955877,1002.78774994485,736447.323559495,1007200.0160446,15844.0464491286,46128.2364974629,11431.7803493713,12234.0105493271,92055.9154449369,62975.0706965364,120936.202643349,187320.751689697,95064.2786947715,33292.5532981689,4813.38119973526,1203.34529993382,7019.51424961393,3008.36324983454,10027.8774994485,168067.226890756,159643.80979122,157437.676741341,0,1805.01794990072,1805.01794990072,7019.51424961393,0,299632.97968352,1672850.52445799,108902.74964401,731633.94235976,188524.096989631,2607.2481498566,3610.03589980145,4011.15099977939,2807.80569984557,27877.4994484667,9827.3199494595,0,0,0,0
"Streptococcus",565371.733418905,590040.312067548,528669.701770923,5415.05384970217,61370.6102966246,23866.3484486874,563366.157919015,757305.308758348,25470.8088485991,99075.4296945509,102284.350494374,74807.9661458856,59766.1498967129,73805.1783959407,11030.6652493933,29080.8447484006,28880.2871984116,24267.4635486653,16445.7190990955,4412.26609975733,113315.015743768,188323.539439642,245482.441186498,113515.573293757,2406.69059986763,16044.6039991175,18852.4096989631,44122.6609975733,139989.169892301,0,9225.64729949259,12033.4529993382,802.230199955877,477126.411423758,634363.53061511,41515.4128477167,151420.950241672,400914.54242795,226429.473937546,285995.06628427,176891.759090271,209783.197288462,192936.363089388,76813.5416457753,236056.236337017,220011.632337899,879244.299151642,420769.739876858
"Enterococcus",10629.5501494154,2807.80569984557,1403.90284992279,12835.683199294,8423.41709953671,32289.7655482241,2607.2481498566,3610.03589980145,8824.53219951465,5615.61139969114,1002.78774994485,401.115099977939,3610.03589980145,802.230199955877,5415.05384970217,15242.3737991617,3409.47834981248,7220.0717996029,4612.82364974629,10228.4350494374,0,0,1002.78774994485,1002.78774994485,14841.2586991837,10027.8774994485,8824.53219951465,2607.2481498566,0,11231.2227993823,2807.80569984557,8623.97464952568,10228.4350494374,32089.2079982351,13637.9133992499,37303.7042979483,22663.0031487535,19654.639898919,2607.2481498566,4011.15099977939,5415.05384970217,15844.0464491286,10428.9925994264,4612.82364974629,1604.46039991175,2206.13304987866,1403.90284992279,3208.92079982351
"Pseudomonas",0,200.557549988969,200.557549988969,0,0,3208.92079982351,0,0,0,1604.46039991175,0,0,0,0,0,1203.34529993382,0,0,0,0,0,0,0,0,3610.03589980145,0,601.672649966908,0,0,802.230199955877,401.115099977939,1002.78774994485,0,5214.4962997132,1002.78774994485,3208.92079982351,1604.46039991175,0,0,0,0,200.557549988969,401.115099977939,1203.34529993382,0,802.230199955877,200.557549988969,0
"Lachnospiraceae_NK4A136_group",4612.82364974629,13437.3558492609,14039.0284992279,39710.3948978159,30885.8626983013,107899.961894066,8824.53219951465,11832.8954493492,27676.9418984778,13838.4709492389,10428.9925994264,7420.62934959187,12635.1256493051,4011.15099977939,21459.6578488197,61370.6102966246,9426.20484948156,31086.4202482902,43320.4307976174,71398.4877960731,5214.4962997132,3810.59344979042,6417.84159964702,5816.16894968011,68189.5669962496,24869.1361986322,41916.5279476946,17649.0643990293,3008.36324983454,35498.6863480476,23465.2333487094,33894.2259481358,57961.1319468121,103888.810894286,68390.1245462385,202563.125488859,67788.4518962716,84033.6134453781,7621.18689958084,29080.8447484006,5013.93874972423,5615.61139969114,46529.3515974409,46729.9091474299,9025.08974950362,1604.46039991175,12434.5680993161,8824.53219951465
"Muribaculaceae",32289.7655482241,58562.804596779,33292.5532981689,196145.283889212,137983.594392411,436212.671226008,47933.2544473637,42117.0854976836,147209.241691904,71398.4877960731,66384.5490463489,31688.0928982572,26473.596598544,20456.8700988749,95064.2786947715,290006.21728405,49938.8299472534,141393.072742223,165259.421190911,252501.955436112,24066.9059986763,13236.798299272,30083.6324983454,24267.4635486653,300635.767433465,120535.087543371,139186.939692345,77816.3293957201,3409.47834981248,197549.186739135,91654.800344959,163253.845691021,303644.1306833,477527.526523736,224022.783337679,805840.235855679,302240.227833377,394095.585728325,37704.8193979262,136780.249092477,20657.4276488638,22663.0031487535,193738.593289344,186719.07903973,25270.2512986101,21058.5427488418,51342.7327971762,46529.3515974409
