"class","1","2","3","7","8","11","13","14","15","22","23","24","25","30","40","41","42","43","46","47","48","49"
"Actinobacteria"," 0","10"," 7","10","16","10"," 0"," 0"," 0"," 0"," 4"," 0"," 4"," 0"," 0","10"," 0"," 3"," 0"," 2"," 0","10"
"Bacteroidetes"," 346"," 617"," 429"," 460"," 454"," 543"," 300"," 338"," 230"," 272"," 215"," 304"," 214","  74"," 329","1301"," 226"," 205"," 355"," 221"," 416"," 388"
"Cyanobacteria"," 3","17"," 0"," 2"," 0"," 7"," 0"," 0"," 6","10"," 7","14"," 8"," 0"," 0","18"," 7"," 9"," 0"," 1"," 7","10"
"Firmicutes","48175","48021","48115","47619","47586","31676","26791","27625","29322","28326","33965","34591","34651","35086","27555","37507","34450","27580","28236","27356","44685","39687"
"Proteobacteria"," 1266"," 1065"," 1219"," 1711"," 1713","17536","22718","21818","20273","21171","15634","14898","14934","14673","21863","10786","15138","22024","21212","22246"," 4701"," 9697"
"Verrucomicrobia"," 71","131"," 91"," 59"," 92"," 89"," 52"," 80"," 30"," 82"," 36"," 54"," 50"," 28","114","239"," 40"," 40"," 58"," 35"," 52"," 69"
"Genotype","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_Homo_HET","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_Homo_HET","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_Homo_HET","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_Homo_HET","Sig_Homo_HET"
"sample","1","2","3","7","8","11","13","14","15","22","23","24","25","30","40","41","42","43","46","47","48","49"
