"class","2","11","22","25","40","46","073A","075A","081A","083A","085A","088A","097A","105A","106A","107A","111A","115A","119A","120A","124A","129A","134A","135A","137A","140A","146A","151A","156A","158A","161A","162A","167A","215A","226A","227A","228A","235A","258A","259A","260A","261A"
"Actinobacteria","  0","  0","  0","  0","  0","  3"," 36"," 23"," 12","  0","  0","107","  0","  0","  2","  0","533"," 14","121","136","402"," 91","210","222"," 77"," 55"," 56"," 22"," 24"," 57"," 63"," 57","135","  0","  0","  0","  0","  0"," 55","  4","  0","  0"
"Bacteroidetes","  262","  247","  121","   86","  124","  133"," 2252","  161","   26","  410","   10"," 1379"," 1698","  558","  191","    5","10125"," 6335","11910","13438","12137"," 7014"," 5847"," 9465"," 8505"," 8558"," 5310"," 2182"," 4497"," 7366"," 8320"," 7119"," 7829","14251","   56","   29","    0","   37","15228","11376","12784","15518"
"Firmicutes","25948","17078","15080","18620","14877","15144","23822","25777","25720","25467","22249","20920","24716","23117","25234","25412","15694","19918","14402","12892","13703","19329","20064","16523","17333","12571","13852","18164","14682","13289","16598","17975","18478","12318","16080","13179","12232","20114"," 9554","15119","13774","10924"
"Patescibacteria","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 10"," 17"," 22"," 30","  5"," 33","100"," 73","360","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  5","  9"
"Proteobacteria","  384"," 9272","11396"," 7891","11596","11317","  487","  636","  839","  720"," 4338"," 4191","  183"," 2922"," 1170"," 1180","   29","  115","   53","   90","  347","   41","  102","  164","   37"," 5376"," 7370"," 6229"," 7368"," 5830"," 1616"," 1446","  146","   28","10461","13389","14365"," 6446"," 1760","   96","    0","  112"
"Tenericutes","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","206","198"," 89"," 11","  3"," 89","274","150","285"," 37","  9","  0"," 26"," 55","  0","  0","  9","  0","  0","  0","  0","  0","  0","  0"," 34"," 34"
"DOL","P8","P8","P8","P8","P8","P8","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P28","P28","P28","P28","P28","P28","P28","P28","P28","P14","P14","P14","P14","P14","P14","P14","P14","P11","P11","P11","P11","P11","P14","P14","P14","P14"
"sample","2","11","22","25","40","46","073A","075A","081A","083A","085A","088A","097A","105A","106A","107A","111A","115A","119A","120A","124A","129A","134A","135A","137A","140A","146A","151A","156A","158A","161A","162A","167A","215A","226A","227A","228A","235A","258A","259A","260A","261A"
