feature,t-statistic,p-value
RECNO,38.0,0.638473654491961
PFS_3,0.0,3.512865899946644e-06
PFS_6,10.0,0.0023723695105118546
TIME,44.0,0.9702567877356933
SRVID,52.0,0.638473654491961
Age,,
Height,,
Weight,,
BMI,,
EER,,
Visit,45.0,1.0
UserId,52.0,0.638473654491961
DOB,,
MultivitaminFreq,,
MultivitaminDose,,
MultivitaminAvg,,
CalciumDose,,
CalciumAvg,,
FRT5DAY,43.0,0.9106489659211447
FRTSUMM,42.5,0.8814101814635162
VEG5DAY,35.5,0.5017002631652212
VEGSUMM,47.0,0.9109354605516093
AlcoholServings,37.0,0.553768164746993
CalciumFromDairyServings,54.0,0.5382032155487533
CalciumServings,48.0,0.8569645457517311
LowFatDairyServing,30.0,0.2756102010067225
FriedFishServings,43.0,0.9036626248610704
NonFriedFishServings,55.5,0.4543797089223073
FishServings,52.5,0.6013954449721475
FriedFoodServings,56.5,0.41065473662547725
FruitServings,38.0,0.6230191691729872
JuiceServings,58.0,0.2898107554874193
SaladVegetableServings,25.0,0.1504353769799994
SweetServings,58.0,0.3501815829946682
VegetableServings,39.0,0.6739065960003598
WholeGrainServings,51.0,0.6911349520045171
HEIScore,40.0,0.7453416149068323
HEI_Fruit,39.0,0.6687479223356416
HEI_NonJuiceFrt,38.0,0.6078300686155347
HEI_Veg,37.0,0.5642669013749528
HEI_DrkG_OrgVeg_Leg,30.0,0.27281959428712566
HEI_Grains,41.0,0.7931879643304469
HEI_Whl_Grains,45.5,1.0
HEI_Milk,49.5,0.7649170274339896
HEI_Meat_Beans,50.0,0.6805157916207465
HEI_Oils,54.0,0.493918510269151
HEI_SatFat,29.0,0.2455027452293409
HEI_Sodium,56.5,0.3920174360171702
HEI_SolFat_Alc_AddSug,42.5,0.8813518937498629
HEI2010Score,40.0,0.7453416149068323
HEI2010_Fruit,39.0,0.6687479223356416
HEI2010_Whole_Fruit,38.0,0.6078300686155347
HEI2010_Veg,37.0,0.5642669013749528
HEI2010_Greens_Beans,37.5,0.5903257990079189
HEI2010_Whole_Grains,45.5,1.0
HEI2010_Dairy,49.5,0.7649170274339896
