feature,t-statistic,p-value
M_FISH_LO,59.0,0.5383220406029692
M_FRANK,66.5,0.8605294679723717
M_MEAT,85.0,0.3958628946276468
M_MPF,71.0,0.9766436686336611
M_NUTSD,73.5,0.8594666719067434
M_ORGAN,68.0,0.8784817434328712
M_POULT,76.0,0.7474170705441505
M_SOY,101.0,0.0740530436646671
magnes,72.0,0.9300109933136972
maltitol,70.0,1.0
maltose,82.0,0.5007112613753855
mangan,84.0,0.4292480471436786
mannitol,68.0,0.9300109933136972
methhis3,71.0,0.9766436686336611
methion,75.0,0.7921706029981195
mfa141,74.0,0.8376197722836831
mfa161,69.0,0.9766436686336611
mfa181,74.0,0.8376197722836831
mfa201,77.0,0.7034993180411209
mfa221,60.0,0.5780310485673851
mfatot,74.0,0.8376197722836831
natoco,72.0,0.9300109933136972
nccglbr,87.0,0.3339735948493513
nccglgr,87.0,0.3339735948493513
niacin,76.0,0.7474170705441505
niacineq,80.0,0.5780310485673851
nitrogen,78.0,0.6605492052016728
omega3,84.0,0.4292480471436786
oxalic,67.0,0.8836174593813683
oxalicm,68.0,0.9300109933136972
pantothe,75.0,0.7921706029981195
pectins,74.0,0.8376197722836831
pfa182,79.0,0.6186891374327621
pfa183,87.0,0.3339735948493513
pfa183n3,88.0,0.30550708686125383
pfa184,64.0,0.7473109293929463
pfa204,81.0,0.5386755507626598
pfa205,63.0,0.7034993180411209
pfa225,62.0,0.6605492052016728
pfa226,69.0,0.9766436686336611
pfatot,80.0,0.5780310485673851
phenylal,75.0,0.7921706029981195
phosphor,75.0,0.7921706029981195
phytic,78.0,0.6605492052016728
pinitol,86.0,0.3638877695779491
potass,70.0,1.0
proline,72.0,0.9300109933136972
protanim,73.0,0.8836174593813683
protein,76.0,0.7474170705441505
protveg,88.0,0.30550708686125383
retinol,72.0,0.9300109933136972
rgrain,90.0,0.25353587959989776
ribofla,72.0,0.9300109933136972
sacchar,70.0,1.0
satoco,81.5,0.5162125107733505
selenium,72.0,0.9300109933136972
serine,76.0,0.7474170705441505
sfa100,71.0,0.9766436686336611
sfa120,69.0,0.9766436686336611
sfa140,66.0,0.8376197722836831
sfa160,72.0,0.9300109933136972
sfa170,67.0,0.8836174593813683
sfa180,73.0,0.8836174593813683
sfa200,79.0,0.6186891374327621
sfa220,78.0,0.6605492052016728
sfa40,67.0,0.8836174593813683
sfa60,76.0,0.7474170705441505
sfa80,71.0,0.9766436686336611
sfatot,70.0,1.0
sodium,65.0,0.7921706029981195
solidfat,70.0,1.0
sorbitol,66.0,0.8376197722836831
starch,85.0,0.3958628946276468
sucpoly,58.0,0.40186013050269853
sucrlose,70.0,1.0
sucrose,75.0,0.7921706029981195
tagatose,81.0,0.5386755507626598
tfa161t,62.0,0.6605492052016728
tfa181t,71.0,0.9766436686336611
tfa182t,66.0,0.8376197722836831
tgrain,85.0,0.3958628946276468
thiamin,77.0,0.7034993180411209
threonin,75.0,0.7921706029981195
totaltfa,68.0,0.9300109933136972
totcla,73.0,0.8836174593813683
totfolat,68.0,0.9300109933136972
totsugar,82.0,0.5007112613753855
tryptoph,75.0,0.7921706029981195
tyrosine,72.0,0.9300109933136972
V_DRKGR,53.0,0.3339735948493513
V_ORANGE,81.0,0.5386755507626598
V_OTHER,70.0,1.0
V_POTATO,87.0,0.3339735948493513
V_STARCY,77.5,0.6818300352677613
V_TOMATO,70.0,1.0
V_TOTAL,77.0,0.7034993180411209
valine,75.0,0.7921706029981195
vita_iu,72.0,0.9300109933136972
vita_rae,72.0,0.9300109933136972
vita_re,70.0,1.0
vitb12,70.0,1.0
vitb6,75.0,0.7921706029981195
vitc,66.0,0.8376197722836831
vitd,71.0,0.9766436686336611
vitd_iu,71.0,0.9766436686336611
vitd2,73.5,0.8604693851294569
vitd3,71.0,0.9766436686336611
vite_iu,65.0,0.7921706029981195
vitk,63.0,0.7034993180411209
water,45.0,0.15140878254142853
wgrain,72.0,0.9300109933136972
xylitol,61.0,0.6186891374327621
zinc,71.0,0.9766436686336611
