function	073A	075A	081A	083A	085A	088A	097A	105A	106A	107A	215A	226A	227A	228A	235A	073B	075B	081B	083B	085B	088B	097B	105B	106B	107B	215B	226B	227B	228B	235B
EC:1.3.1.54	4388.5	1635.0	892.0	1092.0	728.99	1135.0	1938.03	52.0	412.2	86.0	1138.0	487.4	372.4	86.0	37.0	2269.0	1315.0	1468.67	1821.07	961.42	1135.42	2797.15	449.0	569.3199999999999	517.0	1897.37	2890.39	1059.85	933.25	2262.17
EC:1.3.1.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62	2.0	0.0	0.0	0.0
EC:1.3.1.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.1.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.5	0.0	0.0	0.0	15.0	0.0	0.0	10.0	0.0	3.0	0.0	0.0	0.0	0.0	4.5	0.0	6.0	0.0	15.0
EC:1.3.1.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.1.76	5358.25	2899.75	1694.0	2194.0	1898.73	3062.75	3467.56	1002.67	842.2	115.75	5417.75	3927.4	3939.48	3530.67	1719.75	2388.0	1383.55	1648.41	2501.6	1347.34	1269.65	5579.169999999999	568.8	609.0699999999999	547.05	3534.02	6357.34	2144.01	1898.0	4241.87
EC:1.3.1.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	3.0	0.0	23.0	0.0	7.0	0.0	0.0	0.0	0.0	15.0	12.0	8.0	11.0	34.0
EC:1.3.1.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	19.0	32.0	23.0	0.0	10.0	0.0	0.0	9.0	0.0	0.0	0.0	4.0	0.0	5.0
EC:1.3.1.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.1.85	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	15.0	5.0	39.0	13.0	0.0	10.0	0.0	0.0	0.0	6.0	16.0	29.0	24.0	17.0	59.0
EC:1.3.1.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	5.0	0.0	0.0	0.0	14.0	11.0	24.0	0.0	0.0	0.0
EC:1.3.1.87	19.75	19.25	0.0	0.0	4.75	1379.0	5.5	543.17	19.0	12.75	2.75	3219.0	3369.08	3434.67	1624.75	5.75	12.75	12.5	12.15	10.25	12.5	0.0	13.0	3.5	3.25	62.870000000000005	819.75	215.25	304.25	73.0
EC:1.3.1.9	45760.59	41257.880000000005	31967.63	29575.0	25881.18	33773.89	32869.92999999999	34275.32	33171.74	39089.78	25702.69	23433.54	17085.58	15261.5	23652.42	24592.9	46783.09	31092.370000000003	30968.75	35608.91	33270.12	52874.00000000001	31005.86	4822.61	25829.68	10619.64	19580.93	8860.42	12372.17	15183.420000000002
EC:1.3.1.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.1.98	44886.09	41275.880000000005	31580.88	29091.0	25656.19	33621.14	30989.07	34294.32	33731.99	39126.53	23083.19	23250.46	17026.08	15270.5	23613.42	23910.57	46215.34	29999.370000000003	30234.03	35142.74	32613.620000000003	50279.52	30925.36	4496.61	25627.68	9054.35	16952.510000000002	7866.049999999999	11571.73	13118.36
EC:1.3.3.11	24.0	44.0	14.0	0.0	70.0	80.0	18.0	36.0	74.0	34.0	0.0	19.0	0.0	0.0	0.0	3315.0	1443.8	1014.34	2191.25	837.59	958.42	426.29	814.0	628.75	662.8	732.22	1212.34	585.5	867.5	1543.42
EC:1.3.3.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
EC:1.3.3.3	31.75	41.25	427.0	669.0	626.74	1428.75	1086.36	561.17	59.0	29.75	7.25	3355.0	3413.08	3434.67	1659.75	2412.67	1379.55	1546.8100000000002	1908.02	1024.34	1197.62	2796.69	490.4	561.25	487.05	1631.25	2989.53	1085.91	1237.25	2172.12
EC:1.3.3.4	87.0	33.0	314.0	398.0	575.0	237.0	50.67	0.0	13.0	0.75	159.0	130.0	73.5	6.0	38.0	175.0	147.5	154.0	448.66	317.5	191.83	300.58	77.5	165.25	72.8	977.39	1833.62	587.1600000000001	404.17	1152.1799999999998
EC:1.3.3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.3.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	5.0	0.0	0.0	2.25	14.0	90.67	169.0	0.0	0.0	67.67
EC:1.3.4.1	28.5	22.0	4.0	0.0	0.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	104.0	46.0	17.0	82.0
EC:1.3.5.1	3470.5	343.5	1516.5	2453.0	2407.98	4898.5	4505.06	1662.84	331.7	68.0	16741.5	7336.059999999999	7078.96	6913.34	3445.5	5308.0	3048.1	3603.62	4878.56	2780.6800000000003	2810.9	6238.039999999999	1249.8	1568.25	1294.7	7841.72	13249.57	4510.55	4556.139999999999	10255.99
EC:1.3.5.2	730.5899999999999	193.75	581.8299999999999	840.5	1409.07	1557.59	1130.36	913.5	320.34000000000003	341.16	72.25	3784.49	3641.08	3507.5	2400.42	3468.84	2982.7200000000003	3276.6400000000003	5740.4400000000005	3133.18	1653.78	3620.78	1306.06	1281.66	943.38	2860.58	5542.1900000000005	2335.48	2333.4300000000003	4130.87
EC:1.3.5.3	727.5899999999999	272.75	576.8299999999999	840.5	1374.07	1517.59	1358.86	895.5	267.34000000000003	323.41	254.75000000000003	3505.66	3545.58	3485.5	2371.42	995.59	1580.42	1721.9299999999998	3974.690000000001	2110.26	462.03	3299.53	799.5600000000001	641.66	465.58	573.21	1830.02	1040.4	1011.76	849.6199999999999
EC:1.3.5.4	47795.17999999999	38961.130000000005	33662.96	32643.0	29336.98	38173.48	35604.509999999995	36108.91	33284.18	39440.69	22956.94	33362.98	27334.92	25694.34	29319.34	27396.18	49292.94	33374.48	36912.26	38532.76	34336.63	61637.96	32169.82	5669.82	26567.86	13226.72	25275.120000000003	10752.35	14708.99	18669.89
EC:1.3.5.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	3.0	0.0	23.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.5.6	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.33	6.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.7.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.33	16.0	0.0	0.0	2.0	0.0	0.0	17.0	0.0	0.0	15.0	27.0	20.0	6.0	63.0
EC:1.3.7.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	3.0	0.0	23.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.7.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	125.0	51.0	96.0	23.0	0.0	16.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	15.0
EC:1.3.7.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.7.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	24.0	8.0	9.0	7.0
EC:1.3.8.1	2184.0	1401.0	475.0	414.5	114.5	471.5	1148.34	52.0	375.0	86.0	2359.0	570.5	371.0	96.0	34.0	1840.66	848.0	543.67	1256.95	529.42	599.0799999999999	228.0	437.0	437.39	448.0	2042.5	2691.25	1206.86	1097.75	2611.6
EC:1.3.8.12	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	15.0	5.0	6.0	0.0	18.0	3.0	0.0	0.0	0.0	6.0	16.0	38.0	16.0	17.0	59.0
EC:1.3.8.2	52.0	29.0	314.0	398.0	575.0	237.0	50.0	0.0	13.0	0.0	67.0	0.0	0.0	0.0	23.0	58.0	30.0	48.0	388.0	257.0	40.0	266.0	12.0	0.0	0.0	91.0	235.0	51.0	50.0	150.0
EC:1.3.8.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.8.4	12.0	22.0	9.0	0.0	35.0	40.0	12.0	18.0	37.0	17.0	0.0	77.25	12.0	0.0	0.0	2329.25	1352.8	1495.42	1676.75	990.76	1117.25	286.0	470.0	506.75	451.8	917.7	1319.09	610.8299999999999	666.67	1449.5
EC:1.3.8.6	64.0	51.0	323.0	398.0	610.0	277.0	59.0	18.0	53.0	17.75	67.0	179.0	32.5	28.0	38.0	2367.0	1385.3	1549.67	2085.75	1251.92	1180.75	556.91	485.5	573.5	491.8	1496.2799999999995	2599.34	843.8299999999999	994.51	2217.33
EC:1.3.8.7	24.0	44.0	24.0	0.0	70.0	80.0	30.0	36.0	74.0	34.0	0.0	262.5	28.0	0.0	0.0	5582.65	3457.4	4052.97	4141.0	2850.68	3040.0	646.0	954.0	1206.75	1070.4	2582.69	3955.85	1746.8300000000002	1573.84	3347.16
EC:1.3.8.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	31.0	0.0	30.0	6.0	3.8	0.58	0.0	0.0	0.0	0.0	0.0	0.0	7.8	426.1	465.68	176.66	139.34	399.0
EC:1.3.98.1	43172.0	44524.13	35692.05	32259.0	27924.87	34903.05	32925.369999999995	38422.07	37595.05	45360.87	12587.44	21770.6	14801.8	11665.0	24665.0	23259.4	51075.87	31404.73	28198.33	37053.0	36062.67	54759.08	34897.3	3503.13	28786.0	3439.08	7596.5	4199.62	8094.02	6100.08
EC:1.3.99.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.99.16	60.0	110.0	39.0	0.0	175.0	200.0	58.34	90.0	209.0	85.0	0.0	36.0	16.0	0.0	0.0	9797.0	4939.0	4770.02	6612.16	3396.86	3893.18	1208.0	2057.0	1994.5	2110.0	1714.3	2964.5	1317.5	2068.0	3756.0
EC:1.3.99.22	21564.43	9468.88	4106.71	4873.0	4563.51	12190.23	8848.099999999999	5735.32	5260.93	4165.6900000000005	27814.69	13663.15	12914.009999999998	10927.0	8410.59	14198.83	8446.51	8135.120000000001	14767.25	7810.620000000001	7086.41	8463.55	4384.52	3958.34	3465.31	12737.81	22883.68	9469.38	8814.759999999998	16688.79
EC:1.3.99.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	68.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	23.5	24.0	13.0	10.0	7.0
EC:1.3.99.26	635.0	111.13	15.8	88.0	42.870000000000005	51.8	20.54	58.07	159.8	345.87	55.94	176.10000000000002	17.8	14.0	11.0	90.33	38.0	62.0	53.66	52.0	64.0	3.16	6.0	105.0	40.0	828.8299999999999	1500.92	452.75	373.92	883.0799999999999
EC:1.3.99.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	16.0	32.0	0.0	0.0	3.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	5.0
EC:1.3.99.28	635.0	111.13	15.8	88.0	42.870000000000005	51.8	20.54	58.07	159.8	345.87	55.94	176.10000000000002	17.8	14.0	11.0	90.33	38.0	62.0	53.66	52.0	64.0	3.16	6.0	105.0	40.0	828.8299999999999	1500.92	452.75	373.92	883.0799999999999
EC:1.3.99.29	635.0	111.13	15.8	88.0	42.870000000000005	51.8	20.54	58.07	159.8	345.87	55.94	176.10000000000002	17.8	14.0	11.0	90.33	38.0	62.0	53.66	52.0	64.0	3.16	6.0	105.0	40.0	828.8299999999999	1500.92	452.75	373.92	883.0799999999999
EC:1.3.99.31	635.0	111.13	15.8	88.0	42.870000000000005	51.8	20.54	58.07	159.8	345.87	55.94	176.10000000000002	17.8	14.0	11.0	90.33	38.0	62.0	53.66	52.0	64.0	3.16	6.0	105.0	40.0	828.8299999999999	1500.92	452.75	373.92	883.0799999999999
EC:1.3.99.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	7.0
EC:1.3.99.33	6748.5	22.0	4.0	310.0	0.0	129.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	6.0	0.0	16.0	8.0	0.0	0.0	0.0	112.0	444.0	20.0	32.0	800.0
EC:1.3.99.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.0	48.0	96.0	0.0	0.0	9.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	15.0
EC:1.3.99.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	17.0	11.0	0.0	0.0	3.0	22.0	0.0	0.0	2.25	0.0	68.0	19.25	0.0	8.0	62.0
EC:1.3.99.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	8.0	38.0
EC:1.3.99.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.33	0.0	0.0	33.0	0.0	9.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.4.1.1	6848.84	3322.8	1958.63	2223.0	2154.78	4373.64	2330.87	2795.98	3060.1400000000003	3342.36	10327.6	515.01	236.2	68.83	781.67	5971.24	3266.79	3301.16	5284.48	3328.51	3455.83	1670.66	1858.66	1598.54	1255.83	2159.36	4065.73	1767.31	1591.49	2981.29
EC:1.4.1.11	0.0	0.0	8.0	0.0	0.0	16.0	28.0	0.0	10.0	0.0	64.0	10.0	7.0	2.0	0.0	14.0	0.0	0.0	13.6	0.0	29.33	8.0	24.0	0.0	44.0	182.0	179.0	108.0	79.0	122.0
EC:1.4.1.13	16115.5	5172.4	2645.9	4091.500000000001	3210.83	8338.9	8128.83	3043.29	2874.7	571.6	34128.3	8427.23	8214.96	7077.34	3562.5	7431.17	4259.1	4971.79	6486.9800000000005	3796.77	3989.150000000001	6504.249999999999	1713.8	1942.14	1822.8	11844.47	19808.77	6986.34	6506.51	15380.81
EC:1.4.1.14	16115.5	5172.4	2645.9	4091.500000000001	3210.83	8338.9	8128.83	3043.29	2874.7	571.6	34128.3	8427.23	8214.96	7077.34	3562.5	7431.17	4259.1	4971.79	6486.9800000000005	3796.77	3989.150000000001	6504.249999999999	1713.8	1942.14	1822.8	11844.47	19808.77	6986.34	6506.51	15380.81
EC:1.4.1.16	6751.0	2956.0	519.0	598.5	94.25	2144.5	2373.67	677.75	724.6	20.5	13618.0	710.53	608.0	98.0	69.0	64.0	43.0	131.0	88.0	39.0	134.0	21.0	91.0	117.0	106.3	2633.96	3723.01	1477.49	1082.15	3074.3
EC:1.4.1.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	12.0	0.0	0.0	17.0	32.0	0.0	0.0	10.0	14.0	0.0	12.0	11.0	0.0	160.0	275.67	128.67000000000002	51.0	95.33
EC:1.4.1.2	73.0	154.0	343.0	400.0	618.0	280.0	79.0	52.0	120.0	49.0	67.0	139.25	16.0	2.0	25.0	2356.67	1362.67	1573.0	2068.35	1215.09	1210.59	581.33	525.0	666.3299999999999	528.0	1274.75	2131.19	801.75	852.0799999999999	1939.25
EC:1.4.1.20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	10.17
EC:1.4.1.21	1344.0	0.0	418.0	731.0	586.99	12.0	1310.86	0.0	0.0	0.0	182.5	112.0	44.0	6.0	30.0	27.0	28.55	40.6	204.72	12.0	80.2	2515.65	23.4	19.25	0.8	654.12	944.59	350.87	298.12	785.62
EC:1.4.1.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0
EC:1.4.1.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	8.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	45.0	55.0	20.0	0.0	53.0
EC:1.4.1.3	9.0	103.0	424.0	671.0	586.99	0.0	1080.53	0.0	3.0	0.0	98.0	53.5	11.0	0.0	3.0	203.66	82.8	84.0	321.38	95.0	100.33	2507.7699999999995	12.0	103.25	78.8	490.04	606.4300000000001	326.08	158.17000000000002	497.0
EC:1.4.1.4	44995.59	41250.380000000005	30882.88	28770.0	24736.94	33700.14	31375.57	34470.57	33536.99	38991.03	28745.69	23167.54	17064.88	15229.5	23585.42	21508.57	44781.92	27692.97	28126.6	32466.01	31439.78	49564.07	30322.560000000005	3835.28	24857.18	8441.57	15857.6	7598.69	11140.36	11686.17
EC:1.4.1.9	12.0	22.0	7.0	0.0	35.0	40.0	12.0	18.0	37.0	17.0	0.0	72.0	12.0	0.0	3.0	1664.0	769.0	569.67	1128.75	432.42	515.25	212.0	409.0	362.75	344.0	687.5	1146.17	450.67	562.0	1048.0
EC:1.4.3.10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	18.0	0.0	22.25	0.0	0.0	86.5	0.0	0.0	0.0
EC:1.4.3.16	6575.25	1814.75	899.0	1258.0	757.49	3432.25	3415.7	845.09	526.6	71.0	11080.25	4254.03	4095.81	3687.34	1783.75	2558.0	1440.55	1693.81	2088.88	1131.34	1372.45	2838.2699999999995	620.4	741.0699999999999	598.35	4622.61	8068.410000000002	2755.08	2568.32	6071.22
EC:1.4.3.19	12.0	22.0	9.0	0.0	35.0	40.0	12.67	18.0	37.0	17.75	0.0	66.0	41.5	0.0	30.0	2373.66	1405.3	1508.96	1726.41	1037.9199999999998	1163.75	311.87	499.5	566.0	474.8	1090.46	1630.84	662.8299999999999	760.67	1603.17
EC:1.4.3.20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.4.3.21	19.75	19.25	418.0	669.0	591.74	1427.0	1074.36	556.51	19.0	12.75	2.75	3513.75	3792.74	3704.01	1742.75	29.75	31.55	12.79	187.87	13.25	19.5	2503.15	13.0	8.0	18.05	176.96	1010.17	274.5	343.25	135.67000000000002
EC:1.4.3.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	61.25	0.0	0.0	0.0
EC:1.4.3.4	12.0	22.0	7.0	0.0	35.0	40.0	21.0	18.0	40.0	17.0	0.0	21.0	4.0	0.0	0.0	2267.33	1272.0	1545.67	1611.5	953.17	1109.67	286.0	425.0	477.57	464.0	406.3	560.5	259.93	415.0	767.5999999999999
EC:1.4.3.5	669.59	215.75	602.8299999999999	842.5	1444.07	1830.59	1934.53	1006.5	348.34000000000003	359.41	5862.75	3852.49	3648.58	3513.5	2432.42	5124.84	3666.22	3827.31	6867.6	3570.85	2183.45	3810.86	1738.56	1574.66	1362.38	3256.42	5857.02	2660.48	2729.33	4732.29
EC:1.4.4.2	6148.75	2216.25	1171.0	2281.0	2251.24	3250.75	2703.2	1268.67	1728.0	175.5	11701.75	4071.33	3536.38	3458.67	1715.75	2737.33	1599.75	1883.19	2856.44	1675.0099999999998	1470.12	3382.5999999999995	597.9	834.5	628.25	4722.89	8128.45	2812.54	2528.6	5881.3
EC:1.4.7.1	3858.5	1753.5	523.0	420.5	119.5	1423.5	1259.34	407.5	461.6	54.0	5356.5	337.03	514.0	88.0	34.0	164.32999999999998	54.0	79.0	131.66	95.0	93.0	2.33	12.0	128.0	55.0	912.0	1303.3200000000002	507.67	379.5	1086.53
EC:1.4.9.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.5	0.0	0.0	0.0	34.0	32.0	64.0	22.0	0.0	0.0	0.0	16.0	18.0	12.0	100.5	233.5	68.0	72.0	220.0
EC:1.4.9.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.4.99.5	36.0	66.0	21.0	0.0	105.0	120.0	27.0	54.0	111.0	51.0	0.0	0.0	0.0	0.0	0.0	4842.0	2109.0	1481.01	3238.5	1248.51	1401.51	636.0	1191.0	939.0	984.0	783.0	1284.0	612.0	1095.0	1896.0
EC:1.4.99.6	12.0	22.0	9.0	0.0	35.0	40.0	9.0	18.0	37.0	17.0	0.0	0.0	0.0	0.0	0.0	1740.0	779.0	588.67	1143.75	470.42	534.92	212.0	397.0	324.75	335.0	356.0	552.0	284.0	413.0	704.0
EC:1.5.1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	15.0	0.0	15.0	0.0	0.0	0.0	8.0	0.0	7.0	33.0	99.0	14.0	0.0	21.0
EC:1.5.1.10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	20.0	32.0	31.0	14.0	7.0
EC:1.5.1.2	44869.59	41275.880000000005	31996.88	29757.5	26160.68	33589.64	32080.93	34305.32	33675.99	39143.53	21610.19	23208.54	17000.08	15241.5	23611.42	25543.57	46923.14	30438.370000000003	31456.15	35487.74	33084.62	52994.670000000006	31300.36	4875.610000000001	25895.480000000003	9217.09	17419.76	8075.719999999999	11706.4	13414.27
EC:1.5.1.20	5278.59	2190.75	1113.08	1410.0	1504.32	3890.34	3844.7	1591.25	866.19	398.66	13968.25	5802.19	5545.48	3880.5	4314.42	3836.99	3125.7200000000003	3516.8900000000003	5927.700000000001	3344.1800000000003	1883.45	3751.69	1579.56	1578.96	1113.48	5583.98	9813.910000000002	4566.879999999999	4019.84	7013.03
EC:1.5.1.21	12.0	22.0	7.0	0.0	35.0	40.0	9.0	18.0	37.0	17.0	0.0	0.0	0.0	0.0	0.0	1624.0	737.0	496.67	1080.75	419.42	478.92	212.0	397.0	318.0	328.0	261.0	439.25	212.0	365.0	632.0
EC:1.5.1.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	83.38	6.0	11.75	40.38
EC:1.5.1.28	131.0	29.0	318.0	398.0	575.0	256.0	64.5	31.0	18.0	0.0	284.0	4.0	0.0	4.0	23.0	61.0	32.75	48.0	388.0	257.0	40.0	268.33	12.0	11.0	0.0	155.32999999999998	288.27	98.0	79.67	197.83
EC:1.5.1.3	43958.84	40309.46	31975.88	29808.5	26261.1	34930.64	32032.099999999995	34860.83	33527.99	39355.95	21356.28	26438.04	20581.090000000004	18829.84	25273.17	25519.99	46962.09	30469.14	31411.32	35524.08	33096.24	52989.34	31337.76	4803.360000000001	25938.93	8815.01	17104.52	7973.549999999999	12080.9	12992.33
EC:1.5.1.33	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	30.25	0.0	6.75	19.66	13.0	2.33	2.33	0.0	54.0	0.0	47.67	129.0	24.0	24.5	87.5
EC:1.5.1.34	691.75	19.25	418.0	700.0	591.74	1394.75	1074.36	543.17	19.0	12.75	2.75	3252.58	3398.08	3434.67	1654.75	61.42	74.55	76.78999999999999	179.87	11.59	23.5	2508.4	29.0	12.5	45.05	610.4	1547.44	480.91	513.75	672.4200000000001
EC:1.5.1.36	26.840000000000003	152.5	572.8299999999999	809.5	1369.32	156.59	1100.86	359.0	248.34	310.66	3.83	186.5	229.66000000000005	134.67	121.0	1008.17	1584.67	1674.4299999999998	3968.94	2099.34	465.53	3286.24	788.5600000000001	663.16	456.33	428.79	685.5	716.4000000000001	655.51	579.2
EC:1.5.1.38	1003.75	1152.25	1064.0	1465.0	1811.74	1980.25	1360.86	579.17	126.0	47.5	4391.75	3305.75	3436.58	3434.67	1700.75	3487.75	1684.22	1155.39	3164.62	1363.17	1198.79	3496.9300000000003	906.9	730.33	704.05	2038.69	4108.23	1431.0	1573.0100000000002	2739.1600000000003
