function	073A	075A	081A	083A	085A	088A	097A	105A	106A	107A	215A	226A	227A	228A	235A	073B	075B	081B	083B	085B	088B	097B	105B	106B	107B	215B	226B	227B	228B	235B
EC:1.1.1.43	12.0	22.0	7.0	0.0	35.0	40.0	9.0	18.0	37.0	17.0	0.0	0.0	0.0	0.0	0.0	1645.0	725.0	496.67	1090.75	419.42	471.92	212.0	409.0	315.75	328.0	273.0	431.0	208.0	373.0	643.0
EC:1.1.1.44	34308.59	35395.380000000005	29561.88	27336.0	24927.19	28730.14	28275.07	31845.82	30546.39	36127.53	15881.69	22319.01	16415.48	15156.5	23531.42	20222.92	45312.34	29715.73	29794.43	34964.97	30251.12	49878.52	30288.160000000003	4298.99	25153.08	5057.389999999999	10711.13	5699.82	9893.5	8149.99
EC:1.1.1.47	513.0	116.33	337.0	461.0	631.6700000000001	303.0	82.67	57.67	152.0	248.67	140.34	48.0	20.0	127.0	23.0	1726.33	775.0	577.0	1492.25	669.81	513.42	480.29	417.0	340.75	328.0	643.75	1020.22	469.42	512.75	1131.88
EC:1.1.1.48	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	627.0	573.0	1006.0	512.0	519.0	612.0	74.0	40.0	175.0	116.0	36.0	46.0	13.0	8.0	53.0
EC:1.1.1.49	33721.59	35417.380000000005	29556.88	27303.0	24962.19	28531.14	27721.4	31894.82	30576.39	36144.53	10281.69	22304.76	16395.68	15156.5	23528.42	21952.25	46040.34	30234.0	30984.85	35399.16	30698.37	50077.52	30689.36	4565.49	25468.08	4957.84	10706.95	5785.67	10123.35	8414.34
EC:1.1.1.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	16.0	32.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	8.0	14.0
EC:1.1.1.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	51.0	43.0	64.0	0.0	33.0	43.0	13.0	0.0	36.25	0.0	404.0	799.25	264.0	153.0	282.33000000000004
EC:1.1.1.56	0.0	0.0	418.0	669.0	586.99	0.0	1068.86	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	21.0	15.0	0.0	178.72	0.0	9.0	2503.15	8.0	0.0	6.0	59.17	70.17	28.75	0.0	48.17
EC:1.1.1.57	3096.75	712.75	1766.0	2423.0	1848.7200000000005	2640.75	4248.58	944.0	450.6	29.75	840.75	3341.95	3677.75	3384.0	1614.75	33.42	44.75	75.1	527.31	43.48	57.370000000000005	7514.7	43.8	21.5	9.25	746.96	1680.08	581.25	485.75	626.1600000000001
EC:1.1.1.58	4343.75	796.25	1348.0	1877.5	1263.98	3133.25	3680.72	1145.92	521.6	33.25	3620.75	3588.2	3911.08	3538.67	1694.75	48.75	51.75	110.5	406.59	67.25	131.5	5022.549999999999	50.4	56.5	43.55	1137.64	2427.7200000000003	829.5699999999999	785.3199999999999	1179.17
EC:1.1.1.6	9233.25	4633.05	2795.8	3255.0000000000005	2072.93	5685.55	4093.59	2690.57	3234.0	3166.95	3268.85	5134.0	5057.88	3811.67	3509.75	3923.15	947.95	260.1	751.5899999999999	165.48000000000002	2440.37	5540.87	823.3	445.55	444.25	1507.65	3323.51	1700.15	1460.21	1612.0800000000002
EC:1.1.1.60	2762.0	1309.5	882.0	1644.0	1455.48	2935.0	2263.39	1191.34	804.6	117.5	2100.5	6633.2	6758.16	6869.34	3249.5	2365.83	1357.3	1501.27	2063.49	1012.92	1158.12	5302.799999999999	497.4	513.0	464.3	1153.79	3199.41	1075.17	1324.0	1545.49
EC:1.1.1.61	19.75	19.25	16.0	0.0	4.75	1396.75	61.5	536.5	39.0	12.75	130.75	3076.75	3177.75	3300.0	1580.75	19.75	12.75	12.5	21.15	10.25	12.5	5.25	37.0	3.5	70.25	288.5	901.0	361.5	344.75	187.75
EC:1.1.1.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.67	12.0	22.0	7.0	0.0	35.0	40.0	250.5	18.0	37.0	17.0	182.5	0.0	0.0	0.0	15.0	2181.0	1263.0	1402.67	1588.75	938.42	1026.92	286.0	437.0	475.0	438.0	318.47	696.0	217.0	373.0	743.17
EC:1.1.1.69	12273.0	4272.13	2479.8	2650.93	1368.11	5895.3	4212.259999999999	2660.82	2966.4	3242.37	4716.110000000001	840.9600000000002	732.97	285.83	723.67	4713.33	1594.75	1264.6	1255.81	786.0	2894.2	3394.13	799.4	652.25	569.3	2500.05	3978.39	1534.24	1026.24	3029.2699999999995
EC:1.1.1.76	35979.0	37806.0	30134.0	27470.0	23547.99	29272.0	28061.86	32430.0	31695.0	38289.0	5375.0	17118.0	11451.8	11222.0	19266.0	19989.65	42973.0	25601.75	23943.72	30077.12	30312.54	48517.98	29117.2	2784.05	24178.8	2332.8900000000003	5152.39	2708.15	7068.57	4574.299999999999
EC:1.1.1.77	35371.75	35686.88	29150.05	26730.5	23105.11	28796.8	28247.4	31409.74	30075.65	35604.619999999995	6544.1900000000005	20572.550000000003	15313.88	14742.67	20917.75	16346.75	41980.75	25437.5	23621.47	30031.25	28213.5	48073.15	28488.0	2693.75	23866.25	2692.0	6721.57	3205.5	7598.65	5212.679999999999
EC:1.1.1.79	31.75	41.25	845.0	1338.0	1213.73	1428.75	2152.2200000000003	561.17	56.0	29.75	2.75	3304.75	3390.08	3448.67	1630.75	2395.75	1383.75	1475.4399999999998	2053.84	1006.84	1129.79	5299.839999999999	476.4	505.25	454.25	1206.17	2415.34	862.0	1030.25	1708.79
EC:1.1.1.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
