pathway	111A	115A	119A	120A	124A	129A	134A	135A	137A	111B	115B	119B	120B	124B	129B	134B	135B	137B
FASYN-INITIAL-PWY	275.53447754506226	212.232017075136	947.2377987727356	751.9255911876854	823.4406246182455	212.2970926118508	162.64887036359144	494.677654535666	662.942683591596	594.6505911944801	349.7590120872517	269.6951560148899	311.203367396887	518.8907629202777	442.6743349161269	399.51088523377314	1604.5887361057942	208.36480579101345
FERMENTATION-PWY	15824.564117952952	13771.84613102359	14584.829478498588	11603.6431700318	11876.394735762358	15693.379799120405	12057.137775146735	16371.208604021009	21667.32668763404	5822.453079076159	12633.62594904552	15904.663981015285	34402.33356154056	19542.388638382232	36381.87584958567	13475.871214349912	41767.276037219104	20894.12342655892
FOLSYN-PWY	15241.63542098504	13721.334173789524	18115.6999314717	17862.05673412066	16610.12769408524	17988.425905925982	18612.117041783844	19820.214056114743	24059.072114127343	1777.6076031498528	1780.8487946798596	1341.993289158523	17565.735775474874	3563.4014631800223	4802.959416639267	13340.760606664811	19407.09879302512	9633.636845406469
FUC-RHAMCAT-PWY	463.3439551370206	333.26262012879704	443.60939986018457	350.86719453572385	581.9763451480909	749.1966118432152	873.4427594033167	444.0531611608663	1190.6534021990378	117.73842951808484	324.72283415531155	146.43892260332024	144.95782734600428	177.78695574250946	956.4786408676932	168.4852493000783	1343.1878795718133	204.96084189403587
FUCCAT-PWY	343.51856477048574	263.2873443178505	233.9006325238554	177.58823091181682	367.62896946403225	679.4394702331722	533.2705194182719	259.0582368149832	752.0063604053151	115.18476405993113	1181.8265717795312	129.15338710068104	95.93821658806732	140.80048314208292	1828.5661705105329	95.87488103748908	1702.9492701016477	116.9010056528698
GALACT-GLUCUROCAT-PWY	6765.2328896165445	7730.648229696703	8290.564401380901	8133.025022990392	8552.476535996808	16840.714135177957	9468.272757137624	5756.587792495747	15505.967472538125	1530.4372706390927	8749.70622632393	2478.5504201517806	6255.880188974699	3661.562766281548	8848.6744415742	2617.174784254992	7935.132747197228	4629.615374600576
GALACTARDEG-PWY	85.38311332523362	147.64071957745543	91.52885810341672	57.374139279513386	67.01365401844762	521.9403854755096	192.12348952586908	68.55497278121469	464.9204376641856	27.268080737422512	27.56778862185599	45.05296179753709	12.76999012833169	20.20684325365384	120.92540801663502	104.11794314612438	88.1229079192107	21.719490154727605
GALACTUROCAT-PWY	9069.346268347184	9856.367788601034	12040.623074939062	11806.032057434692	11087.123879230308	19561.30669348289	11486.52743080207	9070.126156717271	19627.417157028365	1677.2385995604825	9797.746346576116	2933.183364573133	7479.36233886906	4499.1631065474485	13679.851469278508	2951.7806627496884	10571.98780514699	5561.481756556841
GALLATE-DEGRADATION-I-PWY	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GALLATE-DEGRADATION-II-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2857142857142856	0.0	0.0	0.0	0.0
GLCMANNANAUT-PWY	30328.7556264956	38100.99577709824	30079.58398787735	19688.52374699693	28742.7274184144	28547.93755267079	30338.971321542067	23729.042656402708	34599.472199080345	65120.8845860764	95058.9206862827	77096.63552280903	60499.33124385411	37899.52429536712	61133.49377638783	104115.61021169162	62277.83307921594	73174.6127657977
GLUCARDEG-PWY	85.38311332523362	148.82048566375607	91.52885810341672	57.374139279513386	74.74403182052608	515.6665579226202	203.93697417875308	49.29790032956564	444.0608732711109	28.32901458178288	30.223049543040457	47.88775975043856	13.268184177355971	21.49552574316889	134.1407566357788	177.97790990185868	111.59924187592638	23.890967804924845
GLUCARGALACTSUPER-PWY	85.38311332523362	147.64071957745543	91.52885810341672	57.374139279513386	67.01365401844762	521.9403854755096	192.12348952586908	68.55497278121469	464.9204376641856	27.268080737422512	27.56778862185599	45.05296179753709	12.76999012833169	20.20684325365384	120.92540801663502	104.11794314612438	88.1229079192107	21.719490154727605
GLUCONEO-PWY	31205.63706852616	31095.633758897984	32085.161207871064	28112.410429998905	33306.73673226318	30009.25493523497	26618.70149501376	27939.080455176725	39093.09131762331	18363.78024018498	62497.0394828995	26988.771211578696	51143.14338321035	29736.610205487923	53579.48109102401	31474.072345661047	57061.21754078271	41918.56327515018
GLUCOSE1PMETAB-PWY	0.0	93.88635667951608	31.48814438791348	0.0	44.4708117925517	25.99055723752822	24.49295442850409	0.0	8.999214135471403	156.31409958155376	56.62541133961999	98.37146450626813	83.95531293485341	95.43214402630836	61.98157921698639	116.45098318575218	127.92996055921093	56.98445661889696
GLUCUROCAT-PWY	6481.339944848922	7509.081199479923	7560.9435132481585	7545.732114884418	8233.47087318994	17431.31380125132	9757.332375038142	5340.253524654834	15341.87339364828	1632.369180372184	9161.131963597916	2961.125427446724	7317.841372272689	4130.408899722936	8605.01263086281	3206.863480872439	8480.632308322996	5169.579295626303
GLUTORN-PWY	8872.015697687522	9323.151918985775	9210.257541053945	7827.907261208968	8493.43823921301	23286.67036222552	13386.891127404524	9579.859395365636	21050.624059568705	1228.2127128450988	6653.926948547146	1421.8826382102493	4212.857803336353	2832.28016163256	10459.776536096926	3356.056307261877	9019.728749257016	3320.056738714361
GLYCOCAT-PWY	23930.616724871885	25705.23728893169	25264.26486267636	21573.301025244506	22874.891247185205	38282.74143559248	27905.35531822205	22683.1261333959	39717.88453097663	5952.822458869856	26690.20025364744	5643.996516194756	14781.712530022509	9131.47860758492	33984.79397706988	11167.526975167491	29423.915230217804	14260.177059662465
GLYCOGENSYNTH-PWY	33279.534837467145	39983.51711258337	34116.699057736354	26833.305678903525	32685.752282433616	39787.48541719761	38179.49060503824	30714.31330537515	45112.82297739762	45787.019296150254	81238.9170443718	68130.7254974495	67156.13741642085	31203.02576648852	65895.26405787906	105510.71403544076	66545.71637586893	61433.72774943167
GLYCOL-GLYOXDEG-PWY	0.0	90.96372923733963	58.951772825706136	0.0	65.26544364550017	19.84936290852967	20.03199779296422	0.0	7.753163101150021	110.2845023868186	68.66195996776459	81.28620523222841	58.40595717554986	70.52265622857453	42.33705632781123	100.7241272929808	91.90262910814718	42.7335350926818
GLYCOLYSIS	29494.75618683897	32940.294959390936	31232.639742854662	28391.698893097346	31070.55391845331	38557.26685942003	34096.17918113794	28312.829638244428	44231.29246749327	10483.085561779746	45347.40090039695	12539.909282985484	54560.04122236456	23103.287868448948	49499.417671117415	43408.15810877816	45920.18202945182	24823.5345933603
GLYCOLYSIS-E-D	392.3122164348698	519.9621673047294	339.7474810684038	792.398995171543	3636.792761278061	707.6075208678991	4744.064045511215	1439.2104619180982	396.4083177064994	708.2403576880271	743.1151524253874	434.4489472484839	538.9457913315131	821.294174940086	1141.4945898663998	14337.945661825372	3438.0477054975445	946.983862504628
GLYCOLYSIS-TCA-GLYOX-BYPASS	0.0	284.0729454756893	114.39960208768824	0.0	183.79539612701825	117.22702084254864	143.89515328627505	0.0	60.19659782272674	395.0924812487657	290.23668190520914	259.42182250111705	232.57367880037552	339.569185736038	224.99973438416413	474.76228448031645	473.0664957004651	204.2948113068424
GLYOXYLATE-BYPASS	0.0	173.81022427985278	68.7701019480857	0.0	74.6534177972899	41.9123229545465	54.78058381798591	0.0	27.97301503846031	153.25532521002333	107.0632626992291	119.4906257891357	84.53324737132964	138.1886461601907	73.69180578528683	142.35158098265316	145.40853357405155	66.94869538201195
GOLPDLCAT-PWY	2653.403570080888	596.9568688858652	1925.4856917388315	4750.909956458596	4643.826274963679	1750.3746065815867	676.6470158246749	4337.706967776951	4140.780521588185	10157.441216449864	3790.3725851462	10523.268646995872	21438.37260204969	9610.020345244076	16455.44970248977	3049.535778382005	15287.23987447086	17919.683428802873
HCAMHPDEG-PWY	0.0	44.72727272727273	17.181818181818183	0.0	18.144915254237286	6.702127659574468	5.7695530726256985	0.0	5.014285714285714	3.350823012512337	16.22491283676704	39.08635652019214	1.4910179640718562	1.1197996918335904	0.0	13.847623421354765	0.0	3.6659192825112106
HEME-BIOSYNTHESIS-II	39.90704605931866	2211.213280693443	2772.742399370368	3343.355231575172	2177.238201654171	1255.081473788484	709.6953972517443	1859.0901188545968	2371.447331545231	147.25947422144566	88.18524620969808	122.44081539772226	83.98757943256983	124.52455260874125	73.79306399516136	131.8867888248156	142.82845997096345	61.40293664615887
HEMESYN2-PWY	8659.943394304286	11623.289513548136	10248.690253217375	7107.374046854901	8794.734940688486	10587.061550572129	12573.965800208653	8496.730014726387	13320.243353350912	1032.0572074082704	8173.690952804727	678.5332912462642	4099.030584063379	1782.0604455341206	13354.732162542949	4105.282590269889	9329.505791180516	1201.1633697455834
HEXITOLDEGSUPER-PWY	342.45766803218373	436.05251800336185	233.00865540322664	704.5292602118675	1151.290838875815	1002.3498271741348	3881.5234249042815	1188.546107672355	812.4249504707443	544.6930722723176	751.9938468447207	310.05432187643623	641.7878667164758	768.4327127416417	1185.147297018828	8378.199559273273	2944.573195522651	562.8009482188548
HISDEG-PWY	3238.884357225812	2068.2570301533697	4494.799959065618	4404.366967810872	3361.521266348558	2915.4584145566755	2643.8722618105044	4048.719796413635	4718.081518935094	99.71275448792724	229.5335107015458	81.18496533280508	1701.6527598594053	364.8080555085463	517.7881174388413	1656.85919427774	897.7816250302217	93.8726198292843
HISTSYN-PWY	12050.35752024776	11049.43350708906	13732.06206469077	11746.301437631566	12319.163649425824	25252.30539338858	15314.982373047167	12923.234324301142	24632.783635565524	1672.174946541506	9102.920421583867	1756.8087278784674	5409.634498975594	3769.287189576954	13987.752228957004	3801.887840406408	12446.801746915922	4937.762853436755
HOMOSER-METSYN-PWY	2626.209795477609	650.9439666961455	935.7438752180922	975.7725869708574	1573.4799769779402	1640.2557577971645	1344.8846129674714	818.4219385313493	2943.727175049773	798.7500233464913	825.0825320314171	574.3324566203314	553.5493018232712	311.6927320433383	761.7330921921046	2835.821328621652	1378.7113999704854	378.8935641035304
HSERMETANA-PWY	2562.246650164016	2963.8100514038506	5442.284739500464	3239.5051412164603	2718.235495294201	5903.842934793553	2683.23623072001	3725.592654620716	6557.149090546624	697.6666152874083	807.7846380859944	516.2193065122538	382.78706566251935	241.5091005026728	750.4567546678618	2347.734189392517	853.8991634395992	314.2253620740116
ILEUSYN-PWY	18962.594522319683	19052.74306143956	21694.59375529604	18184.72322646849	18814.55997522192	34193.379338716615	23860.42856254161	18906.897761939897	36701.60853469538	3412.375460911436	16329.5386866374	3157.563850658378	11055.796666148231	6364.585322981118	21165.4660051513	9793.960821274764	19243.77825704019	8920.788338635002
KDO-NAGLIPASYN-PWY	0.0	307.52739192703694	124.32804123674734	0.0	120.43290356229956	39.70706792789374	33.728147704861954	0.0	35.84989132874686	17.692059896469083	96.97186261975833	219.0580084124697	7.985214139033091	68.32073804393816	23.890934561269333	92.45184253517976	0.0	19.86579843754603
KETOGLUCONMET-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9279603782080144	0.0	0.0	0.0	0.0
LACTOSECAT-PWY	19160.2928676675	24047.67585336416	15150.938758139877	6379.066246199499	15163.152972373846	6674.043622019698	13783.69001658753	6129.068101492852	11366.472295636851	39440.017633317904	63763.96986499261	44645.16396198456	21915.318836389128	10271.361713451548	19809.950192304943	85135.46272343675	13685.248661577858	36994.39182582044
LEU-DEG2-PWY	76.92686733825208	11.700563903565843	55.05709736264535	98.25742502756344	94.47945310789903	56.0508597331605	135.43143305124357	218.0525743858888	199.1168569144866	118.37098202702067	54.8508275771313	43.24980464144916	58.5509658760452	103.17476050440496	120.99767127642704	87.48318864313109	194.4736667894957	41.42329565707932
LIPASYN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LPSSYN-PWY	0.0	159.5389986630669	62.646922968119824	0.0	60.66965386764564	19.93823057464624	16.942491780452244	0.0	17.96830947608962	8.93417049976399	40.91220479801845	17.830435940769178	3.996907275447732	3.88445026542188	0.0	35.35865121822831	0.0	9.97184797212225
MET-SAM-PWY	4066.849004788146	1013.012692200327	1447.4948944371254	1506.1890597320948	2435.1016903999457	2504.42147736513	2073.8024261400847	1267.3480727672234	4477.032814084889	1424.9399045885905	1301.4159405844175	965.4961486419396	873.3806432611495	491.50581466802834	1189.5577999825432	4997.142539178814	2170.582393534593	598.9231121248358
METH-ACETATE-PWY	250.119523663241	105.68499224674504	76.23776222160357	1120.0856148386422	840.1281874687829	364.87223061234187	2936.4083965737263	1217.5758521752848	773.1879640796985	0.0	0.0	0.0	4225.231949369304	604.3934317365348	753.3133377261432	4746.293632030406	1318.1261648028694	249.2990676592996
METHANOGENESIS-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
METHGLYUT-PWY	0.0	57.86790047429387	26.28850682258217	0.0	27.167881288568967	9.268526059025293	8.840823401812765	0.0	6.476959936697118	5.474827255618436	20.193452384706035	8.289598893312025	2.443788748967714	3.771817497888852	0.0	18.5724334470434	0.0	5.787686808099364
METHYLGALLATE-DEGRADATION-PWY	0.0	0.0	3.749941918792457	0.0	0.0	0.0	0.0	0.0	2.499984464861069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NAD-BIOSYNTHESIS-II	119.1904380715326	148.41204944007282	110.86349282073242	55.837066765510656	238.752379240154	626.2706465587171	141.5201151395586	64.7851019168543	244.97250582508207	43.22444110343957	957.5972635102606	76.7308702747423	14.882627513082134	57.11444665014555	1876.224448696742	32.7878402367626	1415.3521754113158	165.72114758813936
NADSYN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NAGLIPASYN-PWY	7202.618637792308	4651.67168507198	8826.740711459783	8979.074712563219	8870.837449010882	5057.0875201465815	3942.528792600642	6741.228862885873	8037.886371723077	955.2166098807496	5750.283421526533	1389.9410492271084	4118.7230275421525	2713.262067351028	5008.999561747489	2245.499965791153	6037.021316230352	2819.636149513148
NONMEVIPP-PWY	15486.822755717532	17501.358808939567	18609.874555396244	18076.05149630856	16538.41858307119	28840.45807400834	21208.44837332316	17666.413996831223	30754.37763696753	23648.02446888741	26962.49768656595	14064.577683474286	18126.243077663563	15446.027258672571	18252.09721745549	9261.183358524991	20928.79280461106	22063.056707713426
NONOXIPENT-PWY	27709.97603048068	35282.62286935315	33169.65627970548	29927.49136703189	28540.644040127096	50279.49838701805	40612.94821200588	33607.09384058817	54628.494054104005	49715.64063536494	52618.51382510903	33580.007234492536	45757.957795623646	34485.32473619796	54435.92102212437	18336.880947248	55560.607963969785	52473.39778723396
OANTIGEN-PWY	19910.79704823967	21509.50599427878	21040.13700972673	19019.53951204226	21566.173377521995	25444.30375610499	23195.23480025777	19701.887136423666	29138.93603970795	10950.387847838916	27323.973306042608	6100.765410651402	29116.90800320504	12809.708240388096	29749.080533832715	16299.032112422889	27961.7510281021	13168.074357647818
ORNARGDEG-PWY	0.0	97.38963659022068	36.6020282382995	0.0	38.53450938233369	13.342206583402584	11.399669109559236	0.0	10.49055112035231	8.044436393444814	32.4911469133682	77.63179306891594	2.792435700847681	2.637715266198678	0.0	27.7522084416701	0.0	6.89948642890784
ORNDEG-PWY	0.0	105.76400907334286	31.46941700442294	0.0	58.40585670467518	41.88925163234556	40.45230098146129	0.0	8.996869807164664	307.273945943077	88.5793141093303	132.26803639211218	165.69794361380278	156.96109101573956	0.0	199.14041000759585	0.0	108.87631044713964
P101-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.1523408494991925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P105-PWY	0.0	633.1158280165823	273.9523739976929	0.0	323.43902862656154	234.7955963322998	332.9389273283096	0.0	141.23333671101594	689.9197746062707	610.3253139624346	516.3017197988559	519.8238428894439	745.518239912984	531.5968698595117	714.3138704118996	982.0802146927876	383.3631890179305
P108-PWY	11018.29656906372	7635.393875990037	13448.963228044891	14039.58653194112	13245.381733650032	9663.971459277029	7485.424067418391	10545.733449814266	13912.92758206028	1531.2438650894985	9183.811961043077	2360.3090811079933	9336.616514741085	4766.106963046461	9002.084907994165	4426.047688909501	9767.212609606617	4717.413362668706
P122-PWY	28350.371850670574	31801.91169251328	25234.78177071955	20023.166013807844	28358.267022555683	18052.36332991892	22740.86831732443	22675.76280656053	27194.26101975771	56587.2801750165	80837.55443615976	74594.27466354461	76861.0842078653	40212.65690175069	71281.60170564991	98667.2203800677	73066.95396533029	73113.0368432907
P124-PWY	34462.552018375376	39727.34604668699	31552.303059048023	24594.962795161107	34388.4180335856	24540.63064133764	30168.339582599536	28589.88332782172	34848.88029130119	71980.66462611062	100045.27481298428	89924.973074205	88094.30613976438	47661.16688054527	81214.41421040052	116777.48830360298	83477.23047578504	88884.7298111623
P125-PWY	0.0	8.999203578582271	26.990124606144715	14.995332197362162	22.49357128224792	11.996482528255044	14.996632325583294	10.497508558152608	8.998858342578272	120.9044814089344	59.98385557424338	32.99325015904203	61.47283206371712	65.93637446335184	55.47787465217362	88.47080371487618	95.92036249710408	38.9909164647382
