#NAME,Experiment,Tissue type,DOL,Genotype
149B,C,colon,DOL14,Sig Homo_HET
150B,C,colon,DOL14,Sig Homo_HET 
151B,C,colon,DOL14,Sig WT 
152B,C,colon,DOL14,Sig Homo_HET 
153B,C,colon,DOL14,Sig Homo_HET 
154B,C,colon,DOL14,Sig Homo_HET 
155B,C,colon,DOL14,Sig Homo_HET
156B,C,colon,DOL14,Sig WT 
157B,C,colon,DOL14,Sig Homo_HET 
158B,C,colon,DOL14,Sig WT 
159B,C,colon,DOL14,Sig Homo_HET 
160B,C,colon,DOL14,Sig Homo_HET 
161B,C,colon,DOL14,Sig WT 
162B,C,colon,DOL14,Sig WT 
163B,C,colon,DOL14,Sig Homo_HET
164B,C,colon,DOL14,Sig Homo_HET 
165B,C,colon,DOL14,Sig Homo_HET
166B,C,colon,DOL14,Sig Homo_HET 
167B,C,colon,DOL14,Sig WT 
168B,C,colon,DOL14,Sig Homo_HET 
169B,C,colon,DOL14,Sig Homo_HET 
249B,C,colon,DOL14,Sig Homo_HET
250B,C,colon,DOL14,Sig Homo_HET
251B,C,colon,DOL14,Sig Homo_HET
252B,C,colon,DOL14,Sig Homo_HET
253B,C,colon,DOL14,Sig Homo_HET
254B,C,colon,DOL14,Sig Homo_HET
255B,C,colon,DOL14,Sig Homo_HET
256B,C,colon,DOL14,Sig Homo_HET
257B,C,colon,DOL14,Sig Homo_HET
258B,C,colon,DOL14,Sig WT
259B,C,colon,DOL14,Sig WT
260B,C,colon,DOL14,Sig WT
261B,C,colon,DOL14,Sig WT
262B,C,colon,DOL14,Sig Homo_HET
263B,C,colon,DOL14,Sig Homo_HET
108B,C,colon,DOL 28,Sig Homo_HET
109B,C,colon,DOL28,Sig Homo_HET
110B,C,colon,DOL28,Sig Homo_HET 
111B,C,colon,DOL28,Sig WT
112B,C,colon,DOL28,Sig Homo_HET
113B,C,colon,DOL28,Sig Homo_HET
114B,C,colon,DOL28,Sig Homo_HET 
115B,C,colon,DOL28,Sig WT
116B,C,colon,DOL28,Sig Homo_HET
117B,C,colon,DOL28,Sig Homo_HET
118B,C,colon,DOL28,Sig Homo_HET
119B,C,colon,DOL28,Sig WT
120B,C,colon,DOL28,Sig WT
121B,C,colon,DOL28,Sig Homo_HET
122B,C,colon,DOL28,Sig Homo_HET
123B,C,colon,DOL28,Sig Homo_HET
124B,C,colon,DOL28,Sig WT 
125B,C,colon,DOL28,Sig Homo_HET
126B,C,colon,DOL28,Sig Homo_HET
127B,C,colon,DOL28,Sig Homo_HET 
128B,C,colon,DOL28,Sig Homo_HET 
129B,C,colon,DOL28,Sig WT
130B,C,colon,DOL28,Sig Homo_HET
131B,C,colon,DOL28,Sig Homo_HET 
132B,C,colon,DOL28,Sig Homo_HET 
133B,C,colon,DOL28,Sig Homo_HET
134B,C,colon,DOL28,Sig WT
135B,C,colon,DOL28,Sig WT 
136B,C,colon,DOL28,Sig Homo_HET
137B,C,colon,DOL28,Sig WT 
138B,C,colon,DOL28,Sig Homo_HET
252B,C,colon,DOL14,Sig Homo
253B,C,colon,DOL14,Sig Homo
254B,C,colon,DOL14,Sig Homo
255B,C,colon,DOL14,Sig HET
256B,C,colon,DOL14,Sig Homo
257B,C,colon,DOL14,Sig HET
258B,C,colon,DOL14,Sig WT
259B,C,colon,DOL14,Sig WT
260B,C,colon,DOL14,Sig WT
261B,C,colon,DOL14,Sig WT
262B,C,colon,DOL14,Sig HET
263B,C,colon,DOL14,Sig HET
108B,C,colon,DOL28,Sig HET
109B,C,colon,DOL28,Sig Homo
110B,C,colon,DOL28,Sig HET 
111B,C,colon,DOL28,Sig WT
112B,C,colon,DOL28,Sig Homo
113B,C,colon,DOL28,Sig Homo
114B,C,colon,DOL28,Sig Homo 
115B,C,colon,DOL28,Sig WT
116B,C,colon,DOL28,Sig HET
117B,C,colon,DOL28,Sig HET
118B,C,colon,DOL28,Sig HET
119B,C,colon,DOL28,Sig WT
120B,C,colon,DOL28,Sig WT
121B,C,colon,DOL28,Sig Homo
122B,C,colon,DOL28,Sig Homo
123B,C,colon,DOL28,Sig HET
124B,C,colon,DOL28,Sig WT 
125B,C,colon,DOL28,Sig HET
126B,C,colon,DOL28,Sig Homo
127B,C,colon,DOL28,Sig HET 
128B,C,colon,DOL28,Sig HET 
129B,C,colon,DOL28,Sig WT
130B,C,colon,DOL28,Sig Homo
131B,C,colon,DOL28,Sig HET 
132B,C,colon,DOL28,Sig HET 
133B,C,colon,DOL28,Sig Homo
134B,C,colon,DOL28,Sig WT
135B,C,colon,DOL28,Sig WT 
136B,C,colon,DOL28,Sig HET
137B,C,colon,DOL28,Sig WT 
138B,C,colon,DOL28,Sig Homo
