"class","4","5","6","9","10","16","17","18","19","20","21","26","27","28","29","31","32","33","34","35","36","37","38","39","44","45"
"Escherichia_Shigella","54413","46658","47371","44436","48903","55921","52428","50666","53281","36696","43945","46497","55245","47948","43888","56506","45438","53785","54502","  145","   80","  620","   95","  109","33887","51685"
"Lactobacillus"," 1701"," 4368"," 1561"," 9104"," 3187"," 2696"," 1203"," 9074"," 3124","20031","10214"," 6000"," 2278"," 9098","14591","  279","13760"," 3485","  518","30808","34103"," 2594","47483","44261","21853"," 4690"
"Muribacter","   41"," 1687","  517","  334"," 1373","   85","   80","   76","  196","   35","  249","    2","  118","    8","   33","   34","   94","   39","  180","14050"," 5906","34530","  251"," 3791","   84","  116"
"Others"," 5783"," 9225","12489"," 8064"," 8475"," 3236"," 8227"," 2122"," 5337"," 5176"," 7530"," 9439"," 4297"," 4884"," 3426"," 5119"," 2646"," 4629"," 6738","16935","21849","24194","14109","13777"," 6114"," 5447"
"Genotype","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_Homo_HET","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_Homo_HET","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_Homo_HET","Sig_WT","Sig_WT","Sig_Homo_HET"
"sample","4","5","6","9","10","16","17","18","19","20","21","26","27","28","29","31","32","33","34","35","36","37","38","39","44","45"
