#NAME	050B	051B	052B	058B	059B	060B	064B	065B	066B	067B	073B	074B	075B	076B	080B	081B	082B	083B	084B	085B	086B	087B	088B	095B	096B	097B	102B	103B	104B	105B	106B	107B	214B	215B	216B	226B	227B	228B	229B	230B	231B	232B	233B	234B	235B	236B	237B	238B	239B	240B
Alloprevotella	0	0	0	0	0	0	0	0	0	0	0	12762.0784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89334.54877	116681.8596	0	58340.92981	47402.00547	25524.15679	83865.0866	36463.08113	32816.77302	56517.77575	142206.0164	29170.4649	51048.31358	23701.00273	36463.08113	34639.92707	14585.23245	83865.0866
Clostridium_sensu_stricto_1	0	0	0	0	0	0	0	0	0	0	12762.0784	0	0	0	0	0	0	0	0	0	0	0	0	5469.46217	3646.308113	0	0	0	1823.154057	0	3646.308113	0	60164.08387	80218.77849	0	56517.77575	29170.4649	41932.5433	78395.62443	14585.23245	45578.85141	47402.00547	142206.0164	5469.46217	72926.16226	30993.61896	67456.70009	40109.38924	0	136736.5542
Romboutsia	0	0	3646.308113	3646.308113	0	0	0	0	0	0	0	0	0	0	7292.616226	0	0	0	0	0	0	0	0	0	0	0	0	0	20054.69462	0	20054.69462	0	131267.0921	120328.1677	0	116681.8596	105742.9353	40109.38924	0	74749.31632	58340.92981	80218.77849	114858.7056	52871.46764	140382.8624	63810.39198	156791.2489	136736.5542	16408.38651	153144.9407
Bifidobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1823.154057	0	0	0	9115.770283	0	27347.31085	51048.31358	0	29170.4649	0	16408.38651	63810.39198	10938.92434	14585.23245	21877.84868	49225.15953	0	47402.00547	14585.23245	21877.84868	30993.61896	18231.54057	29170.4649
Ruminococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30993.61896	0	0	1823.154057	60164.08387	138559.7083	56517.77575	129443.938	49225.15953	34639.92707	0	27347.31085	21877.84868	65633.54603	43755.69736	0	49225.15953	52871.46764	63810.39198	56517.77575	0	80218.77849
Dysgonomonas	0	7292.616226	1823.154057	0	5469.46217	5469.46217	0	0	0	0	25524.15679	20054.69462	1823.154057	5469.46217	3646.308113	12762.0784	29170.4649	7292.616226	52871.46764	0	1823.154057	16408.38651	21877.84868	3646.308113	9115.770283	0	0	10938.92434	0	5469.46217	45578.85141	1823.154057	249772.1057	275296.2625	3646.308113	145852.3245	182315.4057	85688.24066	195077.484	145852.3245	156791.2489	196900.6381	326344.5761	61987.23792	182315.4057	103919.7812	127620.784	196900.6381	65633.54603	260711.0301
Succinivibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7292.616226	0	0	0	0	0	0	0	0	105742.9353	211485.8706	0	102096.6272	52871.46764	38286.23519	89334.54877	76572.47037	74749.31632	129443.938	216955.3327	45578.85141	144029.1705	63810.39198	87511.39471	89334.54877	45578.85141	131267.0921
Acetobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100273.4731	116681.8596	0	51048.31358	52871.46764	29170.4649	129443.938	94804.01094	52871.46764	100273.4731	111212.3974	0	94804.01094	67456.70009	23701.00273	56517.77575	43755.69736	91157.70283
Clostridiales_vadinBB60_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49225.15953	25524.15679	0	23701.00273	0	1823.154057	0	29170.4649	9115.770283	9115.770283	16408.38651	10938.92434	10938.92434	20054.69462	16408.38651	14585.23245	3646.308113	3646.308113
Parasutterella	0	0	0	0	0	0	0	0	0	0	0	0	0	1823.154057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1823.154057	1823.154057	0	0	10938.92434	16408.38651	9115.770283	45578.85141	0	14585.23245	3646.308113	0	5469.46217	0	5469.46217
Proteus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40109.38924	92980.85688	0	43755.69736	34639.92707	16408.38651	60164.08387	9115.770283	41932.5433	25524.15679	69279.85415	27347.31085	43755.69736	20054.69462	25524.15679	27347.31085	10938.92434	85688.24066
Oscillibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25524.15679	18231.54057	160437.557	9115.770283	10938.92434	0	0	1823.154057	9115.770283	14585.23245	0	5469.46217	16408.38651	7292.616226	0	0	3646.308113	20054.69462
