#NAME	050B	051B	052B	058B	059B	060B	064B	065B	066B	067B	073B	074B	075B	076B	080B	081B	082B	083B	084B	085B	086B	087B	088B	095B	096B	097B	102B	103B	104B	105B	106B	107B	214B	215B	216B	226B	227B	228B	229B	230B	231B	232B	233B	234B	235B	236B	237B	238B	239B	240B
Faecalibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14585.23245	47402.00547	0	30993.61896	7292.616226	0	0	16408.38651	5469.46217	0	29170.4649	0	25524.15679	10938.92434	0	10938.92434	9115.770283	32816.77302
Carnobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5469.46217	0	0	0	0	0	5469.46217	30993.61896	0	36463.08113	21877.84868	3646.308113	12762.0784	27347.31085	27347.31085	12762.0784	25524.15679	0	45578.85141	20054.69462	16408.38651	7292.616226	0	27347.31085
Porphyromonas	0	0	0	0	0	3646.308113	0	0	0	0	3646.308113	0	0	0	0	0	0	0	0	0	0	0	0	12762.0784	0	0	0	0	0	7292.616226	0	14585.23245	9115.770283	32816.77302	0	12762.0784	0	3646.308113	10938.92434	34639.92707	9115.770283	9115.770283	30993.61896	0	12762.0784	12762.0784	5469.46217	27347.31085	3646.308113	14585.23245
Prevotellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52871.46764	34639.92707	0	27347.31085	1823.154057	23701.00273	0	25524.15679	16408.38651	65633.54603	102096.6272	9115.770283	40109.38924	23701.00273	25524.15679	27347.31085	0	32816.77302
Vibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5469.46217	0	0	0	0	1823.154057	1823.154057	0	0	0	0	0	0	0	0	0	0	0	52871.46764	34639.92707	0	32816.77302	21877.84868	9115.770283	0	43755.69736	29170.4649	32816.77302	100273.4731	27347.31085	61987.23792	16408.38651	14585.23245	23701.00273	18231.54057	12762.0784
Holosporaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5469.46217	0	1823.154057	1823.154057	0	0	0	3646.308113	0	0	0	0	1823.154057	32816.77302	0	36463.08113	21877.84868	0	23701.00273	5469.46217	0	30993.61896	20054.69462	3646.308113	30993.61896	14585.23245	3646.308113	69279.85415	1823.154057	16408.38651	5469.46217	0	43755.69736
Ruminococcaceae_UCG_014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30993.61896	41932.5433	0	29170.4649	32816.77302	0	10938.92434	5469.46217	12762.0784	30993.61896	38286.23519	23701.00273	20054.69462	5469.46217	14585.23245	16408.38651	9115.770283	7292.616226
Kurthia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3646.308113	0	0	0	5469.46217	0	0	0	1823.154057	0	0	0	3646.308113	0	0	0	21877.84868	0	29170.4649	43755.69736	0	27347.31085	54694.6217	0	0	16408.38651	0	0	0	0	9115.770283	7292.616226	9115.770283	0	0	43755.69736
Acetitomaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27347.31085	12762.0784	0	3646.308113	16408.38651	9115.770283	0	10938.92434	0	0	0	0	32816.77302	0	30993.61896	20054.69462	0	10938.92434
Gastranaerophilales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9115.770283	21877.84868	0	7292.616226	10938.92434	5469.46217	0	0	1823.154057	3646.308113	12762.0784	0	14585.23245	3646.308113	0	7292.616226	3646.308113	14585.23245
Paludibacteraceae	0	7292.616226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29170.4649	60164.08387	0	0	10938.92434	20054.69462	14585.23245	12762.0784	9115.770283	30993.61896	78395.62443	1823.154057	65633.54603	18231.54057	36463.08113	14585.23245	3646.308113	9115.770283
Bacillus	0	0	0	0	0	0	0	0	0	0	7292.616226	0	9115.770283	0	0	3646.308113	10938.92434	0	0	0	0	5469.46217	7292.616226	3646.308113	1823.154057	0	0	0	0	1823.154057	10938.92434	1823.154057	7292.616226	9115.770283	0	7292.616226	1823.154057	0	0	3646.308113	0	5469.46217	23701.00273	0	18231.54057	0	3646.308113	0	0	27347.31085
Anaerovibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16408.38651	5469.46217	0	12762.0784	20054.69462	0	0	1823.154057	0	0	23701.00273	0	9115.770283	1823.154057	0	9115.770283	0	16408.38651
Atopostipes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12762.0784	7292.616226	0	5469.46217	0	0	0	0	16408.38651	12762.0784	40109.38924	0	12762.0784	0	25524.15679	10938.92434	7292.616226	20054.69462
Ignatzschineria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51048.31358	76572.47037	0	29170.4649	25524.15679	9115.770283	25524.15679	34639.92707	25524.15679	25524.15679	109389.2434	9115.770283	38286.23519	29170.4649	10938.92434	60164.08387	20054.69462	21877.84868
Prevotellaceae_UCG_004	0	0	0	0	0	0	0	0	0	0	0	0	0	5469.46217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14585.23245	23701.00273	0	27347.31085	18231.54057	0	0	14585.23245	21877.84868	0	9115.770283	3646.308113	7292.616226	3646.308113	9115.770283	9115.770283	0	36463.08113
Dorea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18231.54057	16408.38651	0	0	0	0	0	14585.23245	5469.46217	0	21877.84868	0	18231.54057	0	5469.46217	14585.23245	1823.154057	27347.31085
Herbaspirillum	0	0	0	0	0	0	0	1823.154057	3646.308113	1823.154057	12762.0784	10938.92434	1823.154057	0	0	0	0	1823.154057	9115.770283	0	0	0	0	1823.154057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingobacterium	0	7292.616226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3646.308113	384685.5059	0	0	0	0	0	0	0	0	0	0	0	0	0	34639.92707	10938.92434	0	36463.08113	3646.308113	27347.31085	5469.46217	16408.38651	25524.15679	49225.15953	20054.69462	0	18231.54057	14585.23245	25524.15679	0	5469.46217	3646.308113
Ignavigranum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1823.154057	0	0	0	0	0	0	0	0	0	0	3646.308113	18231.54057	0	12762.0784	1823.154057	12762.0784	34639.92707	1823.154057	12762.0784	9115.770283	0	0	3646.308113	10938.92434	5469.46217	12762.0784	9115.770283	14585.23245
Proteiniphilum	0	0	0	0	0	0	0	0	0	0	3646.308113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20054.69462	0	0	14585.23245	21877.84868	16408.38651	0	21877.84868	36463.08113	30993.61896	40109.38924	0	45578.85141	16408.38651	27347.31085	9115.770283	0	0
Veillonella	0	18231.54057	0	0	0	3646.308113	0	1823.154057	0	1823.154057	0	18231.54057	0	0	0	9115.770283	0	0	51048.31358	0	5469.46217	0	0	0	0	0	0	0	0	0	67456.70009	7292.616226	7292.616226	0	0	3646.308113	0	0	0	0	0	0	0	0	0	0	0	3646.308113	0	12762.0784
Campylobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9115.770283	10938.92434	0	7292.616226	3646.308113	0	0	7292.616226	1823.154057	0	25524.15679	9115.770283	5469.46217	7292.616226	5469.46217	0	1823.154057	21877.84868
Novosphingobium	0	0	0	0	0	1823.154057	0	0	0	0	5469.46217	0	0	3646.308113	0	9115.770283	9115.770283	0	0	0	0	0	0	3646.308113	0	0	3646.308113	0	0	0	14585.23245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12762.0784
Christensenellaceae_R_7_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36463.08113	71103.0082	0	29170.4649	20054.69462	3646.308113	0	30993.61896	27347.31085	34639.92707	25524.15679	10938.92434	20054.69462	10938.92434	25524.15679	34639.92707	0	18231.54057
Prevotella_7	0	7292.616226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10938.92434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9115.770283	3646.308113	0	41932.5433	0	7292.616226	18231.54057	0	40109.38924	0	0	0	21877.84868	3646.308113	1823.154057	23701.00273	1823.154057	25524.15679
Mailhella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9115.770283	43755.69736	0	14585.23245	0	0	14585.23245	9115.770283	0	7292.616226	0	5469.46217	9115.770283	0	1823.154057	12762.0784	9115.770283	41932.5433
Fermentimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43755.69736	0	5469.46217	0	0	20054.69462	5469.46217	23701.00273	45578.85141	32816.77302	0	0	10938.92434	1823.154057	12762.0784	0	27347.31085
Acholeplasma	0	0	0	0	0	0	0	0	0	0	0	10938.92434	0	0	9115.770283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32816.77302	0	41932.5433	23701.00273	0	52871.46764	12762.0784	18231.54057	18231.54057	16408.38651	0	41932.5433	3646.308113	0	21877.84868	10938.92434	30993.61896	12762.0784	3646.308113	20054.69462
Ruminococcaceae_UCG_013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12762.0784	0	0	1823.154057	3646.308113	10938.92434	14585.23245	12762.0784	18231.54057	5469.46217	0	0	10938.92434	9115.770283	0	21877.84868	0	3646.308113
Ruminococcaceae_UCG_010	0	1823.154057	0	7292.616226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1823.154057	21877.84868	1823.154057	65633.54603	171376.4813	0	140382.8624	41932.5433	32816.77302	27347.31085	47402.00547	30993.61896	80218.77849	69279.85415	12762.0784	120328.1677	20054.69462	32816.77302	78395.62443	20054.69462	134913.4002
Marinilabiliaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12762.0784	0	0	16408.38651	10938.92434	0	0	7292.616226	0	10938.92434	0	1823.154057	3646.308113	9115.770283	0	1823.154057	0	12762.0784
Lachnospiraceae_NK3A20_group	0	0	0	3646.308113	0	0	0	0	0	0	0	0	0	0	0	0	16408.38651	0	10938.92434	0	0	7292.616226	1823.154057	0	0	0	0	0	0	0	9115.770283	0	12762.0784	27347.31085	0	7292.616226	0	9115.770283	0	7292.616226	0	20054.69462	43755.69736	5469.46217	0	12762.0784	29170.4649	10938.92434	0	41932.5433
Family_XIII_AD3011_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1823.154057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21877.84868	3646.308113	0	7292.616226	10938.92434	0	0	5469.46217	0	0	0	0	0	7292.616226	16408.38651	12762.0784	0	10938.92434
Serratia	0	7292.616226	0	0	0	0	0	0	0	0	0	0	0	0	0	7292.616226	5469.46217	0	0	0	0	0	3646.308113	1823.154057	0	0	0	0	0	0	0	0	0	27347.31085	0	12762.0784	0	0	12762.0784	10938.92434	0	18231.54057	18231.54057	0	5469.46217	20054.69462	7292.616226	5469.46217	5469.46217	0
Anaerocella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9115.770283	7292.616226	0	3646.308113	0	7292.616226	41932.5433	5469.46217	0	0	0	1823.154057	10938.92434	3646.308113	1823.154057	10938.92434	1823.154057	3646.308113
Aphagea_fa	0	0	0	1823.154057	1823.154057	0	0	0	0	0	10938.92434	3646.308113	0	0	10938.92434	0	0	0	18231.54057	1823.154057	0	0	1823.154057	1823.154057	0	1823.154057	9115.770283	9115.770283	0	3646.308113	16408.38651	5469.46217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halomonas	0	0	0	0	0	0	0	0	0	0	0	7292.616226	0	0	0	0	0	1823.154057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14585.23245	0	0	1823.154057	9115.770283	0	3646.308113	0	0	0	0	7292.616226	0	5469.46217	27347.31085	0	0
Ruminococcaceae_NK4A214_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9115.770283	18231.54057	0	9115.770283	0	5469.46217	0	0	1823.154057	41932.5433	23701.00273	0	14585.23245	3646.308113	10938.92434	3646.308113	0	20054.69462
Bacteroidales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45578.85141	21877.84868	0	10938.92434	3646.308113	7292.616226	40109.38924	16408.38651	21877.84868	5469.46217	25524.15679	9115.770283	27347.31085	5469.46217	20054.69462	21877.84868	0	67456.70009
Weeksellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5469.46217	14585.23245	0	20054.69462	0	3646.308113	14585.23245	0	0	0	7292.616226	0	14585.23245	1823.154057	10938.92434	3646.308113	0	10938.92434
Luteimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12762.0784	3646.308113	0	20054.69462	0	10938.92434	14585.23245	20054.69462	0	14585.23245	0	9115.770283	21877.84868	0	32816.77302
Izimaplasmatales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3646.308113	0	0	0	0	0	0	0	0	0	0	16408.38651	7292.616226	0	7292.616226	0	0	5469.46217	14585.23245	1823.154057	0	9115.770283	0	1823.154057	12762.0784	0	1823.154057	0	0
Erysipelotrichaceae_UCG_004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1823.154057	0	0	0	0	0	0	0	0	0	0	34639.92707	7292.616226	0	5469.46217	7292.616226	12762.0784	0	14585.23245	9115.770283	9115.770283	47402.00547	0	23701.00273	3646.308113	7292.616226	7292.616226	0	9115.770283
dgA_11_gut_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1823.154057	0	0	0	9115.770283	0	7292.616226	1823.154057	1823.154057	0	10938.92434	0	3646.308113	10938.92434	1823.154057	9115.770283	1823.154057	9115.770283	0	0	9115.770283
Clostridiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3646.308113	0	0	0	0	0	0	0	0	0	0	0	1823.154057	0	0	0	0	0	5469.46217	3646.308113	0	1823.154057	0	3646.308113	0	0	0	9115.770283	14585.23245	0	5469.46217	3646.308113	7292.616226	3646.308113	0	0
